course,prof,gpa,% of A,% of B,section_,semester
BIOL 111,HAWKINS A,3.071,50%,18%,100,2020 Summer
BIOL 111,HAWKINS A,3.269,54%,19%,101,2020 Summer
BIOL 111,HAWKINS A,3.344,62%,21%,102,2020 Summer
BIOL 111,HAWKINS A,2.862,38%,24%,103,2020 Summer
BIOL 111,HAWKINS A,3.185,48%,30%,104,2020 Summer
BIOL 112,LEE C,3.107,46%,32%,201,2020 Summer
BIOL 112,LEE C,3.166,47%,30%,202,2020 Summer
BIOL 112,LEE C,3.296,44%,41%,203,2020 Summer
BIOL 112,LEE C,2.933,33%,40%,204,2020 Summer
BIOL 112,LEE C,3.137,48%,31%,205,2020 Summer
BIOL 112,LEE C,3.137,52%,24%,206,2020 Summer
BIOL 206,MOYES R,2.785,14%,61%,101,2020 Summer
BIOL 206,MOYES R,3.035,36%,46%,102,2020 Summer
BIOL 213,ERICKSON J,3.155,31%,53%,100,2020 Summer
BIOL 214,PEPPER A,3.119,36%,50%,200,2020 Summer
BIOL 319,COHN W,2.681,27%,41%,301,2020 Summer
BIOL 319,COHN W,3.000,32%,50%,302,2020 Summer
BIOL 319,COHN W,2.807,19%,46%,303,2020 Summer
BIOL 319,COHN W,2.846,27%,42%,304,2020 Summer
BIOL 319,COHN W,2.857,24%,48%,305,2020 Summer
BIOL 319,COHN W,2.880,24%,48%,306,2020 Summer
BIOL 319,COHN W,3.277,33%,61%,307,2020 Summer
BIOL 320,TAYLOR L,3.115,27%,58%,301,2020 Summer
BIOL 320,TAYLOR L,3.259,37%,52%,302,2020 Summer
BIOL 320,TAYLOR L,2.882,29%,41%,303,2020 Summer
BIOL 320,TAYLOR L,3.214,43%,36%,304,2020 Summer
BIOL 320,TAYLOR L,2.880,28%,40%,305,2020 Summer
BIOL 320,TAYLOR L,2.666,17%,33%,306,2020 Summer
BIOL 647,ARAMAYO R,4.000,100%,0%,199,2020 Summer
CHEM 107,SABER M,2.545,29%,25%,300,2020 Summer
CHEM 117,LEE E,2.357,14%,43%,300,2020 Summer
CHEM 117,LEE E,2.565,17%,52%,301,2020 Summer
CHEM 119,COLLINS D,2.666,25%,42%,200,2020 Summer
CHEM 120,MCCARTNEY S,2.312,12%,34%,301,2020 Summer
CHEM 120,MCCARTNEY S,2.093,25%,22%,302,2020 Summer
CHEM 120,MCCARTNEY S,2.388,28%,22%,303,2020 Summer
CHEM 120,MCCARTNEY S,2.393,18%,36%,304,2020 Summer
CHEM 120,MCCARTNEY S,2.171,11%,34%,305,2020 Summer
CHEM 222,MULLEN C,2.442,20%,33%,300,2020 Summer
CHEM 227,SCHAEFER A,2.717,30%,34%,301,2020 Summer
CHEM 227,SAN PEDRO J,2.490,18%,38%,302,2020 Summer
CHEM 228,SANTANDER P,3.052,23%,60%,301,2020 Summer
CHEM 228,SERRANO C,2.516,24%,26%,302,2020 Summer
CHEM 228,PONNAMPERUMA K,3.366,55%,34%,303,2020 Summer
CHEM 237,SCHAEFER A,2.892,36%,43%,201,2020 Summer
CHEM 237,SCHAEFER A,3.066,50%,27%,202,2020 Summer
CHEM 237,SAN PEDRO J,2.777,30%,44%,203,2020 Summer
CHEM 237,SAN PEDRO J,2.714,29%,43%,204,2020 Summer
CHEM 238,SERRANO C,3.125,29%,62%,201,2020 Summer
CHEM 238,SERRANO C,2.952,24%,67%,202,2020 Summer
CHEM 238,PONNAMPERUMA K,2.960,40%,36%,203,2020 Summer
CHEM 238,PONNAMPERUMA K,3.192,42%,38%,204,2020 Summer
CHEM 238,PONNAMPERUMA K,3.250,46%,38%,205,2020 Summer
