course,prof,gpa,% of A,% of B,section_,semester
AERO 222,MORTARI D,3.166,50%,17%,700,2020 Summer
AERO 303,DONZIS D,2.931,41%,24%,700,2020 Summer
AERO 304,BOYD J,2.390,2%,59%,700,2020 Summer
AERO 351,KARPETIS A,2.717,22%,33%,700,2020 Summer
AERO 413,WONG Z,2.927,33%,35%,700,2020 Summer
BMEN 207,HANKS J,3.285,46%,36%,700,2020 Summer
BMEN 211,JESSEN S,3.200,40%,47%,300,2020 Summer
BMEN 253,MACHEK J,4.000,100%,0%,100,2020 Summer
BMEN 321,PEAK C,3.142,29%,57%,200,2020 Summer
BMEN 350,SCOTT M,3.423,52%,42%,700,2020 Summer
BMEN 353,MACHEK J,4.000,100%,0%,100,2020 Summer
BMEN 452,PATRICK C,3.578,68%,24%,300,2020 Summer
BMEN 485,GUISEPPIELIE A,4.000,100%,0%,201,2020 Summer
CHEN 205,HOLTZAPPLE M,2.717,23%,36%,700,2020 Summer
CHEN 455,MASHUGA C,3.549,59%,37%,700,2020 Summer
CHEN 459,BLIZZARD G,3.789,84%,11%,700,2020 Summer
CHEN 482,HILALY A,3.129,34%,45%,399,2020 Summer
CHEN 689,GAGNON Z,4.000,100%,0%,300,2020 Summer
CVEN 250,LYLE S,3.625,75%,12%,399,2020 Summer
CVEN 302,KAIHATU J,3.115,35%,50%,300,2020 Summer
CVEN 305,LOWERY L,3.111,33%,49%,301,2020 Summer
CVEN 311,CHANG K,3.000,37%,33%,300,2020 Summer
CVEN 322,QUADRIFOGLIO L,3.294,41%,47%,399,2020 Summer
CVEN 339,LONDON M,3.370,52%,33%,300,2020 Summer
CVEN 345,BIRELY A,3.619,71%,19%,300,2020 Summer
CVEN 399,BARROSO L,0.000,99%,0%,300,2020 Summer
CVEN 399,BARROSO L,0.000,100%,0%,303,2020 Summer
CVEN 399,BARROSO L,0.000,100%,0%,399,2020 Summer
CVEN 424,ENGLAND P,3.958,96%,4%,700,2020 Summer
CVEN 424,SCARFUTO J,4.000,100%,0%,701,2020 Summer
CVEN 424,SCARFUTO J,3.882,88%,12%,702,2020 Summer
CVEN 446,KEATING P,2.952,24%,57%,700,2020 Summer
CVEN 656,KEATING P,3.333,33%,67%,300,2020 Summer
ENGR 102,RITCHEY S,2.785,45%,23%,300,2020 Summer
ENGR 216,LARA RUIZ J,3.456,63%,22%,300,2020 Summer
ENGR 216,LARA RUIZ J,3.500,67%,17%,301,2020 Summer
ENGR 216,KOOLA P,3.789,84%,11%,350,2020 Summer
ENGR 217,IJAZ M,3.340,39%,57%,300,2020 Summer
ENGR 217,RICHARD J,3.000,14%,71%,301,2020 Summer
ENGR 289,LARA RUIZ J,4.000,100%,0%,700,2020 Summer
ENGR 385,SARIN V,4.000,100%,0%,306,2020 Summer
ENGR 385,CATON J,4.000,100%,0%,313,2020 Summer
ENGR 482,BANERJEE D,3.117,35%,53%,900,2020 Summer
ENGR 482,BANERJEE D,3.400,45%,50%,901,2020 Summer
ENGR 482,BANERJEE D,3.190,43%,43%,902,2020 Summer
ENGR 482,BANERJEE D,3.400,44%,52%,903,2020 Summer
ENGR 482,BANERJEE D,3.142,43%,43%,904,2020 Summer
ENGR 482,BANERJEE D,3.608,65%,30%,905,2020 Summer
ENGR 482,BANERJEE D,3.454,50%,45%,906,2020 Summer
ENGR 482,BANERJEE D,3.363,50%,45%,907,2020 Summer
ENGR 482,HAMILTON P,3.560,64%,28%,908,2020 Summer
ENGR 482,HAMILTON P,3.478,61%,35%,909,2020 Summer
ENGR 482,HAMILTON P,3.500,50%,50%,910,2020 Summer
ENGR 482,HAMILTON P,3.565,57%,43%,911,2020 Summer
ENGR 489,LARA RUIZ J,4.000,100%,0%,700,2020 Summer
ENGR 667,FAGHIHI V,3.785,79%,21%,300,2020 Summer
ICPE 623,MOHTAR R,4.000,100%,0%,700,2020 Summer
ITDE 689,ROBBINS A,4.000,100%,0%,200,2020 Summer
CSCE 110,HOUNGNINOU D,3.223,54%,32%,399,2020 Summer
CSCE 121,LIGHTFOOT R,3.141,56%,18%,398,2020 Summer
CSCE 121,MOORE J,2.844,36%,32%,399,2020 Summer
CSCE 221,LEYK T,3.057,35%,43%,199,2020 Summer
CSCE 222,KLAPPENECKER A,3.157,44%,39%,199,2020 Summer
CSCE 312,TYAGI A,3.600,71%,20%,299,2020 Summer
CSCE 313,AHMED S,2.878,47%,24%,199,2020 Summer
CSCE 314,LUPOLI S,3.409,51%,39%,399,2020 Summer
CSCE 410,BETTATI R,2.785,43%,29%,399,2020 Summer
CSCE 411,JIANG A,3.410,51%,45%,299,2020 Summer
CSCE 435,SARIN V,3.272,58%,30%,298,2020 Summer
CSCE 485,SONG D,4.000,100%,0%,300,2020 Summer
CSCE 489,HAMMOND T,3.527,67%,19%,700,2020 Summer
CSCE 611,BETTATI R,3.428,64%,21%,399,2020 Summer
CSCE 689,HAMMOND T,3.782,80%,17%,700,2020 Summer
CSCE 689,SARIN V,3.333,78%,6%,701,2020 Summer
ECEN 214,TYLER J,3.200,40%,40%,301,2020 Summer
ECEN 214,TYLER J,3.421,47%,47%,302,2020 Summer
ECEN 214,TYLER J,3.263,53%,26%,303,2020 Summer
ECEN 215,LUSHER J,2.961,27%,50%,301,2020 Summer
ECEN 215,LUSHER J,2.666,19%,48%,302,2020 Summer
ECEN 215,LUSHER J,3.258,58%,29%,303,2020 Summer
ECEN 215,LUSHER J,2.846,23%,50%,304,2020 Summer
ECEN 303,HOYOS S,3.320,48%,38%,300,2020 Summer
ECEN 314,HUANG G,3.207,38%,45%,300,2020 Summer
ECEN 322,MICHALSKI K,2.535,29%,7%,300,2020 Summer
ECEN 322,MICHALSKI K,2.714,14%,43%,700,2020 Summer
ECEN 420,BHATTACHARYYA S,3.430,56%,35%,300,2020 Summer
ECEN 420,BHATTACHARYYA S,3.696,73%,24%,700,2020 Summer
ECEN 484,KARSILAYAN A,3.666,72%,22%,304,2020 Summer
ECEN 601,LIU T,4.000,100%,0%,399,2020 Summer
ECEN 689,MILLER S,3.250,50%,42%,300,2020 Summer
ESET 269,PORTER L,3.388,50%,39%,100,2020 Summer
ESET 300,WALLACE J,3.440,52%,40%,100,2020 Summer
ESET 300,WALLACE J,3.727,77%,18%,101,2020 Summer
ESET 300,WALLACE J,3.555,56%,44%,102,2020 Summer
ESET 319,AUCOIN B,3.625,81%,12%,100,2020 Summer
ESET 319,AUCOIN B,4.000,100%,0%,101,2020 Summer
ESET 319,AUCOIN B,3.937,94%,6%,199,2020 Summer
ESET 349,SARKER N,3.666,67%,33%,200,2020 Summer
ESET 349,SARKER N,3.466,47%,53%,202,2020 Summer
ESET 349,SARKER N,3.307,38%,54%,299,2020 Summer
ESET 400,WALLACE J,3.315,37%,58%,200,2020 Summer
ESET 400,WALLACE J,3.200,27%,67%,201,2020 Summer
IDIS 343,CAPAR I,2.902,10%,71%,701,2020 Summer
IDIS 424,CHANG Y,2.900,27%,37%,101,2020 Summer
MMET 105,WHITEACRE M,3.157,42%,42%,101,2020 Summer
MMET 181,HUNG N,1.545,9%,9%,201,2020 Summer
MMET 181,HUNG N,2.400,10%,30%,202,2020 Summer
MMET 181,HUNG N,2.818,27%,27%,203,2020 Summer
MMET 181,HUNG N,2.400,30%,30%,204,2020 Summer
MMET 201,OBEIDAT S,2.352,0%,53%,100,2020 Summer
MMET 201,OBEIDAT S,2.687,6%,62%,101,2020 Summer
MMET 275,KUTTOLAMADOM M,2.685,11%,49%,700,2020 Summer
MMET 301,MAHONEY J,2.937,19%,62%,901,2020 Summer
MMET 301,MAHONEY J,2.777,0%,78%,902,2020 Summer
MMET 301,MAHONEY J,2.571,0%,64%,903,2020 Summer
MMET 401,GOLLA M,3.000,21%,57%,200,2020 Summer
MMET 401,GOLLA M,3.000,12%,75%,201,2020 Summer
MMET 401,GOLLA M,3.000,8%,83%,202,2020 Summer
ISEN 230,WANG Y,2.765,19%,45%,100,2020 Summer
ISEN 302,ZAHED K,3.734,78%,16%,700,2020 Summer
ISEN 310,XU J,3.171,29%,60%,200,2020 Summer
ISEN 320,BUTENKO S,3.487,51%,46%,700,2020 Summer
ISEN 355,BANERJEE A,2.368,13%,29%,700,2020 Summer
ISEN 370,GEUNES J,3.179,33%,52%,700,2020 Summer
ISEN 405,SEGUNDO B,3.451,58%,32%,300,2020 Summer
ISEN 485,GRAUL M,4.000,100%,0%,250,2020 Summer
ISEN 615,GEUNES J,3.714,71%,29%,700,2020 Summer
ISEN 620,BUTENKO S,3.727,82%,9%,700,2020 Summer
ISEN 625,BANERJEE A,3.125,38%,38%,700,2020 Summer
ISEN 640,NTAIMO L,3.600,60%,40%,700,2020 Summer
ISEN 645,GRAUL M,3.642,64%,36%,700,2020 Summer
MSEN 222,CREASY T,2.548,16%,35%,700,2020 Summer
MSEN 657,ARROYAVE R,3.941,94%,6%,301,2020 Summer
MEEN 221,MCVAY M,2.476,25%,29%,700,2020 Summer
MEEN 221,MCVAY M,2.316,24%,22%,701,2020 Summer
MEEN 222,CREASY T,2.372,7%,42%,700,2020 Summer
MEEN 315,KIM H,2.556,17%,32%,700,2020 Summer
MEEN 344,CHAROENPHOL P,2.774,32%,32%,301,2020 Summer
MEEN 357,HUR P,3.033,37%,40%,300,2020 Summer
MEEN 363,KIM Y,2.870,29%,39%,300,2020 Summer
MEEN 368,BALAWI S,2.916,27%,52%,700,2020 Summer
MEEN 401,COPE D,3.851,85%,15%,399,2020 Summer
MEEN 402,MOHIUDDIN M,3.972,97%,3%,300,2020 Summer
MEEN 404,MOHIUDDIN M,3.742,74%,26%,900,2020 Summer
MEEN 442,LEWIS H,3.862,86%,14%,300,2020 Summer
MEEN 461,HAGLUND J,3.413,64%,21%,700,2020 Summer
MEEN 467,BALAWI S,3.166,17%,83%,399,2020 Summer
