course,prof,gpa,% of A,% of B,section_,semester
AGEC 315,SPRINGFIELD H,2.666,25%,25%,503,2020 Fall
AGEC 315,SPRINGFIELD H,2.875,38%,19%,504,2020 Fall
AGEC 317,DINHOBL M,4.000,100%,0%,201,2020 Fall
AGEC 317,DINHOBL M,3.500,61%,28%,501,2020 Fall
AGEC 317,HUANG Y,3.469,52%,44%,502,2020 Fall
AGEC 317,LI L,3.333,43%,48%,503,2020 Fall
AGEC 317,TONEY B,3.573,66%,25%,504,2020 Fall
AGEC 324,RISTER M,3.058,41%,29%,500,2020 Fall
AGEC 325,SPRINGFIELD H,2.571,0%,57%,501,2020 Fall
AGEC 325,SPRINGFIELD H,2.785,21%,36%,502,2020 Fall
AGEC 330,LEATHAM D,3.074,31%,50%,701,2020 Fall
AGEC 335,MOORE C,3.684,79%,11%,501,2020 Fall
AGEC 340,TU X,3.921,93%,6%,501,2020 Fall
AGEC 340,TU X,3.784,82%,16%,502,2020 Fall
AGEC 340,TU X,3.904,90%,10%,503,2020 Fall
AGEC 340,TU X,3.600,60%,40%,504,2020 Fall
AGEC 344,BOADU F,3.229,42%,42%,503,2020 Fall
AGEC 344,BOADU F,3.062,19%,69%,504,2020 Fall
AGEC 350,SHAW W,2.823,24%,41%,501,2020 Fall
AGEC 350,SHAW W,2.761,21%,43%,502,2020 Fall
AGEC 408,KIBRIYA S,3.428,57%,29%,500,2020 Fall
AGEC 413,PARK J,3.500,52%,45%,501,2020 Fall
AGEC 413,PARK J,3.571,57%,43%,502,2020 Fall
AGEC 414,DHARMASENA K,3.588,65%,29%,500,2020 Fall
AGEC 416,SPRINGFIELD H,2.909,27%,42%,501,2020 Fall
AGEC 416,SPRINGFIELD H,3.060,33%,45%,502,2020 Fall
AGEC 422,BOADU F,3.116,36%,43%,598,2020 Fall
AGEC 422,BOADU F,3.000,30%,50%,599,2020 Fall
AGEC 423,RISTER M,3.127,42%,35%,500,2020 Fall
AGEC 424,RISTER M,3.035,61%,4%,501,2020 Fall
AGEC 424,RISTER M,3.000,42%,25%,502,2020 Fall
AGEC 424,RISTER M,2.988,38%,34%,503,2020 Fall
AGEC 424,RISTER M,2.977,32%,43%,504,2020 Fall
AGEC 429,OUTLAW J,2.787,18%,45%,901,2020 Fall
AGEC 429,OUTLAW J,3.666,67%,33%,970,2020 Fall
AGEC 430,SHELTON C,3.130,36%,42%,500,2020 Fall
AGEC 431,SHEN Z,3.297,38%,54%,500,2020 Fall
AGEC 435,HARNESS N,2.800,20%,55%,501,2020 Fall
AGEC 435,HARNESS N,2.571,17%,40%,598,2020 Fall
AGEC 435,HARNESS N,2.818,0%,82%,702,2020 Fall
AGEC 437,NOACK K,2.500,10%,45%,598,2020 Fall
AGEC 437,NOACK K,2.272,18%,18%,700,2020 Fall
AGEC 437,NOACK K,2.166,17%,0%,701,2020 Fall
AGEC 438,HARNESS N,3.488,58%,33%,598,2020 Fall
AGEC 438,HARNESS N,3.400,70%,0%,700,2020 Fall
AGEC 438,HARNESS N,3.666,83%,0%,701,2020 Fall
AGEC 439,MOORE C,3.238,48%,29%,700,2020 Fall
AGEC 440,NG D,2.928,39%,29%,500,2020 Fall
AGEC 441,BUENGER S,2.769,15%,62%,700,2020 Fall
AGEC 447,DHARMASENA K,3.512,69%,15%,500,2020 Fall
AGEC 452,THOMAS-WINSTON C,3.154,39%,44%,501,2020 Fall
AGEC 452,THOMAS-WINSTON C,2.933,40%,33%,502,2020 Fall
AGEC 481,NEWCOMB D,3.589,74%,15%,500,2020 Fall
AGEC 484,MENZIES III M,4.000,100%,0%,526,2020 Fall
AGEC 613,NORTON R,4.000,100%,0%,600,2020 Fall
AGEC 614,ANDERSON D,3.500,50%,50%,600,2020 Fall
AGEC 619,SALIN V,3.500,59%,31%,600,2020 Fall
AGEC 621,ISHDORJ A,3.454,52%,45%,600,2020 Fall
AGEC 629,PARK J,4.000,100%,0%,600,2020 Fall
AGEC 630,SALIN V,3.875,88%,12%,600,2020 Fall
AGEC 636,WOODWARD R,3.555,56%,44%,600,2020 Fall
AGEC 643,BRYANT H,4.000,100%,0%,600,2020 Fall
AGEC 652,WILLIAMS G,3.461,54%,38%,600,2020 Fall
AGEC 661,WU X,3.588,65%,29%,600,2020 Fall
AGEC 672,ZHANG Y,4.000,100%,0%,600,2020 Fall
ANSC 101,SKAGGS C,3.692,77%,19%,500,2020 Fall
ANSC 101,SKAGGS C,3.520,76%,12%,501,2020 Fall
ANSC 101,SKAGGS C,3.800,84%,12%,502,2020 Fall
ANSC 101,SKAGGS C,3.588,76%,12%,503,2020 Fall
ANSC 101,SKAGGS C,3.315,63%,16%,504,2020 Fall
ANSC 101,SKAGGS C,3.782,83%,13%,505,2020 Fall
ANSC 101,SKAGGS C,3.708,83%,12%,506,2020 Fall
ANSC 101,SKAGGS C,3.920,92%,8%,507,2020 Fall
ANSC 101,SKAGGS C,3.800,92%,0%,508,2020 Fall
ANSC 101,SKAGGS C,3.791,92%,4%,509,2020 Fall
ANSC 101,SKAGGS C,3.500,64%,21%,510,2020 Fall
ANSC 101,SKAGGS C,3.714,86%,10%,511,2020 Fall
ANSC 107,FRENZEL L,3.684,81%,11%,501,2020 Fall
ANSC 107,RAMSEY W,3.044,36%,38%,502,2020 Fall
ANSC 107,PAUDYAL S,3.880,92%,4%,700,2020 Fall
ANSC 107,PAUDYAL S,3.791,83%,12%,701,2020 Fall
ANSC 107,PAUDYAL S,3.285,71%,7%,M99,2020 Fall
ANSC 108,SKAGGS C,3.807,81%,19%,501,2020 Fall
ANSC 108,SKAGGS C,3.592,74%,15%,502,2020 Fall
ANSC 108,SKAGGS C,3.892,89%,11%,503,2020 Fall
ANSC 108,SKAGGS C,3.793,90%,7%,504,2020 Fall
ANSC 108,SKAGGS C,4.000,100%,0%,506,2020 Fall
ANSC 108,SKAGGS C,3.769,88%,0%,507,2020 Fall
ANSC 108,DODD K,3.807,81%,19%,509,2020 Fall
ANSC 108,DODD K,3.862,97%,0%,510,2020 Fall
ANSC 108,DODD K,3.960,96%,4%,511,2020 Fall
ANSC 108,DODD K,3.964,96%,4%,512,2020 Fall
ANSC 108,DODD K,3.793,83%,14%,513,2020 Fall
ANSC 108,SKAGGS C,3.666,86%,5%,514,2020 Fall
ANSC 108,SKAGGS C,3.909,95%,0%,515,2020 Fall
ANSC 108,SKAGGS C,3.782,83%,13%,518,2020 Fall
ANSC 108,SKAGGS C,3.875,88%,12%,519,2020 Fall
ANSC 108,SKAGGS C,3.857,86%,14%,520,2020 Fall
ANSC 201,LUCIA J,3.397,63%,19%,500,2020 Fall
ANSC 210,ING N,3.329,53%,35%,500,2020 Fall
ANSC 211,LINNE P,3.459,76%,11%,500,2020 Fall
ANSC 221,HUSEMAN C,3.500,62%,25%,501,2020 Fall
ANSC 221,HUSEMAN C,3.375,50%,38%,502,2020 Fall
ANSC 221,HUSEMAN C,3.555,56%,44%,503,2020 Fall
ANSC 302,CLEERE J,3.357,50%,38%,500,2020 Fall
ANSC 302,CLEERE J,3.190,38%,43%,700,2020 Fall
ANSC 303,WICKERSHAM T,3.065,37%,35%,500,2020 Fall
ANSC 305,RILEY D,3.040,28%,56%,501,2020 Fall
ANSC 305,RILEY D,2.760,12%,64%,502,2020 Fall
ANSC 305,RILEY D,3.280,44%,40%,503,2020 Fall
ANSC 305,SANDERS J,3.416,54%,33%,504,2020 Fall
ANSC 305,SANDERS J,3.565,70%,17%,505,2020 Fall
ANSC 305,SANDERS J,3.047,29%,48%,506,2020 Fall
ANSC 307,SAVELL J,3.000,30%,40%,501,2020 Fall
ANSC 307,SAVELL J,2.947,26%,47%,502,2020 Fall
ANSC 307,SAVELL J,3.210,42%,42%,503,2020 Fall
ANSC 307,SAVELL J,2.650,30%,15%,504,2020 Fall
ANSC 307,SAVELL J,3.000,32%,37%,505,2020 Fall
ANSC 307,SAVELL J,2.777,17%,50%,506,2020 Fall
ANSC 307,SAVELL J,2.900,25%,40%,507,2020 Fall
ANSC 307,SAVELL J,3.052,21%,63%,508,2020 Fall
ANSC 309,KERTH C,3.023,28%,51%,500,2020 Fall
ANSC 309,KERTH C,2.850,20%,50%,501,2020 Fall
ANSC 311,LINNE P,4.000,100%,0%,501,2020 Fall
ANSC 311,LINNE P,4.000,100%,0%,502,2020 Fall
ANSC 314,RAMSEY W,4.000,100%,0%,900,2020 Fall
ANSC 315,DODD K,4.000,100%,0%,530,2020 Fall
ANSC 317,FRENZEL L,3.625,81%,12%,500,2020 Fall
ANSC 318,CARSTENS G,2.846,23%,46%,501,2020 Fall
ANSC 318,CARSTENS G,3.043,43%,17%,502,2020 Fall
ANSC 318,CARSTENS G,2.913,39%,26%,503,2020 Fall
ANSC 318,CARSTENS G,3.083,33%,42%,504,2020 Fall
ANSC 318,CARSTENS G,3.083,25%,58%,505,2020 Fall
ANSC 318,CARSTENS G,2.720,20%,44%,506,2020 Fall
ANSC 325,RAMSEY W,4.000,100%,0%,501,2020 Fall
ANSC 326,TAYLOR T,2.652,23%,35%,500,2020 Fall
ANSC 333,POOLE R,3.464,57%,32%,200,2020 Fall
ANSC 333,SATTERFIELD M,3.080,36%,40%,501,2020 Fall
ANSC 333,SATTERFIELD M,2.640,12%,44%,502,2020 Fall
ANSC 333,SATTERFIELD M,2.739,17%,48%,503,2020 Fall
ANSC 333,SATTERFIELD M,2.961,42%,15%,504,2020 Fall
ANSC 333,SATTERFIELD M,2.769,15%,54%,505,2020 Fall
ANSC 333,SATTERFIELD M,2.913,26%,39%,506,2020 Fall
ANSC 351,SMITH G,3.909,91%,9%,501,2020 Fall
ANSC 406,HERRING A,3.739,74%,26%,931,2020 Fall
ANSC 406,HERRING A,3.608,70%,22%,932,2020 Fall
ANSC 406,HERRING A,3.565,70%,17%,933,2020 Fall
ANSC 412,WIEGERT J,3.571,71%,14%,500,2020 Fall
ANSC 414,RAMSEY W,3.600,80%,0%,501,2020 Fall
ANSC 414,RAMSEY W,3.555,67%,22%,502,2020 Fall
ANSC 414,RAMSEY W,3.454,55%,36%,503,2020 Fall
ANSC 414,RAMSEY W,3.333,44%,44%,504,2020 Fall
ANSC 414,RAMSEY W,3.714,71%,29%,902,2020 Fall
ANSC 414,RAMSEY W,3.200,20%,80%,904,2020 Fall
ANSC 418,WHITE S,3.272,45%,36%,500,2020 Fall
ANSC 429,PAUDYAL S,3.857,86%,14%,500,2020 Fall
ANSC 434,DE CARVALHO,3.750,75%,25%,501,2020 Fall
ANSC 434,DE CARVALHO,3.916,92%,8%,502,2020 Fall
ANSC 434,DE CARVALHO,3.769,77%,23%,503,2020 Fall
ANSC 437,SAVELL J,3.783,78%,22%,500,2020 Fall
ANSC 439,BABER J,2.764,29%,41%,500,2020 Fall
ANSC 447,MILLER R,3.333,33%,67%,501,2020 Fall
ANSC 447,MILLER R,3.666,67%,33%,502,2020 Fall
ANSC 457,GEHRING K,3.850,85%,15%,500,2020 Fall
ANSC 481,CROSS H,4.000,100%,0%,901,2020 Fall
ANSC 481,FARNELL Y,3.714,71%,29%,902,2020 Fall
ANSC 481,OSBURN W,3.857,86%,14%,903,2020 Fall
ANSC 481,TAYLOR T,3.150,20%,75%,904,2020 Fall
ANSC 481,OSBURN W,3.764,76%,24%,905,2020 Fall
ANSC 481,WELSH T,4.000,100%,0%,906,2020 Fall
ANSC 481,RIGGS P,3.789,79%,21%,907,2020 Fall
ANSC 484,RAMSEY W,4.000,100%,0%,500,2020 Fall
ANSC 485,LINNE P,0.000,100%,0%,507,2020 Fall
ANSC 485,RAMSEY W,4.000,100%,0%,563,2020 Fall
ANSC 489,DUNLAP K,3.580,71%,16%,700,2020 Fall
ANSC 491,DAIGLE C,4.000,100%,0%,514,2020 Fall
ANSC 494,FRENZEL L,4.000,100%,0%,501,2020 Fall
ANSC 494,LINNE P,4.000,100%,0%,502,2020 Fall
ANSC 601,WICKERSHAM T,3.619,62%,38%,600,2020 Fall
ANSC 604,TEDESCHI L,3.000,20%,60%,600,2020 Fall
ANSC 605,HERRING A,3.916,92%,8%,600,2020 Fall
ANSC 607,SMITH S,4.000,100%,0%,600,2020 Fall
ANSC 609,WELSH T,4.000,100%,0%,600,2020 Fall
ANSC 616,WHITE S,3.400,60%,20%,600,2020 Fall
ANSC 622,COOKE R,4.000,100%,0%,600,2020 Fall
ANSC 633,POHLER K,4.000,100%,0%,601,2020 Fall
ANSC 638,RILEY D,4.000,100%,0%,600,2020 Fall
ANSC 647,MILLER R,3.750,75%,25%,600,2020 Fall
ANSC 657,GEHRING K,4.000,100%,0%,600,2020 Fall
ANSC 680,GRIFFIN D,3.875,88%,12%,600,2020 Fall
ANSC 689,DAIGLE C,3.625,62%,38%,700,2020 Fall
BICH 101,GLASNER M,3.571,57%,43%,501,2020 Fall
BICH 101,DEVARENNE T,3.571,64%,29%,502,2020 Fall
BICH 101,ZHANG J,3.320,52%,28%,503,2020 Fall
BICH 101,IGUMENOVA T,3.520,60%,32%,504,2020 Fall
BICH 101,PARK W,3.692,69%,31%,505,2020 Fall
BICH 403,ZENG L,3.250,42%,42%,500,2020 Fall
BICH 404,MEEK T,3.509,65%,22%,501,2020 Fall
BICH 404,ZHANG J,3.361,53%,36%,502,2020 Fall
BICH 409,MILES B,3.166,42%,33%,500,2020 Fall
