course,prof,gpa,% of A,% of B,section_,semester
PSAA 644,SEAWORTH A,3.764,82%,12%,700,2020 Fall
PSAA 648,KERR D,4.000,100%,0%,600,2020 Fall
PSAA 648,MORRISON J,3.571,57%,43%,700,2020 Fall
PSAA 655,SHAW T,3.846,85%,15%,700,2020 Fall
PSAA 656,ROLLINS J,3.461,69%,15%,700,2020 Fall
PSAA 660,DAVIS D,4.000,100%,0%,600,2020 Fall
PSAA 661,BRIGHT L,3.714,86%,0%,600,2020 Fall
PSAA 668,DWYER W,3.857,86%,14%,700,2020 Fall
PSAA 669,LUM J,4.000,100%,0%,700,2020 Fall
PSAA 675,BULLOCK J,4.000,100%,0%,601,2020 Fall
PSAA 675,DAVIS D,3.900,90%,10%,602,2020 Fall
PSAA 675,HANNIBAL B,4.000,100%,0%,603,2020 Fall
PSAA 675,BROWN W,3.750,88%,0%,604,2020 Fall
PSAA 675,GRAHAM C,4.000,100%,0%,605,2020 Fall
PSAA 675,HILDERBRAND M,3.875,88%,12%,606,2020 Fall
PSAA 675,ROBICHAU R,3.900,90%,10%,607,2020 Fall
PSAA 675,GAMACHE K,4.000,100%,0%,700,2020 Fall
PSAA 676,DAVIS D,3.928,93%,7%,700,2020 Fall
PSAA 676,NAKAMURA B,4.000,100%,0%,701,2020 Fall
