course,prof,gpa,% of A,% of B,section_,semester
BIOL 100,RAO A,3.941,94%,6%,500,2020 Fall
BIOL 107,LEE C,3.608,74%,13%,500,2020 Fall
BIOL 107,LEE C,3.434,61%,26%,507,2020 Fall
BIOL 107,LEE C,2.916,29%,46%,508,2020 Fall
BIOL 107,LEE C,3.421,53%,37%,509,2020 Fall
BIOL 107,LEE C,2.636,32%,36%,510,2020 Fall
BIOL 107,LEE C,3.318,64%,23%,511,2020 Fall
BIOL 107,LEE C,3.625,67%,29%,512,2020 Fall
BIOL 107,LEE C,3.454,55%,41%,513,2020 Fall
BIOL 107,LEE C,3.333,52%,33%,514,2020 Fall
BIOL 107,LEE C,3.565,65%,26%,515,2020 Fall
BIOL 111,RYAN K,3.363,55%,27%,201,2020 Fall
BIOL 111,RYAN K,3.500,67%,17%,202,2020 Fall
BIOL 111,RYAN K,3.272,45%,36%,203,2020 Fall
BIOL 111,RYAN K,3.600,70%,20%,204,2020 Fall
BIOL 111,RYAN K,3.700,70%,30%,205,2020 Fall
BIOL 111,RYAN K,3.500,62%,25%,206,2020 Fall
BIOL 111,RAO A,2.913,30%,39%,501,2020 Fall
BIOL 111,RAO A,2.952,38%,33%,502,2020 Fall
BIOL 111,RAO A,2.545,27%,23%,503,2020 Fall
BIOL 111,RAO A,2.722,39%,22%,504,2020 Fall
BIOL 111,RAO A,2.684,32%,26%,505,2020 Fall
BIOL 111,RAO A,2.857,50%,21%,506,2020 Fall
BIOL 111,RAO A,2.900,35%,20%,507,2020 Fall
BIOL 111,RAO A,2.913,39%,17%,508,2020 Fall
BIOL 111,RAO A,3.333,67%,0%,509,2020 Fall
BIOL 111,RAO A,3.238,52%,29%,510,2020 Fall
BIOL 111,RAO A,3.083,50%,17%,511,2020 Fall
BIOL 111,RAO A,3.181,45%,27%,512,2020 Fall
BIOL 111,HAWKINS A,3.080,48%,20%,513,2020 Fall
BIOL 111,HAWKINS A,3.125,38%,42%,514,2020 Fall
BIOL 111,HAWKINS A,3.000,40%,32%,515,2020 Fall
BIOL 111,HAWKINS A,2.961,42%,19%,516,2020 Fall
BIOL 111,HAWKINS A,3.416,62%,25%,517,2020 Fall
BIOL 111,HAWKINS A,3.045,36%,41%,518,2020 Fall
BIOL 111,HAWKINS A,3.480,64%,20%,519,2020 Fall
BIOL 111,HAWKINS A,3.416,58%,25%,520,2020 Fall
BIOL 111,HAWKINS A,3.160,56%,20%,521,2020 Fall
BIOL 111,HAWKINS A,3.040,36%,36%,522,2020 Fall
BIOL 111,HAWKINS A,3.185,56%,15%,523,2020 Fall
BIOL 111,HAWKINS A,3.240,48%,32%,524,2020 Fall
BIOL 111,TAG A,2.880,36%,32%,525,2020 Fall
BIOL 111,TAG A,3.681,73%,23%,526,2020 Fall
BIOL 111,TAG A,3.304,43%,43%,527,2020 Fall
BIOL 111,TAG A,2.761,38%,24%,528,2020 Fall
BIOL 111,TAG A,3.045,14%,77%,529,2020 Fall
BIOL 111,TAG A,2.947,37%,32%,530,2020 Fall
BIOL 111,TAG A,3.200,47%,40%,531,2020 Fall
BIOL 111,TAG A,3.160,56%,16%,532,2020 Fall
BIOL 111,TAG A,3.300,50%,30%,533,2020 Fall
BIOL 111,TAG A,3.217,43%,39%,534,2020 Fall
BIOL 111,TAG A,2.904,38%,33%,535,2020 Fall
BIOL 111,TAG A,3.000,44%,24%,536,2020 Fall
BIOL 111,FLETCHER S,2.880,44%,24%,537,2020 Fall
BIOL 111,FLETCHER S,3.416,54%,33%,538,2020 Fall
BIOL 111,FLETCHER S,3.240,52%,36%,539,2020 Fall
BIOL 111,FLETCHER S,3.454,59%,32%,540,2020 Fall
BIOL 111,FLETCHER S,2.961,35%,35%,541,2020 Fall
BIOL 111,FLETCHER S,3.320,48%,40%,542,2020 Fall
BIOL 111,FLETCHER S,3.105,37%,37%,543,2020 Fall
BIOL 111,FLETCHER S,3.391,48%,43%,544,2020 Fall
BIOL 111,FLETCHER S,3.478,48%,52%,545,2020 Fall
BIOL 111,FLETCHER S,2.750,33%,29%,546,2020 Fall
BIOL 111,FLETCHER S,3.000,41%,41%,547,2020 Fall
BIOL 111,FLETCHER S,3.000,45%,25%,548,2020 Fall
BIOL 111,FLETCHER S,3.166,50%,33%,549,2020 Fall
BIOL 111,FLETCHER S,3.136,36%,45%,550,2020 Fall
BIOL 111,FLETCHER S,3.565,65%,26%,551,2020 Fall
BIOL 111,FLETCHER S,2.952,29%,38%,552,2020 Fall
BIOL 111,FLETCHER S,3.304,48%,35%,553,2020 Fall
BIOL 111,FLETCHER S,3.000,36%,32%,554,2020 Fall
BIOL 111,FLETCHER S,3.291,50%,29%,555,2020 Fall
BIOL 111,FLETCHER S,3.095,52%,24%,556,2020 Fall
BIOL 111,FLETCHER S,3.192,42%,42%,557,2020 Fall
BIOL 111,FLETCHER S,3.272,55%,27%,558,2020 Fall
BIOL 111,FLETCHER S,3.166,62%,12%,559,2020 Fall
BIOL 111,FLETCHER S,3.347,57%,22%,560,2020 Fall
BIOL 111,FLETCHER S,2.958,42%,25%,561,2020 Fall
BIOL 111,FLETCHER S,3.125,50%,21%,562,2020 Fall
BIOL 111,FLETCHER S,3.250,50%,33%,563,2020 Fall
BIOL 111,FLETCHER S,2.880,36%,24%,564,2020 Fall
BIOL 111,FLETCHER S,3.217,35%,52%,565,2020 Fall
BIOL 111,FLETCHER S,3.153,46%,27%,566,2020 Fall
BIOL 111,FLETCHER S,3.320,56%,28%,567,2020 Fall
BIOL 111,FLETCHER S,3.458,62%,25%,568,2020 Fall
BIOL 111,FLETCHER S,3.200,44%,36%,569,2020 Fall
BIOL 111,FLETCHER S,3.260,52%,26%,570,2020 Fall
BIOL 111,FLETCHER S,3.400,64%,24%,571,2020 Fall
BIOL 111,FLETCHER S,3.230,46%,35%,572,2020 Fall
BIOL 111,ERICKSON J,3.421,42%,58%,573,2020 Fall
BIOL 111,ERICKSON J,3.130,39%,48%,574,2020 Fall
BIOL 111,ERICKSON J,3.058,35%,35%,575,2020 Fall
BIOL 111,ERICKSON J,2.882,35%,41%,576,2020 Fall
BIOL 111,ERICKSON J,2.826,30%,39%,577,2020 Fall
BIOL 111,ERICKSON J,2.952,29%,38%,578,2020 Fall
BIOL 111,ERICKSON J,3.421,58%,26%,579,2020 Fall
BIOL 111,ERICKSON J,3.105,37%,37%,580,2020 Fall
BIOL 111,ERICKSON J,3.130,35%,43%,581,2020 Fall
BIOL 111,ERICKSON J,3.000,27%,45%,582,2020 Fall
BIOL 111,HAWKINS A,3.136,55%,18%,583,2020 Fall
BIOL 111,RAO A,3.312,56%,25%,584,2020 Fall
BIOL 111,HAWKINS A,3.560,68%,24%,585,2020 Fall
BIOL 111,HAWKINS A,3.120,44%,32%,586,2020 Fall
BIOL 111,HAWKINS A,3.040,44%,24%,587,2020 Fall
BIOL 111,TAG A,2.800,40%,40%,588,2020 Fall
BIOL 111,ANIETO U,2.411,29%,18%,M01,2020 Fall
BIOL 111,ANIETO U,2.000,0%,47%,M02,2020 Fall
BIOL 112,ADAMS A,2.960,40%,36%,501,2020 Fall
BIOL 112,ADAMS A,3.136,36%,45%,502,2020 Fall
BIOL 112,ADAMS A,3.086,52%,13%,503,2020 Fall
BIOL 112,ADAMS A,2.772,18%,45%,504,2020 Fall
BIOL 112,ADAMS A,3.130,43%,39%,505,2020 Fall
