course,prof,gpa,% of A,% of B,section_,semester
GEOG 361,ALLEN G,2.625,38%,12%,502,2020 Fall
GEOG 361,ALLEN G,3.500,62%,25%,503,2020 Fall
GEOG 361,ALLEN G,2.714,29%,29%,504,2020 Fall
GEOG 380,BRYSCH C,3.933,93%,7%,900,2020 Fall
GEOG 380,GUNERALP I,3.318,64%,23%,901,2020 Fall
GEOG 390,THOMPSON C,3.117,41%,29%,501,2020 Fall
GEOG 390,THOMPSON C,3.333,56%,28%,502,2020 Fall
GEOG 390,THOMPSON C,3.428,50%,43%,503,2020 Fall
GEOG 390,THOMPSON C,3.000,45%,27%,504,2020 Fall
GEOG 390,THOMPSON C,2.800,47%,13%,505,2020 Fall
GEOG 390,THOMPSON C,2.937,44%,31%,506,2020 Fall
GEOG 390,THOMPSON C,2.846,31%,38%,507,2020 Fall
GEOG 391,ZOU L,3.944,94%,6%,501,2020 Fall
GEOG 391,ZOU L,3.437,75%,12%,502,2020 Fall
GEOG 391,ZOU L,3.428,57%,29%,503,2020 Fall
GEOG 392,ZHANG Z,3.789,84%,11%,500,2020 Fall
GEOG 392,ZHANG Z,3.789,84%,11%,501,2020 Fall
GEOG 392,ZHANG Z,3.647,65%,35%,502,2020 Fall
GEOG 401,O'REILLY K,2.560,20%,44%,500,2020 Fall
GEOG 430,JEPSON W,3.187,31%,56%,900,2020 Fall
GEOG 450,PROUT E,3.454,55%,36%,500,2020 Fall
GEOG 476,GOLDBERG D,3.428,62%,29%,900,2020 Fall
GEOG 484,WELLMAN K,0.000,100%,0%,501,2020 Fall
GEOG 651,ALLEN G,3.375,62%,12%,600,2020 Fall
GEOG 651,FILIPPI A,2.846,62%,8%,775,2020 Fall
GEOG 652,CAIRNS D,3.964,96%,4%,600,2020 Fall
GEOG 659,CAI H,3.714,93%,0%,775,2020 Fall
GEOG 660,THOMPSON C,3.526,74%,16%,600,2020 Fall
GEOG 660,CAI H,3.153,69%,0%,775,2020 Fall
GEOG 662,KINCAID J,3.916,92%,8%,775,2020 Fall
GEOG 663,O'BRIEN D,4.000,100%,0%,775,2020 Fall
GEOG 665,FILIPPI A,3.727,73%,27%,701,2020 Fall
GEOG 665,FILIPPI A,3.571,64%,29%,775,2020 Fall
GEOG 668,FRAUENFELD O,3.571,86%,0%,600,2020 Fall
GEOG 676,ZHANG Z,4.000,100%,0%,600,2020 Fall
GEOG 676,CAI H,3.888,89%,11%,775,2020 Fall
GEOG 678,CAI H,4.000,100%,0%,701,2020 Fall
GEOG 678,CAI H,3.666,78%,11%,775,2020 Fall
GEOG 696,ALLEN G,3.900,90%,10%,600,2020 Fall
GEOL 101,KENDERES E,3.557,72%,18%,501,2020 Fall
GEOL 101,LAMB W,3.258,43%,44%,503,2020 Fall
GEOL 101,RIGGS E,3.344,52%,36%,504,2020 Fall
GEOL 101,KENDERES E,3.539,69%,22%,599,2020 Fall
GEOL 101,RIGGS E,2.812,19%,50%,G04,2020 Fall
GEOL 102,KENDERES E,3.125,46%,29%,501,2020 Fall
GEOL 102,KENDERES E,3.272,41%,45%,502,2020 Fall
GEOL 102,KENDERES E,3.200,56%,28%,503,2020 Fall
