course,prof,gpa,% of A,% of B,section_,semester
WGST 210,BERGMAN M,3.400,60%,20%,503,2020 Fall
WGST 210,EDENS P,3.250,50%,25%,504,2020 Fall
WGST 300,EDENS P,2.600,10%,40%,501,2020 Fall
WGST 300,OSBORNE L,3.000,50%,25%,502,2020 Fall
WGST 316,LAKKIMSETTI C,2.900,40%,40%,501,2020 Fall
WGST 333,SADLER L,3.800,80%,20%,501,2020 Fall
WGST 374,BHATTACHARYA N,3.000,40%,20%,500,2020 Fall
WGST 481,WOLF J,2.555,33%,33%,902,2020 Fall
COMM 101,TARVIN D,4.000,100%,0%,201,2020 Fall
COMM 101,TARVIN D,3.588,76%,12%,502,2020 Fall
COMM 101,TARVIN D,3.882,94%,0%,504,2020 Fall
COMM 101,TARVIN D,3.611,72%,17%,505,2020 Fall
COMM 101,TARVIN D,3.833,83%,17%,507,2020 Fall
COMM 101,TARVIN D,3.647,65%,35%,508,2020 Fall
COMM 101,TARVIN D,3.882,94%,0%,509,2020 Fall
COMM 203,CONRAD C,4.000,100%,0%,200,2020 Fall
COMM 203,STREET N,3.764,76%,24%,201,2020 Fall
COMM 203,CRICK N,3.666,72%,22%,299,2020 Fall
COMM 203,ROWE S,2.857,29%,29%,501,2020 Fall
COMM 203,ROWE S,3.538,54%,46%,502,2020 Fall
COMM 203,ROWE S,2.842,16%,53%,503,2020 Fall
COMM 203,ROWE S,3.363,59%,32%,504,2020 Fall
COMM 203,ROWE S,3.478,65%,26%,505,2020 Fall
COMM 203,ROWE S,3.727,77%,18%,506,2020 Fall
COMM 203,ROWE S,3.300,50%,35%,507,2020 Fall
COMM 203,ROWE S,2.687,12%,56%,508,2020 Fall
COMM 203,ROWE S,3.043,26%,52%,509,2020 Fall
COMM 203,ROWE S,3.166,39%,44%,510,2020 Fall
COMM 203,ROWE S,3.157,53%,32%,511,2020 Fall
COMM 203,ROWE S,3.611,61%,39%,512,2020 Fall
COMM 203,ROWE S,3.391,43%,52%,513,2020 Fall
COMM 203,ROWE S,3.045,36%,41%,514,2020 Fall
COMM 203,ROWE S,3.565,61%,35%,515,2020 Fall
COMM 203,ROWE S,3.375,54%,38%,516,2020 Fall
COMM 203,ROWE S,2.941,29%,53%,517,2020 Fall
COMM 203,ROWE S,3.416,50%,42%,518,2020 Fall
COMM 203,ROWE S,2.850,40%,25%,519,2020 Fall
COMM 203,ROWE S,2.750,30%,35%,520,2020 Fall
COMM 203,ROWE S,2.952,24%,48%,521,2020 Fall
COMM 203,ROWE S,3.217,48%,35%,522,2020 Fall
COMM 203,ROWE S,3.095,43%,43%,523,2020 Fall
COMM 203,ROWE S,3.076,31%,62%,524,2020 Fall
COMM 203,ROLD M,3.000,47%,24%,525,2020 Fall
COMM 203,ANDERSON C,3.384,69%,15%,527,2020 Fall
COMM 203,ITO M,3.217,43%,35%,528,2020 Fall
COMM 203,PARISH N,3.086,43%,39%,529,2020 Fall
COMM 203,GUAJARDO J,3.800,84%,12%,530,2020 Fall
COMM 203,ANDERSON C,3.500,58%,33%,532,2020 Fall
COMM 203,ITO M,3.208,42%,42%,533,2020 Fall
COMM 203,ITO M,3.090,36%,41%,534,2020 Fall
COMM 203,DUBRIWNY T,3.545,68%,27%,590,2020 Fall
COMM 203,LOPEZ J,3.625,88%,4%,591,2020 Fall
COMM 203,LUECK J,3.560,56%,44%,592,2020 Fall
COMM 203,POIROT K,3.208,25%,71%,593,2020 Fall
COMM 203,ROWE S,2.684,26%,37%,594,2020 Fall
COMM 203,SIEGFRIED K,3.708,83%,12%,595,2020 Fall
COMM 203,SIEGFRIED K,3.958,96%,4%,596,2020 Fall
COMM 203,TARVIN D,3.304,39%,52%,597,2020 Fall
COMM 203,WANZER SERRANO D,3.400,50%,40%,598,2020 Fall
COMM 203,WESNER K,2.869,35%,30%,599,2020 Fall
COMM 203,ROWE S,3.100,40%,50%,G02,2020 Fall
COMM 203,ROWE S,2.666,22%,44%,G18,2020 Fall
COMM 203,ROWE S,2.625,12%,62%,G24,2020 Fall
COMM 203,ANDERSON C,2.777,33%,33%,G27,2020 Fall
COMM 203,ANDERSON C,3.300,40%,50%,G32,2020 Fall
COMM 205,BAJAN A,3.090,45%,36%,501,2020 Fall
COMM 205,ASCHENBECK S,3.625,71%,21%,502,2020 Fall
COMM 205,BAJAN A,3.045,32%,55%,503,2020 Fall
COMM 205,ROLD M,3.608,70%,22%,504,2020 Fall
COMM 210,ASCHENBECK S,4.000,100%,0%,200,2020 Fall
COMM 210,ZOU W,3.833,93%,3%,501,2020 Fall
COMM 210,SPIERS A,4.000,100%,0%,502,2020 Fall
COMM 210,YAVARI M,3.333,37%,60%,503,2020 Fall
COMM 210,ITO M,3.285,39%,57%,504,2020 Fall
COMM 215,JACKSON T,3.625,71%,21%,501,2020 Fall
COMM 215,NADKARNI A,3.576,73%,15%,502,2020 Fall
COMM 230,SONG X,3.846,85%,15%,501,2020 Fall
COMM 230,SONG X,3.880,96%,0%,502,2020 Fall
COMM 230,GUAJARDO J,4.000,100%,0%,503,2020 Fall
COMM 230,GUAJARDO J,4.000,100%,0%,504,2020 Fall
COMM 230,LOPEZ J,4.000,100%,0%,505,2020 Fall
COMM 240,BRADLEY N,3.250,75%,8%,501,2020 Fall
COMM 240,BRADLEY N,3.600,90%,0%,502,2020 Fall
COMM 243,MUNSON D,3.736,74%,26%,200,2020 Fall
COMM 243,MUNSON D,3.625,83%,4%,501,2020 Fall
COMM 243,MUNSON D,3.782,83%,13%,502,2020 Fall
COMM 243,MUNSON D,3.916,96%,0%,503,2020 Fall
COMM 245,ADUEN RAMIREZ M,3.961,96%,4%,500,2020 Fall
COMM 250,SONG X,3.892,96%,0%,500,2020 Fall
COMM 250,LOPEZ J,4.000,100%,0%,501,2020 Fall
COMM 257,HAVENS J,2.928,29%,43%,500,2020 Fall
COMM 257,HAVENS J,3.115,42%,42%,501,2020 Fall
COMM 257,HAVENS J,3.105,39%,37%,502,2020 Fall
COMM 257,HAVENS J,3.200,40%,46%,503,2020 Fall
COMM 260,ASCHENBECK S,3.758,78%,19%,500,2020 Fall
COMM 275,LANDMARK S,3.142,40%,46%,500,2020 Fall
COMM 275,GUAJARDO J,3.971,97%,3%,501,2020 Fall
COMM 291,TARVIN D,3.897,97%,0%,500,2020 Fall
COMM 301,CRICK N,3.789,79%,21%,200,2020 Fall
COMM 301,WANZER SERRANO D,3.500,62%,25%,201,2020 Fall
COMM 301,CRICK N,2.934,30%,39%,500,2020 Fall
COMM 301,WANZER SERRANO D,2.770,16%,49%,501,2020 Fall
COMM 301,TARVIN D,2.954,32%,38%,502,2020 Fall
COMM 305,TANG L,3.935,94%,6%,200,2020 Fall
COMM 305,TANG L,4.000,100%,0%,201,2020 Fall
COMM 305,TANG L,3.508,60%,35%,500,2020 Fall
COMM 305,TANG L,3.514,60%,33%,501,2020 Fall
COMM 305,STREET R,2.938,18%,58%,599,2020 Fall
COMM 307,DONALDSON D,3.900,90%,10%,200,2020 Fall
COMM 307,DONALDSON D,3.333,46%,44%,500,2020 Fall
COMM 308,SCHERR S,3.421,42%,58%,200,2020 Fall
COMM 308,WESNER K,2.870,19%,58%,500,2020 Fall
COMM 308,WESNER K,2.866,20%,53%,501,2020 Fall
COMM 308,WU Q,3.750,80%,15%,502,2020 Fall
COMM 308,WESNER K,3.034,34%,38%,503,2020 Fall
COMM 308,WESNER K,2.806,26%,48%,504,2020 Fall
COMM 308,WESNER K,3.448,52%,41%,505,2020 Fall
COMM 308,WESNER K,2.724,28%,34%,506,2020 Fall
COMM 315,STREET N,3.900,90%,10%,200,2020 Fall
COMM 315,STREET N,2.839,29%,37%,500,2020 Fall
COMM 315,ASCHENBECK S,3.390,62%,26%,501,2020 Fall
COMM 320,CONRAD C,3.950,95%,5%,200,2020 Fall
COMM 320,CHAMPINE T,2.737,26%,44%,502,2020 Fall
COMM 321,STREET N,4.000,100%,0%,500,2020 Fall
COMM 322,WESNER K,3.615,69%,23%,500,2020 Fall
COMM 322,WESNER K,3.846,85%,15%,501,2020 Fall
COMM 323,PARISH N,3.800,90%,0%,200,2020 Fall
COMM 323,COOMBS W,3.227,48%,38%,500,2020 Fall
COMM 324,ROWE S,3.631,76%,16%,500,2020 Fall
COMM 325,MUNSON D,2.940,31%,41%,500,2020 Fall
COMM 325,MUNSON D,3.035,38%,43%,501,2020 Fall
COMM 326,PARISH N,3.521,52%,48%,500,2020 Fall
COMM 327,MILLER L,2.797,24%,49%,599,2020 Fall
COMM 330,BURKART P,2.812,6%,69%,500,2020 Fall
COMM 330,CAMPBELL H,3.281,44%,41%,501,2020 Fall
COMM 335,TARVIN D,4.000,100%,0%,200,2020 Fall
COMM 335,WALLIS C,3.600,60%,40%,201,2020 Fall
COMM 335,TARVIN D,3.349,51%,38%,500,2020 Fall
COMM 335,WALLIS C,3.095,33%,43%,501,2020 Fall
COMM 340,DORSEY L,2.698,15%,48%,500,2020 Fall
COMM 340,ROWE S,3.362,57%,31%,501,2020 Fall
COMM 345,ROLD M,3.435,48%,48%,500,2020 Fall
COMM 346,RAMIREZ A,3.600,70%,20%,500,2020 Fall
COMM 350,CAMPBELL H,3.250,34%,59%,500,2020 Fall
COMM 360,SUMPTER R,4.000,100%,0%,200,2020 Fall
COMM 360,SUMPTER R,3.481,56%,37%,500,2020 Fall
COMM 365,LA-PASTINA A,3.520,72%,12%,500,2020 Fall
COMM 370,SONG X,3.472,53%,42%,500,2020 Fall
COMM 375,ROLD M,3.769,77%,23%,200,2020 Fall
COMM 375,MILLER L,3.026,29%,53%,500,2020 Fall
