course,prof,gpa,% of A,% of B,section_,semester
CEHD 603,GOODSON P,4.000,100%,0%,600,2020 Fall
EDAD 601,PONJUAN L,3.571,57%,43%,600,2020 Fall
EDAD 606,FAHRENWALD C,4.000,100%,0%,700,2020 Fall
EDAD 608,POENITZSCH N,3.800,93%,2%,700,2020 Fall
EDAD 608,BARTANEN B,4.000,100%,0%,701,2020 Fall
EDAD 610,BROWN J,4.000,100%,0%,600,2020 Fall
EDAD 618,LECHUGA V,4.000,100%,0%,600,2020 Fall
EDAD 631,BAILEY K,4.000,100%,0%,600,2020 Fall
EDAD 638,WEBB-JOHNSON G,3.883,88%,12%,701,2020 Fall
EDAD 639,LECHUGA V,3.950,95%,5%,601,2020 Fall
EDAD 639,FAHRENWALD C,4.000,100%,0%,700,2020 Fall
EDAD 639,FAHRENWALD C,4.000,100%,0%,701,2020 Fall
EDAD 650,STANLEY C,4.000,100%,0%,600,2020 Fall
EDAD 651,SAAVEDRA A,3.944,94%,6%,600,2020 Fall
EDAD 653,MUSOBA G,4.000,100%,0%,601,2020 Fall
EDAD 655,STANLEY C,4.000,100%,0%,600,2020 Fall
EDAD 669,SALAZAR C,3.583,58%,42%,600,2020 Fall
EDAD 683,BAILEY K,4.000,100%,0%,601,2020 Fall
EDAD 688,MADSEN J,4.000,100%,0%,600,2020 Fall
EDAD 689,LECHUGA V,4.000,100%,0%,600,2020 Fall
EHRD 203,MARK C,4.000,100%,0%,200,2020 Fall
EHRD 203,MARK C,3.500,67%,20%,501,2020 Fall
EHRD 203,MARK C,3.552,63%,32%,502,2020 Fall
EHRD 203,MARK C,3.731,76%,22%,598,2020 Fall
EHRD 203,RICKETTS C,3.265,51%,35%,599,2020 Fall
EHRD 210,COLE S,3.725,80%,12%,500,2020 Fall
EHRD 210,MCNAUGHTEN D,3.609,73%,15%,597,2020 Fall
EHRD 315,MARK C,3.617,68%,29%,500,2020 Fall
EHRD 315,MARK C,3.461,59%,33%,597,2020 Fall
EHRD 371,JIN B,3.862,86%,14%,901,2020 Fall
EHRD 371,SANDLIN J,3.826,83%,17%,902,2020 Fall
EHRD 371,FRENCH P,3.838,84%,16%,920,2020 Fall
EHRD 371,SANTOS R,3.718,78%,16%,999,2020 Fall
EHRD 372,MUYIA M,3.722,72%,28%,500,2020 Fall
EHRD 372,MUYIA M,3.160,44%,36%,501,2020 Fall
EHRD 372,MUYIA M,3.525,62%,32%,569,2020 Fall
EHRD 374,MUYIA M,3.560,61%,34%,599,2020 Fall
EHRD 391,JABARKHAIL S,2.741,19%,35%,501,2020 Fall
EHRD 391,JABARKHAIL S,2.818,12%,58%,502,2020 Fall
EHRD 405,FERGUSON-CAMMARATA,3.695,76%,17%,599,2020 Fall
EHRD 408,FOWLER R,3.868,89%,8%,500,2020 Fall
EHRD 408,SANDLIN J,3.562,72%,19%,550,2020 Fall
EHRD 413,IRELAND J,4.000,100%,0%,500,2020 Fall
EHRD 413,IRELAND J,4.000,100%,0%,501,2020 Fall
EHRD 477,SMITH B,3.885,89%,11%,599,2020 Fall
EHRD 481,FOWLER R,3.875,88%,12%,500,2020 Fall
EHRD 481,FOWLER R,3.900,90%,10%,501,2020 Fall
EHRD 490,HWANG J,3.833,83%,17%,901,2020 Fall
EHRD 490,SANDLIN J,3.081,38%,35%,920,2020 Fall
EHRD 601,WANG J,3.818,82%,18%,600,2020 Fall
EHRD 603,WORKMAN M,3.833,93%,3%,700,2020 Fall
EHRD 605,DOOLEY L,3.818,82%,18%,601,2020 Fall
EHRD 607,WANG J,3.800,80%,20%,600,2020 Fall
EHRD 612,DOOLEY L,3.640,76%,16%,700,2020 Fall
EHRD 612,HWANG J,3.950,95%,5%,701,2020 Fall
EHRD 613,SHEHANE M,3.928,93%,7%,600,2020 Fall
EHRD 614,BEYERLEIN M,3.956,96%,4%,700,2020 Fall
EHRD 616,STEPHENS M,4.000,100%,0%,700,2020 Fall
EHRD 618,DIRANI K,4.000,100%,0%,700,2020 Fall
EHRD 618,HWANG J,3.800,80%,20%,701,2020 Fall
EHRD 619,ALGERT N,4.000,100%,0%,600,2020 Fall
EHRD 624,OPENGART R,3.833,83%,17%,700,2020 Fall
EHRD 625,BEYERLEIN M,4.000,100%,0%,700,2020 Fall
EHRD 625,MORRIS L,3.941,94%,6%,701,2020 Fall
EHRD 627,DIRANI K,4.000,100%,0%,600,2020 Fall
EHRD 630,ALFRED M,3.562,56%,44%,700,2020 Fall
EHRD 636,WOODS C,4.000,100%,0%,600,2020 Fall
EHRD 643,ROUMELL E,4.000,100%,0%,700,2020 Fall
EHRD 651,ROUMELL E,3.833,83%,17%,601,2020 Fall
EHRD 651,KIM J,3.888,89%,11%,602,2020 Fall
EHRD 673,ROSE G,3.909,91%,9%,700,2020 Fall
TCMG 272,MENDOZA DIAZ N,3.371,51%,34%,500,2020 Fall
TCMG 272,LI X,3.228,34%,57%,501,2020 Fall
TCMG 274,THOMAS J,2.812,47%,16%,598,2020 Fall
TCMG 274,WORKMAN M,3.911,94%,3%,599,2020 Fall
TCMG 303,WALKER D,3.718,81%,9%,500,2020 Fall
TCMG 303,WALKER D,3.375,59%,19%,501,2020 Fall
TCMG 308,MAI B,3.377,53%,33%,500,2020 Fall
TCMG 308,MAI B,3.440,52%,42%,598,2020 Fall
