course,prof,gpa,% of A,% of B,section_,semester
ATMO 201,CONLEE D,3.045,33%,47%,501,2019 Spring
ATMO 201,EPIFANIO C,3.023,26%,55%,502,2019 Spring
ATMO 201,EPIFANIO C,3.202,41%,41%,503,2019 Spring
ATMO 201,SCHUMACHER C,3.125,43%,33%,504,2019 Spring
ATMO 201,LOGAN T,3.371,44%,51%,506,2019 Spring
ATMO 201,SANGER N,3.610,73%,17%,507,2019 Spring
ATMO 202,LOGAN T,3.631,89%,0%,501,2019 Spring
ATMO 202,LOGAN T,3.882,94%,0%,502,2019 Spring
ATMO 202,LOGAN T,3.826,83%,17%,504,2019 Spring
ATMO 202,LOGAN T,3.782,91%,4%,505,2019 Spring
ATMO 202,LOGAN T,3.650,80%,15%,508,2019 Spring
ATMO 203,CONLEE D,3.294,59%,18%,501,2019 Spring
ATMO 203,CONLEE D,3.263,42%,42%,502,2019 Spring
ATMO 321,DESSLER A,3.291,54%,25%,500,2019 Spring
ATMO 324,XU Y,3.444,44%,56%,501,2019 Spring
ATMO 324,XU Y,3.071,21%,71%,502,2019 Spring
ATMO 352,NOWOTARSKI C,3.133,40%,33%,501,2019 Spring
ATMO 352,NOWOTARSKI C,2.764,29%,29%,502,2019 Spring
ATMO 370,CONLEE D,4.000,100%,0%,500,2019 Spring
ATMO 435,KORTY R,2.631,21%,37%,501,2019 Spring
ATMO 441,RAPP A,3.090,27%,55%,501,2019 Spring
ATMO 455,SZUNYOGH I,3.222,33%,56%,500,2019 Spring
ATMO 456,CONLEE D,3.464,68%,18%,900,2019 Spring
ATMO 461,WINKLEY S,4.000,100%,0%,501,2019 Spring
ATMO 463,SCHADE G,2.666,8%,58%,500,2019 Spring
ATMO 463,SCHADE G,2.250,0%,50%,900,2019 Spring
ATMO 485,CONLEE D,4.000,100%,0%,501,2019 Spring
ATMO 491,LOGAN T,4.000,100%,0%,509,2019 Spring
ATMO 491,CONLEE D,0.000,100%,0%,530,2019 Spring
ATMO 611,PANETTA R,3.500,50%,50%,600,2019 Spring
ATMO 612,YANG P,3.888,89%,11%,600,2019 Spring
ATMO 613,ZHANG R,3.666,67%,33%,600,2019 Spring
GEOS 105,CHILDRESS L,3.083,33%,47%,500,2019 Spring
GEOS 205,ROARK E,3.826,96%,0%,500,2019 Spring
GEOS 210,NIELSEN-GAMMON J,3.036,37%,39%,500,2019 Spring
GEOS 210,NIELSEN-GAMMON J,3.187,44%,31%,501,2019 Spring
GEOS 405,ROARK E,3.833,93%,3%,902,2019 Spring
GEOS 405,BROOKS S,4.000,100%,0%,903,2019 Spring
GEOS 405,FRAUENFELD O,3.750,83%,8%,904,2019 Spring
GEOS 430,JOCHENS A,3.536,61%,32%,500,2019 Spring
GEOS 431,JOCHENS A,4.000,100%,0%,500,2019 Spring
GEOS 444,LOISEL J,3.578,81%,5%,500,2019 Spring
GEOS 470,DIMARCO S,2.696,42%,18%,500,2019 Spring
GEOS 471,DIMARCO S,3.636,64%,36%,500,2019 Spring
