course,prof,gpa,% of A,% of B,section_,semester
BIOL 100,RAO A,3.818,94%,2%,500,2018 Fall
BIOL 107,WINEMILLER L,2.636,27%,27%,501,2018 Fall
BIOL 107,WINEMILLER L,2.952,33%,33%,502,2018 Fall
BIOL 107,WINEMILLER L,2.333,4%,38%,503,2018 Fall
BIOL 107,WINEMILLER L,2.600,10%,60%,504,2018 Fall
BIOL 107,WINEMILLER L,3.222,44%,33%,505,2018 Fall
BIOL 107,WINEMILLER L,3.000,38%,29%,506,2018 Fall
BIOL 107,WINEMILLER L,3.142,52%,19%,507,2018 Fall
BIOL 107,WINEMILLER L,2.722,28%,22%,508,2018 Fall
BIOL 107,WINEMILLER L,2.550,15%,45%,509,2018 Fall
BIOL 107,WINEMILLER L,2.681,23%,32%,510,2018 Fall
BIOL 107,WINEMILLER L,2.952,38%,43%,511,2018 Fall
BIOL 107,WINEMILLER L,3.166,44%,33%,512,2018 Fall
BIOL 111,RYAN K,3.166,44%,28%,201,2018 Fall
BIOL 111,RYAN K,3.411,47%,47%,202,2018 Fall
BIOL 111,RYAN K,3.466,60%,27%,203,2018 Fall
BIOL 111,RYAN K,3.210,42%,42%,204,2018 Fall
BIOL 111,RAO A,3.000,36%,36%,501,2018 Fall
BIOL 111,RAO A,2.600,25%,40%,502,2018 Fall
BIOL 111,RAO A,2.529,18%,29%,503,2018 Fall
BIOL 111,RAO A,2.800,30%,35%,504,2018 Fall
BIOL 111,RAO A,3.090,50%,18%,505,2018 Fall
BIOL 111,RAO A,2.600,35%,10%,506,2018 Fall
BIOL 111,RAO A,3.315,58%,26%,507,2018 Fall
BIOL 111,RAO A,3.105,42%,26%,508,2018 Fall
BIOL 111,RAO A,3.052,42%,37%,509,2018 Fall
BIOL 111,RAO A,2.947,42%,32%,510,2018 Fall
BIOL 111,RAO A,2.695,30%,30%,511,2018 Fall
BIOL 111,RAO A,3.043,43%,30%,512,2018 Fall
BIOL 111,KEMP W,2.850,25%,45%,513,2018 Fall
BIOL 111,KEMP W,2.130,0%,35%,514,2018 Fall
BIOL 111,KEMP W,2.869,30%,43%,515,2018 Fall
BIOL 111,KEMP W,2.904,33%,29%,516,2018 Fall
BIOL 111,KEMP W,3.000,23%,59%,517,2018 Fall
BIOL 111,KEMP W,2.625,25%,29%,518,2018 Fall
BIOL 111,KEMP W,2.900,15%,65%,519,2018 Fall
BIOL 111,KEMP W,2.600,15%,45%,520,2018 Fall
BIOL 111,KEMP W,2.772,23%,50%,521,2018 Fall
BIOL 111,KEMP W,3.047,38%,38%,522,2018 Fall
BIOL 111,KEMP W,2.789,37%,21%,523,2018 Fall
BIOL 111,KEMP W,2.478,22%,22%,524,2018 Fall
BIOL 111,TAG A,2.565,13%,52%,525,2018 Fall
BIOL 111,TAG A,2.739,30%,35%,526,2018 Fall
BIOL 111,TAG A,3.190,43%,38%,527,2018 Fall
BIOL 111,TAG A,3.041,38%,38%,528,2018 Fall
BIOL 111,TAG A,2.739,26%,35%,529,2018 Fall
BIOL 111,TAG A,3.130,43%,35%,530,2018 Fall
BIOL 111,TAG A,2.700,30%,30%,531,2018 Fall
BIOL 111,TAG A,2.809,38%,29%,532,2018 Fall
BIOL 111,TAG A,3.052,37%,37%,533,2018 Fall
BIOL 111,TAG A,2.782,39%,26%,534,2018 Fall
BIOL 111,TAG A,2.958,25%,54%,535,2018 Fall
BIOL 111,TAG A,2.954,32%,41%,536,2018 Fall
BIOL 111,LEBOEUF B,3.052,53%,11%,537,2018 Fall
BIOL 111,LEBOEUF B,3.200,35%,55%,538,2018 Fall
BIOL 111,LEBOEUF B,2.944,28%,39%,539,2018 Fall
BIOL 111,LEBOEUF B,2.933,33%,33%,540,2018 Fall
BIOL 111,LEBOEUF B,2.437,19%,25%,541,2018 Fall
BIOL 111,LEBOEUF B,3.133,47%,27%,542,2018 Fall
BIOL 111,LEBOEUF B,2.937,38%,31%,543,2018 Fall
BIOL 111,LEBOEUF B,3.000,50%,17%,544,2018 Fall
BIOL 111,LEBOEUF B,3.000,38%,31%,545,2018 Fall
BIOL 111,LEBOEUF B,3.062,38%,38%,546,2018 Fall
BIOL 111,LEBOEUF B,3.461,62%,23%,547,2018 Fall
BIOL 111,LEBOEUF B,2.631,26%,26%,548,2018 Fall
BIOL 111,KEMP W,2.875,29%,46%,549,2018 Fall
BIOL 111,KEMP W,2.578,16%,37%,550,2018 Fall
BIOL 111,KEMP W,2.833,22%,50%,551,2018 Fall
BIOL 111,KEMP W,2.454,14%,36%,552,2018 Fall
BIOL 111,KEMP W,2.600,20%,30%,553,2018 Fall
BIOL 111,KEMP W,1.800,13%,20%,554,2018 Fall
BIOL 111,KEMP W,2.631,16%,42%,555,2018 Fall
BIOL 111,KEMP W,2.950,25%,50%,556,2018 Fall
