course,prof,gpa,% of A,% of B,section_,semester
ENDS 101,HILL R,3.960,96%,4%,207,2018 Fall
ENDS 101,CAFFEY S,3.738,80%,15%,501,2018 Fall
ENDS 101,CAFFEY S,3.854,90%,7%,701,2018 Fall
ENDS 105,HE W,3.277,33%,61%,506,2018 Fall
ENDS 105,OBRIEN M,3.523,71%,19%,507,2018 Fall
ENDS 105,FAULKNER M,3.300,50%,35%,508,2018 Fall
ENDS 105,BORGES GONZALEZ A,3.300,40%,50%,509,2018 Fall
ENDS 105,TATE J,3.454,59%,27%,510,2018 Fall
ENDS 105,TRIPP A,3.100,35%,45%,511,2018 Fall
ENDS 115,HERNANDEZ-MAYEN S,3.611,72%,17%,506,2018 Fall
ENDS 115,DANESH M,3.952,95%,5%,507,2018 Fall
ENDS 115,FARAHBAKHSH M,4.000,100%,0%,508,2018 Fall
ENDS 115,ANIFOWOSE H,3.550,55%,45%,509,2018 Fall
ENDS 115,DANESH M,3.954,95%,5%,510,2018 Fall
ENDS 115,FARAHBAKHSH M,3.850,90%,5%,511,2018 Fall
CARC 181,FEIGENBAUM L,4.000,100%,0%,501,2018 Fall
CARC 181,FEIGENBAUM L,4.000,100%,0%,502,2018 Fall
CARC 181,FEIGENBAUM L,3.545,77%,9%,503,2018 Fall
CARC 181,FEIGENBAUM L,4.000,100%,0%,504,2018 Fall
CARC 181,FEIGENBAUM L,3.923,92%,8%,505,2018 Fall
CARC 181,FEIGENBAUM L,3.894,95%,0%,507,2018 Fall
CARC 181,FEIGENBAUM L,3.764,82%,12%,508,2018 Fall
CARC 181,FEIGENBAUM L,3.944,94%,6%,509,2018 Fall
CARC 301,DAVISON R,3.857,86%,14%,550,2018 Fall
CARC 301,ROGERS J,3.000,0%,100%,551,2018 Fall
CARC 301,MARTIN J,3.375,38%,62%,552,2018 Fall
CARC 301,ROLDAN M,3.428,43%,57%,553,2018 Fall
CARC 311,DAVISON R,3.928,93%,7%,550,2018 Fall
CARC 311,ROGERS J,4.000,100%,0%,551,2018 Fall
CARC 311,MARTIN J,3.454,50%,45%,552,2018 Fall
CARC 311,ROLDAN M,3.772,77%,23%,554,2018 Fall
CARC 331,DI PASQUALE G,4.000,100%,0%,550,2018 Fall
CARC 331,MARTIN J,3.166,21%,75%,551,2018 Fall
CARC 331,ROLDAN M,3.681,68%,32%,552,2018 Fall
CARC 481,ABBOTT E,3.995,100%,0%,503,2018 Fall
CARC 485,FEIGENBAUM L,4.000,100%,0%,503,2018 Fall
CARC 485,FEIGENBAUM L,4.000,100%,0%,507,2018 Fall
CARC 601,VAN ZANDT S,3.578,58%,42%,600,2018 Fall
COSC 153,NICHOLS J,4.000,100%,0%,500,2018 Fall
COSC 175,WORKMAN R,2.571,10%,38%,901,2018 Fall
COSC 175,BIRDWELL R,3.520,56%,40%,902,2018 Fall
COSC 175,DIXIT M,3.520,52%,48%,903,2018 Fall
COSC 175,WORKMAN R,3.041,25%,54%,904,2018 Fall
COSC 175,BOLDT G,2.916,17%,67%,905,2018 Fall
COSC 175,NICHOLS J,4.000,100%,0%,906,2018 Fall
COSC 175,EUSTACE G,3.450,50%,45%,907,2018 Fall
COSC 175,RYBKOWSKI Z,3.450,45%,55%,908,2018 Fall
COSC 175,DIXIT M,3.684,74%,21%,909,2018 Fall
COSC 253,SIMMS L,2.377,12%,32%,501,2018 Fall
COSC 253,SIMMS L,2.879,17%,55%,502,2018 Fall
COSC 253,CARLSON K,3.382,45%,49%,599,2018 Fall
