course,prof,gpa,% of A,% of B,section_,semester
BUSH 602,RAISOR C,0.000,56%,22%,600,2018 Fall
BUSH 631,CORTES K,3.791,79%,21%,601,2018 Fall
BUSH 631,CORTES K,3.761,86%,5%,602,2018 Fall
BUSH 631,LAHEY J,3.470,65%,24%,603,2018 Fall
BUSH 631,LAHEY J,3.461,46%,54%,604,2018 Fall
BUSH 631,LENZ E,3.640,64%,36%,605,2018 Fall
BUSH 631,LENZ E,3.896,90%,10%,606,2018 Fall
BUSH 631,BULLOCK J,3.722,89%,6%,700,2018 Fall
INTA 601,CREAN J,3.692,73%,23%,601,2018 Fall
INTA 603,NAPPER L,3.625,62%,38%,601,2018 Fall
INTA 603,NAPPER L,3.125,12%,88%,602,2018 Fall
INTA 603,NAPPER L,3.625,62%,38%,603,2018 Fall
INTA 604,TABAAR M,3.692,69%,31%,600,2018 Fall
INTA 605,MAYBORN W,3.400,55%,30%,600,2018 Fall
INTA 605,CESARIO B,3.263,42%,53%,601,2018 Fall
INTA 605,TALBOT B,3.416,50%,42%,700,2018 Fall
INTA 606,HERMANN C,3.695,70%,30%,601,2018 Fall
INTA 606,SCHUESSLER J,3.384,38%,62%,602,2018 Fall
INTA 606,MARIN THORNTON G,4.000,100%,0%,603,2018 Fall
INTA 606,ROSS A,3.375,38%,62%,604,2018 Fall
INTA 608,MU R,3.464,46%,54%,600,2018 Fall
INTA 608,ROBERTSON R,3.694,72%,25%,601,2018 Fall
INTA 609,SIEVERT R,3.666,71%,25%,600,2018 Fall
INTA 612,SIEVERT R,3.400,60%,30%,600,2018 Fall
INTA 616,MU R,3.714,86%,0%,600,2018 Fall
INTA 620,MAYBORN W,3.875,88%,12%,600,2018 Fall
INTA 635,NATSIOS A,4.000,100%,0%,600,2018 Fall
INTA 637,GOTTLIEB J,3.714,71%,29%,600,2018 Fall
INTA 642,GOTTLIEB J,3.583,58%,42%,600,2018 Fall
INTA 643,HAMIE C,3.500,50%,50%,600,2018 Fall
INTA 645,HUDSON V,3.952,95%,5%,600,2018 Fall
INTA 646,HUDSON V,3.583,67%,25%,600,2018 Fall
INTA 648,HUANG R,3.736,74%,26%,600,2018 Fall
INTA 651,RUSSELL R,3.562,75%,19%,700,2018 Fall
INTA 652,OLSON J,3.500,50%,50%,600,2018 Fall
INTA 652,RUSSELL R,3.583,58%,42%,700,2018 Fall
INTA 657,POPE J,3.631,79%,16%,600,2018 Fall
INTA 659,HUANG R,3.523,52%,48%,600,2018 Fall
INTA 659,DALY S,3.142,57%,29%,700,2018 Fall
INTA 663,EDEN L,4.000,100%,0%,601,2018 Fall
INTA 663,EDEN L,4.000,100%,0%,602,2018 Fall
INTA 667,OLSON J,3.850,85%,15%,600,2018 Fall
INTA 670,MARIN THORNTON G,4.000,100%,0%,601,2018 Fall
INTA 671,SNIDER E,3.750,75%,25%,600,2018 Fall
INTA 672,NORRIS W,3.578,58%,42%,600,2018 Fall
INTA 673,NORRIS W,3.285,50%,29%,600,2018 Fall
INTA 675,TABAAR M,3.571,57%,43%,600,2018 Fall
INTA 680,SMITH J,3.333,67%,22%,700,2018 Fall
INTA 686,NAPPER L,3.700,70%,30%,600,2018 Fall
INTA 689,THOROUGHMAN K,3.750,75%,25%,601,2018 Fall
INTA 689,THOROUGHMAN K,3.916,92%,8%,602,2018 Fall
INTA 689,ROBERTSON R,3.444,44%,56%,606,2018 Fall
INTA 689,RUYLE L,4.000,100%,0%,607,2018 Fall
PSAA 601,WEST W,3.714,71%,29%,601,2018 Fall
PSAA 601,BULLOCK J,3.869,87%,13%,602,2018 Fall
PSAA 601,BRIGHT L,3.842,89%,5%,603,2018 Fall
PSAA 601,BULLOCK J,3.960,96%,4%,604,2018 Fall
PSAA 602,TAYLOR K,4.000,100%,0%,600,2018 Fall
PSAA 602,COLE S,3.388,56%,39%,700,2018 Fall
PSAA 604,MCINTYRE D,3.800,80%,20%,600,2018 Fall
PSAA 608,WHITTEN G,3.782,83%,13%,700,2018 Fall
PSAA 610,HILDERBRAND M,3.625,62%,38%,600,2018 Fall
PSAA 611,BULLOCK J,3.850,90%,5%,700,2018 Fall
PSAA 615,MARCHBANKS M,3.666,67%,33%,601,2018 Fall
PSAA 615,MARCHBANKS M,3.666,72%,22%,602,2018 Fall
PSAA 616,ASHLEY F,3.916,92%,8%,600,2018 Fall
PSAA 617,BOWMAN A,3.904,90%,10%,600,2018 Fall
PSAA 621,HANNIBAL B,3.583,67%,29%,601,2018 Fall
PSAA 621,DAGUE L,3.190,38%,43%,602,2018 Fall
PSAA 621,DAGUE L,3.360,40%,56%,603,2018 Fall
PSAA 621,HOUSE D,3.736,74%,26%,604,2018 Fall
PSAA 621,SMITH S,3.928,93%,7%,700,2018 Fall
PSAA 623,GREER R,3.812,81%,19%,601,2018 Fall
PSAA 623,GREER R,3.785,79%,21%,602,2018 Fall
PSAA 623,LITTLE C,3.791,83%,12%,700,2018 Fall
PSAA 624,PORTNEY K,3.454,45%,55%,600,2018 Fall
PSAA 630,MORRISON J,3.869,87%,13%,700,2018 Fall
PSAA 632,LITTLE C,4.000,100%,0%,700,2018 Fall
PSAA 633,SEAWORTH A,3.363,64%,27%,700,2018 Fall
PSAA 634,SMITH S,3.933,93%,7%,700,2018 Fall
PSAA 643,ROBICHAU R,3.476,52%,43%,600,2018 Fall
PSAA 643,ROBICHAU R,3.550,55%,45%,602,2018 Fall
PSAA 643,QU H,3.312,31%,69%,603,2018 Fall
PSAA 643,QU H,3.185,30%,59%,604,2018 Fall
PSAA 643,LUM J,3.619,86%,5%,700,2018 Fall
PSAA 644,BROWN W,3.357,54%,36%,600,2018 Fall
PSAA 644,LITTLE C,3.583,83%,0%,700,2018 Fall
PSAA 648,KERR D,4.000,100%,0%,600,2018 Fall
PSAA 654,BAILEY M,2.666,50%,17%,700,2018 Fall
PSAA 655,SHAW T,3.642,71%,21%,700,2018 Fall
PSAA 656,ROLLINS J,3.076,77%,0%,700,2018 Fall
PSAA 660,DAVIS D,4.000,100%,0%,600,2018 Fall
PSAA 661,BRIGHT L,4.000,100%,0%,600,2018 Fall
PSAA 668,SHAW T,2.666,67%,0%,700,2018 Fall
PSAA 675,MCINTYRE D,4.000,100%,0%,601,2018 Fall
PSAA 675,DAVIS D,4.000,100%,0%,603,2018 Fall
PSAA 675,VEDLITZ A,4.000,100%,0%,604,2018 Fall
PSAA 675,UPTON M,3.875,88%,12%,605,2018 Fall
PSAA 675,COLE S,3.750,75%,25%,607,2018 Fall
PSAA 675,GRAHAM C,4.000,100%,0%,608,2018 Fall
PSAA 675,HILDERBRAND M,4.000,100%,0%,609,2018 Fall
PSAA 675,KERR D,3.666,67%,33%,610,2018 Fall
PSAA 675,TAYLOR K,4.000,100%,0%,611,2018 Fall
PSAA 676,DAVIS D,4.000,100%,0%,700,2018 Fall
PSAA 676,COLE S,4.000,100%,0%,701,2018 Fall
