course,prof,gpa,% of A,% of B,section_,semester
BIMS 101,IVANOV I,3.805,87%,10%,501,2018 Spring
BIMS 101,IVANOV I,3.834,90%,7%,502,2018 Spring
BIMS 101,TIAN Y,3.979,98%,2%,504,2018 Spring
BIMS 110,YOUNG C,3.755,78%,20%,501,2018 Spring
BIMS 110,YOUNG C,3.705,74%,22%,502,2018 Spring
BIMS 201,CROUCH E,3.575,67%,24%,500,2018 Spring
BIMS 289,YOUNG C,3.758,84%,10%,501,2018 Spring
BIMS 289,YOUNG C,3.818,86%,9%,502,2018 Spring
BIMS 289,KRENEK N,4.000,100%,0%,503,2018 Spring
BIMS 320,SEABURY C,3.866,87%,13%,200,2018 Spring
BIMS 320,DERR J,3.440,56%,32%,502,2018 Spring
BIMS 320,MURPHY W,3.035,36%,36%,503,2018 Spring
BIMS 320,SKOW L,3.256,54%,22%,504,2018 Spring
BIMS 421,VENKATRAJ V,3.939,94%,6%,500,2018 Spring
BIMS 485,CROUCH E,3.918,93%,7%,501,2018 Spring
BIMS 485,CROUCH E,4.000,100%,0%,543,2018 Spring
VMID 686,JOHNSON L,3.897,97%,0%,600,2018 Spring
VIBS 243,JOHNSON L,3.625,69%,25%,500,2018 Spring
VIBS 243,JOHNSON L,3.725,78%,16%,501,2018 Spring
VIBS 285,JOHNSON L,4.000,100%,0%,515,2018 Spring
VIBS 305,PINE M,3.863,86%,14%,200,2018 Spring
VIBS 305,PINE M,2.735,28%,29%,500,2018 Spring
VIBS 305,PINE M,2.646,22%,37%,501,2018 Spring
VIBS 401,ABBOTT L,3.933,93%,7%,500,2018 Spring
VIBS 411,PORTER W,3.153,46%,38%,501,2018 Spring
VIBS 413,HAMER S,3.666,70%,27%,500,2018 Spring
VIBS 420,SNELL J,4.000,100%,0%,501,2018 Spring
VIBS 420,SNELL J,4.000,100%,0%,502,2018 Spring
VIBS 422,AROSH S,3.985,99%,1%,500,2018 Spring
VIBS 443,JOHNSON L,2.769,46%,23%,900,2018 Spring
VIBS 485,JOHNSON L,4.000,100%,0%,500,2018 Spring
VIBS 489,PINE M,4.000,100%,0%,500,2018 Spring
VIBS 489,CURLEY K,3.684,68%,32%,930,2018 Spring
VIBS 489,YEOMAN M,3.266,53%,33%,931,2018 Spring
VIBS 602,JOHNSON L,3.550,65%,25%,601,2018 Spring
VIBS 607,HAMER S,3.666,67%,33%,500,2018 Spring
VIBS 610,SCOTT H,3.666,67%,33%,600,2018 Spring
VIBS 611,PORTER W,3.750,75%,25%,601,2018 Spring
VIBS 613,CAI J,3.500,50%,50%,601,2018 Spring
VIBS 622,AROSH S,4.000,100%,0%,600,2018 Spring
VIBS 640,LI J,4.000,100%,0%,601,2018 Spring
VIBS 650,RIJNKELS M,4.000,100%,0%,633,2018 Spring
VIBS 658,HARTBERG Y,4.000,100%,0%,600,2018 Spring
VIBS 664,GASTEL B,3.727,73%,27%,600,2018 Spring
VIBS 670,RUSYN I,4.000,100%,0%,600,2018 Spring
VIBS 685,GASTEL B,3.863,88%,12%,642,2018 Spring
VIBS 689,RUSYN I,3.666,67%,33%,600,2018 Spring
VLCS 422,COHEN N,3.817,84%,14%,501,2018 Spring
VLCS 485,COHEN N,4.000,100%,0%,503,2018 Spring
VTPP 123,QUICK C,3.925,93%,7%,501,2018 Spring
VTPP 123,QUICK C,3.894,95%,0%,502,2018 Spring
VTPP 123,QUICK C,3.975,98%,2%,503,2018 Spring
VTPP 123,QUICK C,3.950,95%,5%,504,2018 Spring
VTPP 224,DONGAONKAR R,4.000,100%,0%,501,2018 Spring
VTPP 224,DONGAONKAR R,4.000,100%,0%,502,2018 Spring
VTPP 235,QUICK C,4.000,100%,0%,500,2018 Spring
VTPP 235,QUICK C,4.000,100%,0%,501,2018 Spring
VTPP 285,BLUE MCLENDON A,4.000,100%,0%,508,2018 Spring
VTPP 323,BLUE MCLENDON A,3.081,36%,39%,500,2018 Spring
VTPP 401,WASSER J,4.000,100%,0%,550,2018 Spring
VTPP 423,HERMAN J,2.442,17%,31%,501,2018 Spring
VTPP 423,NEWELL-FUGATE A,2.140,11%,32%,502,2018 Spring
VTPP 423,DAVIS A,2.439,11%,38%,503,2018 Spring
VTPP 423,HERMAN J,2.280,8%,48%,504,2018 Spring
VTPP 423,NEWELL-FUGATE A,2.000,13%,13%,505,2018 Spring
VTPP 423,DAVIS A,2.705,29%,35%,506,2018 Spring
VTPP 423,WASSER J,3.416,42%,58%,550,2018 Spring
VTPP 427,HERMAN J,3.416,50%,42%,500,2018 Spring
VTPP 435,RAMADOSS J,3.014,26%,53%,501,2018 Spring
VTPP 435,RAMADOSS J,3.100,26%,59%,502,2018 Spring
VTPP 435,WASSER J,3.615,62%,38%,550,2018 Spring
VTPP 452,GOLDING M,2.833,50%,0%,501,2018 Spring
VTPP 485,QUICK C,4.000,100%,0%,501,2018 Spring
VTPP 485,DONGAONKAR R,4.000,100%,0%,502,2018 Spring
VTPP 485,BLUE MCLENDON A,3.928,95%,5%,508,2018 Spring
VTPP 485,NEWELL-FUGATE A,4.000,100%,0%,526,2018 Spring
VTPP 485,WASSER J,4.000,100%,0%,550,2018 Spring
VTPP 489,FAJT V,3.454,45%,55%,550,2018 Spring
VTPP 623,HERMAN J,1.600,0%,40%,601,2018 Spring
VTPP 627,HERMAN J,3.600,60%,40%,600,2018 Spring
VTPP 652,GOLDING M,3.000,33%,33%,601,2018 Spring
VTPP 676,TIAN Y,4.000,100%,0%,600,2018 Spring
VTPP 689,HAN G,3.812,81%,19%,600,2018 Spring
VPAR 605,ZHU G,3.750,75%,25%,600,2018 Spring
VPAT 652,WEEKS B,3.833,92%,0%,600,2018 Spring
VTMI 615,CRISCITIELLO M,3.384,38%,62%,600,2018 Spring
VTMI 649,FARNELL M,3.658,73%,20%,600,2018 Spring
VTPB 221,OMRAN M,3.704,77%,17%,500,2018 Spring
VTPB 285,ESTEVE-GASENT M,3.600,60%,40%,507,2018 Spring
VTPB 301,COOK W,3.611,67%,27%,500,2018 Spring
VTPB 334,REDDY S,2.740,22%,42%,501,2018 Spring
VTPB 405,PAYNE S,3.615,68%,28%,503,2018 Spring
VTPB 405,PAYNE S,3.523,60%,32%,504,2018 Spring
VTPB 409,TIZARD I,3.182,48%,32%,500,2018 Spring
VTPB 410,WEEKS B,3.379,72%,7%,500,2018 Spring
VTPB 415,CRISCITIELLO M,3.142,43%,29%,500,2018 Spring
VTPB 421,OMRAN M,2.739,35%,22%,500,2018 Spring
VTPB 438,PAYNE S,3.300,44%,42%,500,2018 Spring
VTPB 485,THREADGILL D,4.000,100%,0%,501,2018 Spring
VTPB 485,TURNER K,4.000,100%,0%,522,2018 Spring
VTPB 489,RIVERA G,3.444,44%,56%,500,2018 Spring
