course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,ALVARD M,2.423,14%,37%,501,2018 Spring
ANTH 201,BRYANT V,2.568,14%,43%,599,2018 Spring
ANTH 202,WATERS M,2.523,19%,26%,500,2018 Spring
ANTH 204,GRAF K,2.684,26%,32%,500,2018 Spring
ANTH 205,VIEIRA DE CASTRO L,3.424,52%,40%,501,2018 Spring
ANTH 205,LYNCH D,3.300,52%,31%,502,2018 Spring
ANTH 205,LYNCH D,3.327,52%,32%,503,2018 Spring
ANTH 205,SMITH M,3.553,72%,18%,504,2018 Spring
ANTH 205,BORD A,3.096,40%,33%,506,2018 Spring
ANTH 205,DOZIER C,3.607,76%,14%,507,2018 Spring
ANTH 205,BURKE A,2.928,21%,54%,508,2018 Spring
ANTH 205,BRYANT V,2.397,12%,38%,599,2018 Spring
ANTH 210,KENNEDY C,3.338,52%,40%,501,2018 Spring
ANTH 210,DEMPSEY A,3.586,72%,14%,502,2018 Spring
ANTH 225,ATHREYA S,2.600,23%,33%,501,2018 Spring
ANTH 225,GURSKY S,2.423,19%,23%,599,2018 Spring
ANTH 226,HODGES S,3.777,78%,22%,501,2018 Spring
ANTH 226,ACHORN A,3.666,73%,20%,502,2018 Spring
ANTH 229,GREEN T,2.761,24%,38%,500,2018 Spring
ANTH 301,THOMS A,2.750,25%,38%,500,2018 Spring
ANTH 305,LINDERHOLM A,2.913,17%,65%,900,2018 Spring
ANTH 312,DE RUITER D,2.619,24%,38%,500,2018 Spring
ANTH 316,PULAK C,2.842,39%,18%,501,2018 Spring
ANTH 317,WACHSMANN S,2.526,18%,30%,500,2018 Spring
ANTH 324,BUSTOS I,4.000,100%,0%,201,2018 Spring
ANTH 324,BUSTOS I,3.615,72%,21%,501,2018 Spring
ANTH 324,BUSTOS I,3.680,72%,24%,502,2018 Spring
ANTH 324,BUSTOS I,3.722,76%,20%,504,2018 Spring
ANTH 340,GREEN T,3.500,62%,25%,500,2018 Spring
