course,prof,gpa,% of A,% of B,section_,semester
AERO 201,SHRYOCK K,2.785,0%,82%,500,2018 Spring
AERO 202,SHRYOCK K,2.400,0%,60%,500,2018 Spring
AERO 210,LE GRAVEREND J,2.833,8%,75%,200,2018 Spring
AERO 210,BOYD J,2.225,13%,19%,500,2018 Spring
AERO 210,LE GRAVEREND J,2.058,2%,20%,501,2018 Spring
AERO 212,KARPETIS A,2.942,35%,35%,500,2018 Spring
AERO 214,LE GRAVEREND J,2.305,3%,31%,500,2018 Spring
AERO 214,NARAGHI M,2.508,21%,33%,501,2018 Spring
AERO 220,BORISSOV S,4.000,100%,0%,200,2018 Spring
AERO 220,BORISSOV S,2.844,44%,20%,500,2018 Spring
AERO 220,TROPINA A,2.972,38%,32%,501,2018 Spring
AERO 301,LIMBACH C,4.000,100%,0%,200,2018 Spring
AERO 301,LIMBACH C,3.228,43%,43%,500,2018 Spring
AERO 302,TICHENOR N,3.333,56%,33%,900,2018 Spring
AERO 302,TICHENOR N,2.933,33%,53%,901,2018 Spring
AERO 302,TICHENOR N,3.461,69%,23%,902,2018 Spring
AERO 303,POLUDNENKO O,3.428,43%,57%,200,2018 Spring
AERO 303,POLUDNENKO O,2.844,28%,38%,500,2018 Spring
AERO 303,BOWERSOX R,3.028,37%,29%,501,2018 Spring
AERO 304,KINRA V,2.555,22%,33%,500,2018 Spring
AERO 306,BENZERGA A,2.623,19%,39%,500,2018 Spring
AERO 306,WHITCOMB J,2.547,14%,38%,501,2018 Spring
AERO 310,MOBLE B,3.232,41%,48%,500,2018 Spring
AERO 321,VADALI S,2.672,17%,36%,500,2018 Spring
AERO 321,VADALI S,2.310,14%,24%,501,2018 Spring
AERO 351,TICHENOR N,2.651,21%,39%,500,2018 Spring
AERO 351,CIZMAS P,2.122,8%,18%,501,2018 Spring
AERO 401,POLLOCK T,4.000,100%,0%,500,2018 Spring
AERO 401,LUTZ W,4.000,100%,0%,501,2018 Spring
AERO 401,CHAMITOFF G,4.000,100%,0%,503,2018 Spring
AERO 402,ELMENDORF H,4.000,100%,0%,501,2018 Spring
AERO 402,POLLOCK T,3.766,77%,23%,502,2018 Spring
AERO 405,HARTL D,3.285,36%,57%,500,2018 Spring
AERO 413,WONG Z,2.900,19%,54%,500,2018 Spring
AERO 417,KARPETIS A,3.473,55%,37%,500,2018 Spring
AERO 422,BHATTACHARYA R,2.750,25%,32%,500,2018 Spring
AERO 423,ADURTHI N,3.204,35%,51%,500,2018 Spring
AERO 425,VALASEK J,4.000,100%,0%,500,2018 Spring
AERO 430,STROUBOULIS T,3.940,94%,6%,500,2018 Spring
AERO 445,VALASEK J,3.722,72%,28%,500,2018 Spring
AERO 451,CHAMITOFF G,3.813,81%,19%,500,2018 Spring
AERO 452,REED H,3.028,26%,53%,500,2018 Spring
AERO 489,HARA K,3.875,88%,12%,500,2018 Spring
AERO 491,POLUDNENKO O,3.600,80%,20%,546,2018 Spring
AERO 602,DONZIS D,3.181,30%,58%,600,2018 Spring
AERO 606,NARAGHI M,3.714,71%,29%,600,2018 Spring
AERO 624,MAJJI M,3.888,89%,11%,600,2018 Spring
AERO 629,MILES R,3.500,57%,36%,600,2018 Spring
AERO 630,CHAKRAVORTY S,3.764,76%,24%,600,2018 Spring
AERO 640,GIRIMAJI S,3.758,76%,24%,600,2018 Spring
AERO 650,MORTARI D,3.900,90%,10%,600,2018 Spring
AERO 651,CHAMITOFF G,3.789,79%,21%,600,2018 Spring
AERO 689,HARA K,3.888,89%,11%,600,2018 Spring
AERO 689,HARTL D,4.000,100%,0%,601,2018 Spring
AERO 689,SKELTON R,4.000,100%,0%,602,2018 Spring
AERO 689,MOBLE B,4.000,100%,0%,603,2018 Spring
MEMA 611,KINRA V,3.875,88%,12%,600,2018 Spring
MEMA 646,STROUBOULIS T,4.000,100%,0%,600,2018 Spring
BMEN 211,GIBBS H,3.857,86%,14%,200,2018 Spring
BMEN 211,GIBBS H,3.625,62%,38%,201,2018 Spring
BMEN 211,GIBBS H,3.596,65%,30%,500,2018 Spring
BMEN 211,GIBBS H,3.142,43%,36%,501,2018 Spring
BMEN 211,DEL BOSQUE R,3.666,67%,33%,550,2018 Spring
BMEN 253,CRISCIONE J,3.782,78%,22%,500,2018 Spring
BMEN 253,CRISCIONE J,3.689,71%,28%,501,2018 Spring
BMEN 253,DEL BOSQUE R,4.000,100%,0%,550,2018 Spring
BMEN 322,HUANG S,3.333,50%,33%,500,2018 Spring
BMEN 341,MORENO M,3.057,32%,45%,500,2018 Spring
BMEN 344,ALGE D,3.328,47%,41%,500,2018 Spring
BMEN 344,XIN S,3.192,37%,47%,501,2018 Spring
BMEN 345,KELLER B,3.750,75%,25%,501,2018 Spring
BMEN 345,KELLER B,4.000,100%,0%,502,2018 Spring
BMEN 345,KELLER B,3.777,78%,22%,503,2018 Spring
BMEN 345,KELLER B,3.777,78%,22%,504,2018 Spring
BMEN 345,KELLER B,3.888,89%,11%,505,2018 Spring
BMEN 345,KELLER B,3.777,78%,22%,506,2018 Spring
BMEN 345,KELLER B,3.888,89%,11%,507,2018 Spring
BMEN 345,KELLER B,3.555,56%,44%,508,2018 Spring
BMEN 353,BISWAS S,3.985,99%,1%,500,2018 Spring
BMEN 353,BISWAS S,3.888,89%,11%,501,2018 Spring
BMEN 361,CRISCIONE J,3.710,78%,16%,501,2018 Spring
BMEN 400,WASSER J,4.000,100%,0%,550,2018 Spring
BMEN 401,YAKOVLEV V,3.766,80%,17%,500,2018 Spring
BMEN 420,MCDOUGALL M,3.800,80%,20%,201,2018 Spring
BMEN 420,MCDOUGALL M,2.830,30%,35%,500,2018 Spring
BMEN 420,MCDOUGALL M,2.828,23%,44%,501,2018 Spring
BMEN 431,HWANG W,2.846,27%,38%,500,2018 Spring
BMEN 433,THYPARAMBIL A,3.866,87%,13%,500,2018 Spring
BMEN 450,MAITLAND D,3.833,83%,17%,900,2018 Spring
BMEN 450,MAITLAND D,3.970,97%,3%,901,2018 Spring
BMEN 450,MAITLAND D,3.875,90%,8%,902,2018 Spring
BMEN 454,BREWER M,3.960,96%,4%,500,2018 Spring
BMEN 454,BREWER M,3.978,98%,2%,501,2018 Spring
BMEN 457,ROBBINS A,3.450,60%,25%,500,2018 Spring
BMEN 469,BISWAS S,3.846,85%,15%,500,2018 Spring
BMEN 471,HWANG W,3.235,47%,29%,500,2018 Spring
BMEN 480,SEARS N,3.550,55%,45%,500,2018 Spring
BMEN 485,BREWER M,4.000,100%,0%,547,2018 Spring
BMEN 486,GAHARWAR A,3.629,70%,22%,500,2018 Spring
BMEN 491,GUISEPPIELIE A,4.000,100%,0%,502,2018 Spring
BMEN 491,MORENO M,4.000,100%,0%,537,2018 Spring
BMEN 625,MAITLAND K,3.600,60%,40%,600,2018 Spring
BMEN 635,ALGE D,3.600,60%,40%,600,2018 Spring
BMEN 641,HWANG W,3.625,62%,38%,600,2018 Spring
BMEN 657,CRISCIONE J,3.272,45%,36%,600,2018 Spring
BMEN 669,BISWAS S,3.800,80%,20%,600,2018 Spring
BMEN 674,KAUNAS R,3.977,98%,2%,600,2018 Spring
BMEN 680,SEARS N,3.333,50%,33%,600,2018 Spring
BMEN 686,GAHARWAR A,3.692,69%,31%,600,2018 Spring
CHEN 204,VADDIRAJU S,2.568,10%,41%,500,2018 Spring
CHEN 205,LUTKENHAUS J,3.200,29%,63%,200,2018 Spring
CHEN 205,LUTKENHAUS J,2.714,21%,38%,501,2018 Spring
CHEN 205,JEONG H,3.045,23%,59%,502,2018 Spring
CHEN 205,TAMAMIS P,2.888,31%,38%,503,2018 Spring
CHEN 304,GLOVER C,3.085,26%,57%,500,2018 Spring
CHEN 313,SEMINARIO J,3.233,31%,61%,500,2018 Spring
CHEN 313,SHAMBERGER P,2.697,16%,42%,501,2018 Spring
CHEN 320,WU H,3.230,31%,62%,501,2018 Spring
CHEN 323,AKBULUT M,3.239,43%,39%,501,2018 Spring
CHEN 323,HASAN M,3.447,48%,49%,502,2018 Spring
CHEN 323,KWON J,3.326,41%,50%,503,2018 Spring
CHEN 354,BALBUENA P,3.137,45%,28%,500,2018 Spring
CHEN 382,HOLTZAPPLE M,3.857,86%,14%,200,2018 Spring
CHEN 382,HOLTZAPPLE M,3.406,44%,53%,500,2018 Spring
CHEN 382,HILALY A,3.346,42%,51%,501,2018 Spring
CHEN 414,ISDALE C,3.941,94%,6%,901,2018 Spring
CHEN 414,ISDALE C,4.000,100%,0%,902,2018 Spring
CHEN 414,ISDALE C,3.750,75%,25%,903,2018 Spring
CHEN 414,ISDALE C,4.000,100%,0%,904,2018 Spring
CHEN 424,ELABD Y,3.381,51%,39%,501,2018 Spring
CHEN 424,WILHITE B,3.034,40%,33%,502,2018 Spring
CHEN 425,EL-HALWAGI M,3.658,73%,20%,501,2018 Spring
CHEN 426,HILALY A,3.558,56%,44%,501,2018 Spring
CHEN 426,RAFTERY J,3.610,61%,39%,502,2018 Spring
CHEN 431,NIKOLOV Z,3.250,75%,0%,500,2018 Spring
CHEN 433,WHITE J,3.705,88%,6%,500,2018 Spring
CHEN 433,ISDALE C,4.000,100%,0%,501,2018 Spring
CHEN 433,WHITE J,3.722,78%,17%,502,2018 Spring
CHEN 433,KHOSRAVIANGHADIKOLA,3.823,94%,0%,503,2018 Spring
CHEN 433,WHITE J,3.933,93%,7%,504,2018 Spring
CHEN 433,WHITE J,3.647,71%,24%,505,2018 Spring
CHEN 433,WHITE J,3.944,94%,6%,506,2018 Spring
CHEN 433,KHOSRAVIANGHADIKOLA,3.944,94%,6%,508,2018 Spring
CHEN 455,MASHUGA C,3.360,42%,52%,500,2018 Spring
CHEN 455,AHAMMAD M,3.160,40%,42%,501,2018 Spring
CHEN 459,SENGUPTA D,3.687,75%,20%,500,2018 Spring
CHEN 460,ROGERS W,3.450,50%,45%,500,2018 Spring
CHEN 461,KRAVARIS C,3.155,40%,36%,501,2018 Spring
CHEN 464,GREEN M,3.179,37%,46%,500,2018 Spring
CHEN 475,KUO Y,3.230,31%,62%,500,2018 Spring
CHEN 481,GLOVER C,4.000,100%,0%,501,2018 Spring
CHEN 481,GLOVER C,4.000,100%,0%,502,2018 Spring
CHEN 481,KUO Y,4.000,100%,0%,503,2018 Spring
CHEN 481,HOLTZAPPLE M,3.545,55%,45%,504,2018 Spring
CHEN 481,KHOSRAVIANGHADIKOLA,4.000,100%,0%,505,2018 Spring
CHEN 481,KUO Y,4.000,100%,0%,506,2018 Spring
CHEN 491,HOLTZAPPLE M,4.000,100%,0%,220,2018 Spring
CHEN 491,HOLTZAPPLE M,4.000,100%,0%,520,2018 Spring
CHEN 624,SUN Q,3.648,65%,35%,600,2018 Spring
CHEN 629,CHENG Z,3.551,57%,41%,600,2018 Spring
CHEN 660,ROGERS W,3.777,78%,22%,600,2018 Spring
CHEN 675,KUO Y,3.400,40%,60%,600,2018 Spring
CHEN 689,LELE P,4.000,100%,0%,601,2018 Spring
SENG 312,QUDDUS N,3.603,64%,32%,500,2018 Spring
SENG 422,MOATS J,3.500,50%,50%,500,2018 Spring
SENG 455,MASHUGA C,3.000,20%,60%,500,2018 Spring
SENG 660,ROGERS W,3.727,73%,27%,600,2018 Spring
