course,prof,gpa,% of A,% of B,section_,semester
CHEN 205,TAMAMIS P,2.758,23%,42%,503,2017 Spring
CHEN 313,SEMINARIO J,3.375,42%,52%,500,2017 Spring
CHEN 313,SUKHISHVILI S,3.457,54%,37%,501,2017 Spring
CHEN 320,WU H,3.250,38%,52%,501,2017 Spring
CHEN 323,AKBULUT M,3.390,48%,44%,501,2017 Spring
CHEN 323,HASAN M,3.392,46%,46%,502,2017 Spring
CHEN 354,CHENG Z,3.071,34%,39%,500,2017 Spring
CHEN 382,HOLTZAPPLE M,3.333,33%,67%,200,2017 Spring
CHEN 382,HOLTZAPPLE M,3.254,38%,51%,500,2017 Spring
CHEN 382,KAO K,3.016,16%,69%,501,2017 Spring
CHEN 414,ISDALE C,4.000,100%,0%,901,2017 Spring
CHEN 414,ISDALE C,4.000,100%,0%,902,2017 Spring
CHEN 414,ISDALE C,4.000,100%,0%,904,2017 Spring
CHEN 424,GLOVER C,3.375,46%,46%,501,2017 Spring
CHEN 424,HILALY A,3.363,39%,59%,502,2017 Spring
CHEN 425,EL-HALWAGI M,3.487,51%,46%,501,2017 Spring
CHEN 426,HILALY A,3.734,73%,27%,501,2017 Spring
CHEN 426,SENGUPTA D,3.734,73%,27%,502,2017 Spring
CHEN 433,WHITE J,4.000,100%,0%,500,2017 Spring
CHEN 433,WHITE J,3.857,86%,14%,501,2017 Spring
CHEN 433,WHITE J,3.937,94%,6%,502,2017 Spring
CHEN 433,ISDALE C,4.000,100%,0%,503,2017 Spring
CHEN 433,KHOSRAVIANGHADIKOLA,3.846,92%,0%,504,2017 Spring
CHEN 433,WHITE J,3.812,81%,19%,505,2017 Spring
CHEN 433,WHITE J,3.705,71%,29%,506,2017 Spring
CHEN 455,KOIRALA Y,3.372,37%,63%,500,2017 Spring
CHEN 460,ROGERS W,3.538,54%,46%,500,2017 Spring
CHEN 461,MASHUGA C,2.952,27%,43%,500,2017 Spring
CHEN 464,GREEN M,3.465,53%,40%,500,2017 Spring
CHEN 469,ELABD Y,4.000,100%,0%,500,2017 Spring
CHEN 475,KUO Y,2.653,23%,35%,500,2017 Spring
CHEN 481,KHOSRAVIANGHADIKOLA,4.000,100%,0%,501,2017 Spring
CHEN 481,HOLSTE J,4.000,100%,0%,502,2017 Spring
CHEN 481,HOLSTE J,4.000,100%,0%,503,2017 Spring
