course,prof,gpa,% of A,% of B,section_,semester
CEHD 603,GOODSON P,3.666,67%,33%,600,2017 Spring
EDAD 601,HAYNES DAVISON C,4.000,100%,0%,600,2017 Spring
EDAD 605,MULLER R,4.000,100%,0%,700,2017 Spring
EDAD 606,WEBB-JOHNSON G,3.888,94%,0%,700,2017 Spring
EDAD 606,WEBB-JOHNSON G,3.896,90%,10%,701,2017 Spring
EDAD 608,MULLER R,3.705,76%,18%,700,2017 Spring
EDAD 611,MUSOBA G,4.000,100%,0%,602,2017 Spring
EDAD 616,BLANSON A,4.000,100%,0%,600,2017 Spring
EDAD 618,LECHUGA V,4.000,100%,0%,600,2017 Spring
EDAD 623,LINCOLN Y,3.866,87%,13%,600,2017 Spring
EDAD 625,TORRES M,3.923,92%,8%,600,2017 Spring
EDAD 650,BAILEY K,4.000,100%,0%,600,2017 Spring
EDAD 652,SMITH K,3.857,86%,14%,600,2017 Spring
EDAD 658,ROBERTS D,4.000,100%,0%,600,2017 Spring
EDAD 670,BAILEY K,3.857,86%,14%,600,2017 Spring
EDAD 687,MADSEN J,3.933,93%,7%,700,2017 Spring
EDAD 689,HAYNES DAVISON C,4.000,100%,0%,600,2017 Spring
EHRD 203,YEAGER K,3.594,73%,19%,500,2017 Spring
EHRD 203,YEAGER K,3.258,39%,52%,501,2017 Spring
EHRD 203,YEAGER K,3.666,72%,22%,599,2017 Spring
EHRD 210,TORRES M,3.615,67%,28%,500,2017 Spring
EHRD 210,SCHUBART S,3.136,45%,39%,599,2017 Spring
EHRD 315,MARK C,3.454,67%,18%,500,2017 Spring
EHRD 315,MARK C,3.568,64%,30%,599,2017 Spring
EHRD 371,COLE S,3.714,77%,17%,901,2017 Spring
EHRD 371,COLE S,3.558,68%,24%,902,2017 Spring
EHRD 371,SMITH K,3.764,82%,12%,920,2017 Spring
EHRD 372,MUYIA M,3.851,85%,15%,599,2017 Spring
EHRD 374,MUYIA M,3.348,51%,35%,597,2017 Spring
EHRD 374,MUYIA M,3.377,53%,36%,598,2017 Spring
EHRD 374,MUYIA M,3.341,51%,34%,599,2017 Spring
EHRD 391,SANDLIN J,3.205,32%,56%,501,2017 Spring
