course,prof,gpa,% of A,% of B,section_,semester
ALED 489,ELBERT C,4.000,100%,0%,501,2017 Spring
ALED 494,STAVINOHA M,3.800,83%,17%,539,2017 Spring
ALED 494,STAVINOHA M,4.000,100%,0%,589,2017 Spring
AGEC 105,MJELDE J,2.625,12%,62%,501,2017 Spring
AGEC 105,MJELDE J,2.633,27%,37%,502,2017 Spring
AGEC 105,MJELDE J,2.368,16%,26%,503,2017 Spring
AGEC 105,ZHANG Y,3.764,76%,24%,504,2017 Spring
AGEC 105,ZHANG Y,3.354,48%,42%,505,2017 Spring
AGEC 105,ZHANG Y,3.299,49%,34%,506,2017 Spring
AGEC 105,ISHDORJ A,2.625,12%,50%,598,2017 Spring
AGEC 105,ISHDORJ A,2.805,27%,40%,701,2017 Spring
AGEC 217,MENZIES III M,3.179,41%,38%,901,2017 Spring
AGEC 217,MENZIES III M,3.095,31%,52%,902,2017 Spring
AGEC 217,MENZIES III M,3.210,45%,32%,903,2017 Spring
AGEC 289,LITZENBERG K,3.500,50%,50%,501,2017 Spring
AGEC 314,FANG L,3.456,53%,40%,596,2017 Spring
AGEC 314,FANG L,3.457,46%,54%,597,2017 Spring
AGEC 314,DHARMASENA K,3.566,83%,6%,598,2017 Spring
AGEC 314,DHARMASENA K,3.816,88%,7%,599,2017 Spring
AGEC 314,DHARMASENA K,3.777,78%,22%,700,2017 Spring
AGEC 315,LITZENBERG K,3.312,41%,53%,501,2017 Spring
AGEC 315,LITZENBERG K,2.914,17%,66%,502,2017 Spring
AGEC 315,LITZENBERG K,3.000,21%,67%,503,2017 Spring
AGEC 315,LITZENBERG K,2.941,26%,53%,504,2017 Spring
AGEC 317,ARUNANONDCHAI P,3.704,75%,23%,501,2017 Spring
AGEC 317,PARK H,3.785,82%,14%,502,2017 Spring
AGEC 317,LIU P,3.447,55%,34%,503,2017 Spring
AGEC 324,RISTER M,3.575,58%,42%,500,2017 Spring
AGEC 325,CONNER J,2.904,14%,62%,501,2017 Spring
AGEC 325,CONNER J,2.571,14%,36%,502,2017 Spring
AGEC 330,LEATHAM D,3.054,41%,35%,598,2017 Spring
AGEC 330,LEATHAM D,2.402,19%,31%,702,2017 Spring
AGEC 340,SIEBERT J,3.750,77%,20%,501,2017 Spring
AGEC 340,SIEBERT J,3.603,72%,17%,502,2017 Spring
AGEC 340,SIEBERT J,3.739,79%,16%,503,2017 Spring
AGEC 340,SIEBERT J,3.571,63%,31%,504,2017 Spring
AGEC 344,BOADU F,2.878,21%,45%,501,2017 Spring
AGEC 344,BOADU F,2.454,9%,36%,502,2017 Spring
AGEC 350,SHAW W,2.843,22%,47%,501,2017 Spring
AGEC 350,SHAW W,3.000,28%,48%,502,2017 Spring
AGEC 414,DHARMASENA K,3.935,94%,6%,500,2017 Spring
AGEC 415,DHARMASENA K,3.714,71%,29%,500,2017 Spring
AGEC 422,BOADU F,3.301,47%,40%,598,2017 Spring
AGEC 422,BOADU F,2.785,36%,36%,599,2017 Spring
AGEC 425,RISTER M,3.428,57%,29%,501,2017 Spring
AGEC 425,RISTER M,2.857,14%,57%,502,2017 Spring
AGEC 425,RISTER M,3.250,25%,75%,503,2017 Spring
AGEC 425,RISTER M,3.500,50%,50%,504,2017 Spring
AGEC 429,WILLIAMS G,3.045,30%,48%,901,2017 Spring
AGEC 430,PENSON J,3.085,29%,52%,500,2017 Spring
AGEC 431,SALIN V,3.562,59%,38%,500,2017 Spring
AGEC 432,LEATHAM D,2.650,8%,52%,500,2017 Spring
AGEC 434,PENSON J,2.974,21%,59%,500,2017 Spring
AGEC 435,HARNESS N,2.750,16%,56%,501,2017 Spring
AGEC 435,HARNESS N,2.763,18%,45%,598,2017 Spring
AGEC 435,HARNESS N,2.320,8%,48%,701,2017 Spring
AGEC 436,BUENGER S,2.796,20%,44%,599,2017 Spring
AGEC 436,BUENGER S,2.562,16%,38%,700,2017 Spring
AGEC 439,MOORE C,3.186,35%,51%,598,2017 Spring
AGEC 439,MOORE C,2.636,27%,36%,701,2017 Spring
AGEC 440,NG D,3.594,65%,30%,500,2017 Spring
AGEC 441,HARNESS N,2.750,25%,45%,598,2017 Spring
AGEC 448,VEDENOV D,2.750,25%,38%,500,2017 Spring
AGEC 460,MENZIES III M,4.000,100%,0%,200,2017 Spring
AGEC 481,SIEBERT J,3.840,88%,8%,500,2017 Spring
AGEC 489,LITZENBERG K,3.666,67%,33%,502,2017 Spring
AGEC 489,MOORE C,3.392,57%,32%,503,2017 Spring
AGEC 601,VEDENOV D,3.500,75%,12%,600,2017 Spring
AGEC 603,MJELDE J,2.921,20%,53%,600,2017 Spring
AGEC 604,MJELDE J,3.545,55%,45%,600,2017 Spring
AGEC 605,LEATHAM D,3.800,80%,20%,600,2017 Spring
AGEC 606,SHAW W,3.437,44%,56%,600,2017 Spring
AGEC 607,BESSLER D,3.857,86%,14%,600,2017 Spring
AGEC 622,RICHARDSON J,2.906,28%,38%,600,2017 Spring
AGEC 625,NG D,3.416,46%,50%,600,2017 Spring
