course,prof,gpa,% of A,% of B,section_,semester
BUSH 602,RAISOR C,0.000,60%,31%,600,2019 Fall
BUSH 631,CORTES K,3.631,74%,16%,601,2019 Fall
BUSH 631,LAHEY J,2.714,21%,36%,602,2019 Fall
BUSH 631,CORTES K,3.842,84%,16%,603,2019 Fall
BUSH 631,LAHEY J,3.666,67%,33%,604,2019 Fall
BUSH 631,VANDE KAMP G,3.240,36%,60%,605,2019 Fall
BUSH 631,POERTNER M,3.450,60%,25%,606,2019 Fall
BUSH 631,BULLOCK J,3.652,78%,17%,700,2019 Fall
INTA 603,NAPPER L,3.900,90%,10%,601,2019 Fall
INTA 603,NAPPER L,3.800,80%,20%,602,2019 Fall
INTA 604,TABAAR M,3.666,67%,33%,600,2019 Fall
INTA 605,LAYNE C,3.880,88%,12%,600,2019 Fall
INTA 605,BARTEL M,3.782,78%,22%,601,2019 Fall
INTA 605,TALBOT B,3.000,36%,50%,700,2019 Fall
INTA 606,SCHUESSLER J,3.208,29%,67%,601,2019 Fall
INTA 606,SCHUESSLER J,3.600,60%,40%,602,2019 Fall
INTA 606,MARIN THORNTON G,4.000,100%,0%,603,2019 Fall
INTA 606,ROSS A,3.578,58%,42%,604,2019 Fall
INTA 608,MU R,3.515,55%,42%,600,2019 Fall
INTA 608,ROBERTSON R,3.437,44%,56%,601,2019 Fall
INTA 609,SIEVERT R,3.684,74%,21%,600,2019 Fall
INTA 609,YOUNG D,3.400,60%,20%,700,2019 Fall
INTA 612,SIEVERT R,3.666,71%,24%,600,2019 Fall
INTA 616,MU R,3.615,69%,23%,600,2019 Fall
INTA 623,LAYNE C,3.933,93%,7%,600,2019 Fall
INTA 631,CASTILLO J,3.666,67%,33%,600,2019 Fall
INTA 635,NATSIOS A,3.866,87%,13%,600,2019 Fall
INTA 637,GOTTLIEB J,3.600,70%,20%,600,2019 Fall
INTA 642,GOTTLIEB J,3.642,64%,36%,600,2019 Fall
INTA 644,HAMIE C,3.916,92%,8%,600,2019 Fall
INTA 645,HUDSON V,4.000,100%,0%,600,2019 Fall
INTA 646,HUDSON V,3.928,93%,7%,600,2019 Fall
INTA 648,HUANG R,3.812,81%,19%,600,2019 Fall
INTA 651,RUSSELL R,3.388,72%,11%,700,2019 Fall
INTA 652,OLSON J,3.578,58%,42%,600,2019 Fall
INTA 652,RUSSELL R,3.888,89%,11%,700,2019 Fall
INTA 653,DALY S,3.714,86%,0%,700,2019 Fall
INTA 657,HOWELL M,3.714,71%,29%,600,2019 Fall
INTA 659,HUANG R,3.611,67%,28%,600,2019 Fall
INTA 659,DALY S,3.333,50%,33%,700,2019 Fall
INTA 670,MARIN THORNTON G,4.000,100%,0%,601,2019 Fall
INTA 671,SNIDER E,3.571,57%,43%,600,2019 Fall
INTA 672,NORRIS W,3.777,78%,22%,600,2019 Fall
INTA 673,NORRIS W,3.200,30%,60%,600,2019 Fall
INTA 675,TABAAR M,3.714,71%,29%,600,2019 Fall
INTA 680,SMITH J,3.692,69%,31%,700,2019 Fall
INTA 686,NAPPER L,3.900,90%,10%,600,2019 Fall
INTA 689,OLSON J,3.800,80%,20%,601,2019 Fall
INTA 689,HAMIE C,4.000,100%,0%,604,2019 Fall
INTA 689,SNIDER E,3.333,33%,67%,605,2019 Fall
INTA 689,CRUDO C,4.000,100%,0%,606,2019 Fall
INTA 689,RUYLE L,3.933,93%,7%,607,2019 Fall
INTA 689,MCLAUGHLIN J,4.000,100%,0%,608,2019 Fall
INTA 689,SOWELL J,3.437,56%,38%,609,2019 Fall
INTA 689,SOWELL J,3.444,56%,33%,610,2019 Fall
INTA 696,THOROUGHMAN K,3.800,80%,20%,601,2019 Fall
INTA 696,THOROUGHMAN K,3.562,75%,19%,602,2019 Fall
PSAA 601,COMPTON M,3.764,76%,24%,601,2019 Fall
PSAA 601,WEST W,3.550,55%,45%,602,2019 Fall
PSAA 601,COMPTON M,3.529,65%,24%,603,2019 Fall
PSAA 601,BRIGHT L,3.950,95%,5%,604,2019 Fall
PSAA 602,FERNSLER T,3.227,59%,27%,700,2019 Fall
PSAA 604,MCINTYRE D,3.888,89%,11%,600,2019 Fall
PSAA 604,KILTZ L,3.125,50%,38%,700,2019 Fall
PSAA 606,BOWMAN A,4.000,100%,0%,600,2019 Fall
PSAA 608,WHITTEN G,3.642,86%,7%,700,2019 Fall
PSAA 611,NAKAMURA B,3.600,85%,5%,700,2019 Fall
PSAA 615,MARCHBANKS M,3.650,65%,35%,601,2019 Fall
PSAA 615,MARCHBANKS M,3.684,68%,32%,602,2019 Fall
PSAA 616,ASHLEY F,3.833,83%,17%,600,2019 Fall
PSAA 617,BOWMAN A,3.833,83%,17%,600,2019 Fall
PSAA 621,TAYLOR L,3.166,39%,39%,601,2019 Fall
PSAA 621,LEWIS E,3.263,53%,32%,602,2019 Fall
PSAA 621,HOUSE D,3.578,58%,42%,603,2019 Fall
PSAA 621,LEWIS E,3.466,47%,53%,604,2019 Fall
PSAA 621,HANNIBAL B,3.307,38%,54%,700,2019 Fall
PSAA 623,GREER R,3.850,85%,15%,601,2019 Fall
PSAA 623,GREER R,3.736,74%,26%,602,2019 Fall
PSAA 623,GRAHAM C,3.823,82%,18%,700,2019 Fall
PSAA 624,PORTNEY K,3.800,80%,20%,600,2019 Fall
PSAA 630,MORRISON J,3.772,77%,23%,700,2019 Fall
PSAA 631,LITTLE C,4.000,100%,0%,700,2019 Fall
PSAA 632,LITTLE C,4.000,100%,0%,700,2019 Fall
PSAA 633,ZUNIGA K,3.571,57%,43%,700,2019 Fall
PSAA 634,NAKAMURA B,3.705,88%,0%,700,2019 Fall
PSAA 641,GRAHAM C,4.000,100%,0%,600,2019 Fall
PSAA 643,TAYLOR K,3.550,55%,45%,600,2019 Fall
PSAA 643,HILDERBRAND M,3.476,52%,43%,602,2019 Fall
PSAA 643,ROBICHAU R,3.555,56%,44%,603,2019 Fall
PSAA 643,ROBICHAU R,3.400,47%,47%,604,2019 Fall
PSAA 643,LUM J,3.625,81%,12%,700,2019 Fall
PSAA 644,BROWN W,3.777,83%,11%,600,2019 Fall
PSAA 644,SEAWORTH A,3.166,50%,33%,700,2019 Fall
PSAA 648,KERR D,3.875,88%,12%,600,2019 Fall
PSAA 648,MORRISON J,3.777,78%,22%,700,2019 Fall
PSAA 653,MOATS J,3.285,57%,29%,700,2019 Fall
PSAA 655,SMITH S,3.625,62%,38%,700,2019 Fall
PSAA 656,ROLLINS J,3.444,78%,11%,700,2019 Fall
PSAA 660,DAVIS D,3.611,61%,39%,600,2019 Fall
PSAA 661,BRIGHT L,3.916,92%,8%,600,2019 Fall
PSAA 668,SHAW T,3.600,60%,40%,700,2019 Fall
PSAA 675,MCINTYRE D,4.000,100%,0%,601,2019 Fall
PSAA 675,BULLOCK J,4.000,100%,0%,602,2019 Fall
