course,prof,gpa,% of A,% of B,section_,semester
CPSY 635,ELLIOTT T,4.000,100%,0%,600,2019 Fall
CPSY 664,BROSSART D,4.000,100%,0%,600,2019 Fall
CPSY 683,MCCORMICK A,4.000,100%,0%,700,2019 Fall
EDTC 602,PEDERSEN S,3.789,84%,11%,700,2019 Fall
EDTC 613,SWEANY N,3.952,95%,5%,700,2019 Fall
EDTC 641,PEDERSEN S,4.000,100%,0%,700,2019 Fall
EDTC 645,SWEANY N,3.842,89%,5%,700,2019 Fall
EDTC 655,SWEANY N,3.857,86%,14%,700,2019 Fall
EPFB 210,MONTAGUE M,3.526,68%,16%,500,2019 Fall
EPFB 210,MONTAGUE M,3.388,56%,36%,501,2019 Fall
EPSY 320,JUNTUNE J,3.952,95%,5%,500,2019 Fall
EPSY 320,JUNTUNE J,3.760,83%,15%,700,2019 Fall
EPSY 321,WOODWARD R,2.913,43%,26%,500,2019 Fall
EPSY 430,WOODWARD R,2.750,23%,38%,500,2019 Fall
EPSY 430,WOODWARD R,3.000,20%,60%,550,2019 Fall
EPSY 432,RAMOS GARCIMARTIN H,2.714,43%,14%,500,2019 Fall
EPSY 432,RAMOS GARCIMARTIN H,3.468,72%,13%,700,2019 Fall
EPSY 435,RAMOS S,3.615,81%,4%,500,2019 Fall
EPSY 435,RAMOS S,3.772,77%,23%,502,2019 Fall
EPSY 435,RAMOS GARCIMARTIN H,3.312,73%,4%,700,2019 Fall
EPSY 435,RAMOS GARCIMARTIN H,3.396,66%,17%,701,2019 Fall
EPSY 485,JUNTUNE J,3.800,80%,20%,546,2019 Fall
EPSY 485,WOODWARD R,3.962,93%,7%,550,2019 Fall
EPSY 602,WOODWARD R,3.888,89%,11%,600,2019 Fall
EPSY 602,LIEW J,3.629,85%,7%,700,2019 Fall
EPSY 622,RAMOS S,3.900,90%,10%,699,2019 Fall
EPSY 622,RAMOS S,3.375,75%,12%,700,2019 Fall
EPSY 624,JUNTUNE J,3.640,88%,4%,700,2019 Fall
EPSY 625,YOON M,3.705,71%,29%,600,2019 Fall
EPSY 631,TONG F,4.000,100%,0%,699,2019 Fall
EPSY 633,STOUGH L,3.923,92%,8%,600,2019 Fall
EPSY 634,WOLTERING S,4.000,100%,0%,600,2019 Fall
EPSY 636,THOMPSON C,4.000,100%,0%,600,2019 Fall
EPSY 636,RAMOS S,3.774,87%,10%,700,2019 Fall
EPSY 637,STOUGH L,4.000,100%,0%,600,2019 Fall
EPSY 640,BAEK E,3.628,66%,31%,602,2019 Fall
EPSY 642,THOMPSON C,3.875,88%,12%,600,2019 Fall
EPSY 647,GAGNE J,4.000,100%,0%,600,2019 Fall
EPSY 650,LUO W,3.945,95%,5%,600,2019 Fall
EPSY 651,YOON M,3.777,78%,22%,600,2019 Fall
EPSY 652,KWOK O,3.950,95%,5%,600,2019 Fall
EPSY 653,KWOK O,3.944,94%,6%,600,2019 Fall
EPSY 673,WOLTERING S,3.538,69%,15%,700,2019 Fall
EPSY 682,RICCIO C,4.000,100%,0%,600,2019 Fall
EPSY 683,JUNTUNE J,3.800,80%,20%,700,2019 Fall
EPSY 685,JUNTUNE J,4.000,100%,0%,700,2019 Fall
EPSY 689,ETTEKAL I,4.000,100%,0%,600,2019 Fall
INST 210,FOGARTY M,4.000,100%,0%,501,2019 Fall
INST 210,FOGARTY M,3.653,81%,12%,502,2019 Fall
INST 210,FOGARTY M,3.913,91%,9%,503,2019 Fall
INST 210,FOGARTY M,3.869,91%,4%,504,2019 Fall
INST 210,FOGARTY M,3.681,68%,32%,505,2019 Fall
INST 210,FOGARTY M,3.894,95%,0%,506,2019 Fall
INST 210,FOGARTY M,4.000,100%,0%,507,2019 Fall
INST 210,FOGARTY M,3.863,86%,14%,508,2019 Fall
INST 210,FOGARTY M,3.933,93%,7%,509,2019 Fall
INST 210,FOGARTY M,3.869,87%,13%,510,2019 Fall
INST 210,FOGARTY M,4.000,100%,0%,511,2019 Fall
INST 301,WOODWARD R,3.000,48%,19%,500,2019 Fall
INST 301,RAMOS S,3.395,72%,9%,700,2019 Fall
SEFB 420,MONTAGUE M,3.962,96%,4%,500,2019 Fall
SEFB 618,WHITESIDE E,3.540,73%,16%,700,2019 Fall
SPED 302,FOGARTY M,4.000,100%,0%,500,2019 Fall
SPED 310,BYRNS G,3.481,52%,44%,900,2019 Fall
SPED 311,WHITESIDE E,3.777,78%,22%,500,2019 Fall
