course,prof,gpa,% of A,% of B,section_,semester
ARCH 205,TATE J,3.705,71%,29%,901,2019 Fall
ARCH 205,TATE J,3.071,14%,79%,902,2019 Fall
ARCH 205,TATE J,3.428,57%,29%,903,2019 Fall
ARCH 205,TATE J,3.166,42%,50%,904,2019 Fall
ARCH 205,TATE J,3.437,62%,31%,905,2019 Fall
ARCH 205,TATE J,3.250,25%,75%,906,2019 Fall
ARCH 205,TATE J,3.000,30%,50%,907,2019 Fall
ARCH 212,LU Z,3.262,45%,43%,500,2019 Fall
ARCH 216,GAYK M,3.333,40%,53%,501,2019 Fall
ARCH 246,GEVA A,3.409,43%,55%,500,2019 Fall
ARCH 249,CAFFEY S,3.900,90%,10%,200,2019 Fall
ARCH 249,GLOWACKI K,3.200,80%,0%,201,2019 Fall
ARCH 249,CAFFEY S,3.515,67%,24%,501,2019 Fall
ARCH 249,CAFFEY S,3.561,67%,24%,502,2019 Fall
ARCH 249,GLOWACKI K,3.041,38%,38%,503,2019 Fall
ARCH 249,GLOWACKI K,3.032,32%,45%,504,2019 Fall
ARCH 249,CAFFEY S,3.384,64%,21%,700,2019 Fall
ARCH 250,KLEIN N,3.555,78%,0%,200,2019 Fall
ARCH 250,STEWART Z,3.500,50%,50%,201,2019 Fall
ARCH 250,KLEIN N,3.071,43%,32%,501,2019 Fall
ARCH 250,KLEIN N,3.280,46%,41%,502,2019 Fall
ARCH 250,STEWART Z,3.448,59%,31%,503,2019 Fall
ARCH 250,STEWART Z,2.939,42%,30%,504,2019 Fall
ARCH 250,CAMPAGNOL G,3.565,65%,27%,700,2019 Fall
ARCH 250,CAMPAGNOL G,3.546,65%,25%,701,2019 Fall
ARCH 305,OBRIEN M,3.142,36%,50%,931,2019 Fall
ARCH 305,STEWART K,3.214,43%,43%,932,2019 Fall
ARCH 305,ERMINY M,3.714,71%,29%,933,2019 Fall
ARCH 305,HAWKINS A,3.181,45%,45%,934,2019 Fall
ARCH 317,ESQUIVEL J,4.000,100%,0%,500,2019 Fall
ARCH 330,OBRIEN M,3.750,75%,25%,200,2019 Fall
ARCH 330,OBRIEN M,3.254,43%,42%,500,2019 Fall
ARCH 335,HABERL J,3.000,29%,43%,500,2019 Fall
ARCH 347,FORTENBERRY B,4.000,100%,0%,500,2019 Fall
ARCH 350,BIEBER S,2.826,20%,52%,500,2019 Fall
ARCH 350,CAMPAGNOL G,3.287,42%,45%,700,2019 Fall
ARCH 353,ESQUIVEL J,3.909,91%,9%,500,2019 Fall
ARCH 381,CLAYTON M,3.727,91%,0%,500,2019 Fall
ARCH 405,ERMINY M,3.428,43%,57%,201,2019 Fall
ARCH 405,MANN G,3.789,79%,21%,500,2019 Fall
ARCH 405,AITANI K,4.000,100%,0%,501,2019 Fall
ARCH 405,HAMILTON D,3.900,90%,10%,502,2019 Fall
ARCH 405,CLAYTON M,4.000,100%,0%,503,2019 Fall
ARCH 405,DE LIMA VAZ XAVIER,3.695,70%,30%,504,2019 Fall
ARCH 421,CULP C,2.571,43%,7%,500,2019 Fall
ARCH 431,HOLLIDAY S,3.720,88%,4%,500,2019 Fall
ARCH 431,NICHOLS A,2.814,33%,22%,501,2019 Fall
ARCH 431,GESSNER T,3.450,55%,35%,502,2019 Fall
ARCH 431,HOLLIDAY S,3.914,91%,9%,503,2019 Fall
ARCH 431,NICHOLS A,3.166,50%,17%,504,2019 Fall
ARCH 431,NICHOLS A,2.142,0%,14%,505,2019 Fall
ARCH 435,CULP C,3.428,79%,0%,500,2019 Fall
ARCH 435,BALTAZAR CERVANTES,3.769,77%,23%,501,2019 Fall
ARCH 435,BALTAZAR CERVANTES,3.923,92%,8%,502,2019 Fall
ARCH 435,CULP C,3.400,60%,20%,503,2019 Fall
ARCH 435,HABERL J,3.735,76%,21%,504,2019 Fall
ARCH 435,BELTRAN L,3.500,56%,39%,505,2019 Fall
ARCH 435,BELTRAN L,3.625,62%,38%,506,2019 Fall
ARCH 435,HABERL J,3.531,62%,28%,507,2019 Fall
ARCH 437,STEWART Z,3.100,45%,30%,500,2019 Fall
ARCH 441,CAFFEY S,4.000,100%,0%,500,2019 Fall
ARCH 443,GLOWACKI K,3.076,54%,23%,500,2019 Fall
ARCH 458,HILL R,3.843,87%,12%,500,2019 Fall
ARCH 485,ABBOTT E,3.750,75%,25%,551,2019 Fall
ARCH 494,ABBOTT E,4.000,100%,0%,570,2019 Fall
ARCH 601,MAFFEI G,3.266,27%,73%,600,2019 Fall
ARCH 605,ALI A,3.428,43%,57%,601,2019 Fall
ARCH 605,LOPEZ DINARDI M,3.750,75%,25%,602,2019 Fall
ARCH 605,MCINTOSH N,3.428,43%,57%,603,2019 Fall
ARCH 605,LU Z,3.666,67%,33%,604,2019 Fall
ARCH 607,HOLLIDAY R,3.750,75%,25%,601,2019 Fall
ARCH 607,HALIBURTON J,3.916,92%,8%,602,2019 Fall
ARCH 607,GIBBS B,3.100,30%,60%,603,2019 Fall
ARCH 610,DE LIMA VAZ XAVIER,3.866,87%,13%,600,2019 Fall
ARCH 612,HOLLIDAY S,4.000,100%,0%,600,2019 Fall
ARCH 628,BELTRAN L,4.000,100%,0%,600,2019 Fall
ARCH 631,NICHOLS A,2.571,10%,38%,600,2019 Fall
ARCH 633,BALTAZAR CERVANTES,3.888,89%,11%,600,2019 Fall
ARCH 638,CAMPAGNOL G,3.666,67%,33%,600,2019 Fall
ARCH 644,FORTENBERRY B,4.000,100%,0%,601,2019 Fall
ARCH 644,KLEIN N,3.100,30%,50%,602,2019 Fall
ARCH 645,TRIPP A,3.636,64%,36%,600,2019 Fall
ARCH 653,YAN W,3.857,86%,14%,600,2019 Fall
ARCH 655,YAN W,3.916,92%,8%,600,2019 Fall
ARCH 657,ADAMS H,4.000,100%,0%,600,2019 Fall
ARCH 660,PENTECOST A,3.500,50%,50%,600,2019 Fall
ARCH 664,AITANI K,4.000,100%,0%,600,2019 Fall
ARCH 669,WOODRUFF S,3.571,64%,29%,600,2019 Fall
ARCH 675,ZHU X,3.600,60%,40%,600,2019 Fall
ARCH 685,CAFFEY S,4.000,100%,0%,625,2019 Fall
ENDS 101,HILL R,4.000,100%,0%,201,2019 Fall
ENDS 101,HILL R,4.000,100%,0%,202,2019 Fall
ENDS 101,HILL R,4.000,100%,0%,203,2019 Fall
ENDS 101,HILL R,3.958,96%,4%,204,2019 Fall
ENDS 101,HILL R,4.000,100%,0%,205,2019 Fall
ENDS 101,HILL R,3.875,88%,12%,206,2019 Fall
ENDS 101,HILL R,4.000,100%,0%,207,2019 Fall
ENDS 101,CAFFEY S,3.836,87%,11%,501,2019 Fall
ENDS 101,CAFFEY S,3.806,84%,14%,701,2019 Fall
ENDS 105,HAWKINS A,3.473,53%,42%,506,2019 Fall
ENDS 105,FAULKNER M,3.650,65%,35%,507,2019 Fall
ENDS 105,SHAJAHAN A,3.315,58%,16%,508,2019 Fall
ENDS 105,HE W,3.350,40%,55%,509,2019 Fall
ENDS 105,BORGES GONZALEZ A,3.055,39%,44%,510,2019 Fall
ENDS 105,CALVESBERT T,3.294,35%,59%,511,2019 Fall
ENDS 115,DANESH M,3.736,79%,16%,506,2019 Fall
ENDS 115,SAMADI S,3.526,53%,47%,507,2019 Fall
ENDS 115,ZHAO X,4.000,100%,0%,508,2019 Fall
ENDS 115,LIU D,3.523,71%,19%,509,2019 Fall
ENDS 115,ASHMEEL R,3.647,71%,24%,510,2019 Fall
ENDS 115,TRIPP A,3.529,53%,47%,511,2019 Fall
CARC 101,GIUSTI C,3.565,74%,17%,500,2019 Fall
CARC 101,GIUSTI C,3.120,36%,44%,501,2019 Fall
CARC 101,GIUSTI C,3.720,80%,16%,502,2019 Fall
CARC 101,GIUSTI C,3.240,60%,20%,503,2019 Fall
CARC 181,FEIGENBAUM L,4.000,100%,0%,501,2019 Fall
CARC 181,FEIGENBAUM L,3.777,78%,22%,502,2019 Fall
CARC 181,FEIGENBAUM L,3.928,93%,7%,507,2019 Fall
CARC 181,FEIGENBAUM L,4.000,100%,0%,508,2019 Fall
CARC 181,FEIGENBAUM L,3.700,70%,30%,509,2019 Fall
CARC 301,ROLDAN M,3.884,88%,12%,550,2019 Fall
CARC 301,DAVISON R,3.750,75%,25%,551,2019 Fall
CARC 301,ROGERS J,2.333,20%,0%,552,2019 Fall
CARC 301,WOODFIN T,3.677,68%,32%,553,2019 Fall
CARC 311,ROLDAN M,3.923,92%,8%,550,2019 Fall
CARC 311,DAVISON R,4.000,100%,0%,551,2019 Fall
CARC 311,ROGERS J,4.000,100%,0%,552,2019 Fall
CARC 311,WOODFIN T,3.516,52%,48%,553,2019 Fall
CARC 331,ROLDAN M,3.961,96%,4%,550,2019 Fall
CARC 331,DI PASQUALE G,3.806,81%,19%,551,2019 Fall
CARC 331,WOODFIN T,3.258,26%,74%,552,2019 Fall
CARC 481,ABBOTT E,3.865,92%,4%,503,2019 Fall
CARC 485,FEIGENBAUM L,4.000,100%,0%,503,2019 Fall
CARC 489,WEI L,4.000,100%,0%,500,2019 Fall
CARC 489,WEI L,4.000,100%,0%,700,2019 Fall
CARC 601,WOODRUFF S,4.000,100%,0%,600,2019 Fall
COSC 153,NICHOLS J,4.000,100%,0%,500,2019 Fall
COSC 175,BIRDWELL R,3.375,41%,56%,501,2019 Fall
COSC 175,BIRDWELL R,3.400,47%,47%,502,2019 Fall
COSC 175,SUERMANN P,3.400,47%,47%,503,2019 Fall
COSC 175,KANG H,3.200,47%,30%,504,2019 Fall
COSC 175,FERNANDEZ-SOLIS J,3.517,59%,34%,505,2019 Fall
COSC 175,NICHOLS J,3.666,77%,20%,506,2019 Fall
COSC 175,NICHOLS J,3.880,92%,4%,507,2019 Fall
COSC 253,SIMMS L,2.338,8%,35%,501,2019 Fall
COSC 253,SIMMS L,2.890,22%,49%,502,2019 Fall
COSC 253,CARLSON K,3.397,51%,40%,700,2019 Fall
COSC 254,SIMMS L,2.590,15%,41%,501,2019 Fall
COSC 254,SIMMS L,2.759,20%,46%,502,2019 Fall
COSC 275,PALMER R,3.567,73%,19%,502,2019 Fall
COSC 275,PALMER R,3.647,71%,24%,503,2019 Fall
COSC 275,PALMER R,3.611,72%,22%,504,2019 Fall
COSC 275,PALMER R,3.526,58%,37%,505,2019 Fall
COSC 275,PALMER R,3.457,60%,31%,506,2019 Fall
COSC 301,WILLIAMSON K,2.434,0%,48%,501,2019 Fall
COSC 301,WILLIAMSON K,2.625,4%,58%,502,2019 Fall
COSC 301,WILLIAMSON K,2.666,8%,50%,503,2019 Fall
COSC 301,WILLIAMSON K,2.727,5%,64%,504,2019 Fall
COSC 301,WILLIAMSON K,2.625,0%,62%,505,2019 Fall
COSC 301,WILLIAMSON K,2.913,9%,74%,506,2019 Fall
COSC 310,BOLDT G,3.850,89%,10%,500,2019 Fall
COSC 321,RYOO B,3.062,34%,38%,501,2019 Fall
COSC 321,JUNG I,2.839,26%,33%,503,2019 Fall
COSC 325,HOUSTON J,2.473,6%,42%,501,2019 Fall
COSC 325,HOUSTON J,2.534,9%,39%,502,2019 Fall
COSC 326,BRYANT J,2.678,10%,49%,500,2019 Fall
COSC 333,DIXIT M,2.901,25%,45%,500,2019 Fall
COSC 353,ESCAMILLA E,2.933,10%,73%,501,2019 Fall
COSC 353,CRONIN H,2.933,3%,87%,502,2019 Fall
COSC 353,CRONIN H,2.875,6%,75%,503,2019 Fall
COSC 353,ESCAMILLA E,3.031,9%,84%,504,2019 Fall
COSC 353,ESCAMILLA E,2.722,0%,72%,505,2019 Fall
COSC 353,MARRARO A,2.166,0%,17%,506,2019 Fall
COSC 364,MCGOWAN A,3.600,71%,20%,501,2019 Fall
COSC 364,MCGOWAN A,3.750,81%,14%,502,2019 Fall
COSC 364,MCGOWAN A,3.687,72%,25%,504,2019 Fall
COSC 364,MCGOWAN A,3.694,75%,19%,505,2019 Fall
COSC 364,MCGOWAN A,3.809,81%,19%,506,2019 Fall
COSC 375,BOLDT G,2.674,5%,60%,501,2019 Fall
COSC 375,BOLDT G,2.878,10%,68%,502,2019 Fall
COSC 375,BOLDT G,2.900,5%,80%,503,2019 Fall
COSC 375,BOLDT G,2.810,11%,59%,504,2019 Fall
COSC 381,GUERRA SANTOS H,3.778,78%,21%,500,2019 Fall
COSC 411,FICKEL L,3.656,75%,16%,500,2019 Fall
COSC 421,DUDLEY D,3.251,31%,62%,500,2019 Fall
COSC 440,HOUSTON J,3.090,45%,18%,930,2019 Fall
COSC 441,BIRDWELL R,3.125,17%,79%,930,2019 Fall
COSC 442,FERNANDEZ-SOLIS J,3.560,56%,44%,931,2019 Fall
COSC 442,FERNANDEZ-SOLIS J,3.809,86%,10%,932,2019 Fall
COSC 446,BRYANT J,4.000,100%,0%,930,2019 Fall
COSC 450,LAVY S,3.000,36%,36%,500,2019 Fall
COSC 459,WHITMAN J,3.350,45%,45%,500,2019 Fall
COSC 461,HAM Y,3.555,67%,22%,500,2019 Fall
COSC 461,DIXIT M,3.352,53%,29%,501,2019 Fall
COSC 463,RODGERS W,3.120,20%,72%,901,2019 Fall
COSC 463,DAIGNEAULT M,3.142,29%,57%,902,2019 Fall
COSC 463,DAIGNEAULT M,3.090,27%,59%,903,2019 Fall
COSC 463,DAIGNEAULT M,3.086,26%,65%,904,2019 Fall
COSC 463,GRISHAM R,3.320,40%,52%,905,2019 Fall
COSC 463,ELLIS D,3.458,46%,54%,906,2019 Fall
COSC 463,ELLIS D,3.333,42%,50%,907,2019 Fall
COSC 463,GRISHAM R,2.880,16%,56%,908,2019 Fall
COSC 463,GRISHAM R,2.904,19%,52%,909,2019 Fall
COSC 464,MCGOWAN A,3.638,67%,31%,500,2019 Fall
COSC 465,ELLIS D,2.500,3%,44%,500,2019 Fall
COSC 465,RODGERS W,2.892,11%,68%,501,2019 Fall
COSC 475,FICKEL L,2.318,0%,45%,501,2019 Fall
COSC 475,BOLDT G,2.684,3%,66%,503,2019 Fall
COSC 475,BOLDT G,2.517,0%,52%,504,2019 Fall
COSC 477,FICKEL L,2.795,7%,66%,501,2019 Fall
COSC 477,FICKEL L,2.755,14%,49%,502,2019 Fall
COSC 494,GUERRA SANTOS H,3.721,79%,15%,950,2019 Fall
COSC 601,LEWIS P,3.343,34%,66%,600,2019 Fall
COSC 602,AHN C,3.833,83%,17%,600,2019 Fall
COSC 603,RYOO B,3.181,18%,82%,600,2019 Fall
COSC 628,RODGERS W,3.428,43%,57%,600,2019 Fall
COSC 663,RYBKOWSKI Z,3.538,54%,46%,600,2019 Fall
COSC 689,JEONG H,3.333,33%,67%,600,2019 Fall
LAND 101,LEE C,3.309,73%,9%,500,2019 Fall
LAND 101,NDUBISI F,3.300,40%,50%,700,2019 Fall
LAND 111,HUANG C,2.705,29%,35%,501,2019 Fall
LAND 111,REID R,2.937,38%,38%,502,2019 Fall
LAND 210,BROWN R,3.352,53%,41%,500,2019 Fall
LAND 211,HUANG C,3.384,54%,31%,501,2019 Fall
LAND 211,HUANG C,3.090,27%,64%,502,2019 Fall
LAND 231,WINSLOW W,2.384,15%,31%,501,2019 Fall
LAND 231,HURST K,2.000,18%,18%,502,2019 Fall
LAND 240,LEE R,3.474,59%,33%,500,2019 Fall
LAND 240,NEWMAN G,3.587,69%,23%,700,2019 Fall
LAND 301,WINSLOW J,3.695,70%,30%,900,2019 Fall
LAND 311,LI D,3.500,50%,50%,501,2019 Fall
LAND 311,LEE R,3.636,64%,36%,502,2019 Fall
LAND 494,HURST K,3.812,81%,19%,550,2019 Fall
LAND 601,DVORAK B,3.300,30%,70%,600,2019 Fall
LAND 612,WINSLOW W,3.000,40%,20%,600,2019 Fall
LAND 620,RISING H,4.000,100%,0%,600,2019 Fall
LAND 630,LEE R,3.666,67%,33%,600,2019 Fall
LAND 645,RISING H,3.900,90%,10%,600,2019 Fall
LAND 655,REID R,3.700,70%,30%,600,2019 Fall
LDEV 663,EARLY T,3.342,34%,66%,600,2019 Fall
LDEV 664,PETERSON J,3.327,44%,44%,601,2019 Fall
LDEV 667,BOOTH G,4.000,100%,0%,601,2019 Fall
LDEV 669,EARLY T,3.410,44%,54%,600,2019 Fall
LDEV 685,BOOTH G,4.000,100%,0%,603,2019 Fall
LDEV 687,NOH Y,3.851,85%,15%,600,2019 Fall
LDEV 688,FEIGENBAUM L,3.666,67%,33%,600,2019 Fall
PLAN 604,ROSENHEIM N,3.700,70%,30%,600,2019 Fall
PLAN 610,WEI L,3.826,83%,17%,600,2019 Fall
PLAN 612,LASLEY P,3.428,50%,43%,600,2019 Fall
PLAN 625,WUNNEBURGER D,3.818,82%,18%,600,2019 Fall
PLAN 625,WUNNEBURGER D,3.826,87%,9%,700,2019 Fall
PLAN 641,WOODRUFF S,3.714,71%,29%,600,2019 Fall
PLAN 647,MEYER M,3.933,93%,7%,600,2019 Fall
PLAN 661,VAN ZANDT S,3.750,75%,25%,600,2019 Fall
PLAN 664,ROBERTS A,3.666,71%,24%,600,2019 Fall
PLAN 665,YU S,4.000,100%,0%,600,2019 Fall
URPN 201,NOH Y,3.109,51%,27%,500,2019 Fall
URPN 201,TEDFORD E,3.766,87%,10%,501,2019 Fall
URPN 201,YU S,3.758,76%,24%,502,2019 Fall
URPN 201,COWELL R,3.589,79%,11%,700,2019 Fall
URPN 202,CAMPAGNOL G,3.301,51%,33%,500,2019 Fall
URPN 202,DAVIS D,3.529,56%,41%,501,2019 Fall
URPN 202,CAMPAGNOL G,3.425,53%,38%,700,2019 Fall
URPN 202,CAMPAGNOL G,3.163,41%,39%,701,2019 Fall
URPN 202,MARTIN J,3.000,21%,57%,900,2019 Fall
URPN 202,MARTIN J,3.080,28%,52%,901,2019 Fall
URPN 210,ABUABARA A,3.217,52%,30%,500,2019 Fall
