course,prof,gpa,% of A,% of B,section_,semester
ACCT 209,HEAD M,2.642,15%,41%,200,2019 Summer
ACCT 210,ALLEN N,2.709,23%,42%,200,2019 Summer
ACCT 229,ARNOSKY C,2.266,17%,27%,100,2019 Summer
ACCT 230,ALLEN N,2.666,30%,37%,200,2019 Summer
ACCT 321,ROACH K,4.000,100%,0%,100,2019 Summer
ACCT 327,BLASOR T,2.756,30%,30%,100,2019 Summer
ACCT 327,LARKIN R,2.909,33%,33%,101,2019 Summer
ACCT 328,KOLASINSKI A,2.574,24%,35%,200,2019 Summer
ACCT 329,FARMER K,3.451,48%,50%,199,2019 Summer
ACCT 329,FARMER K,3.553,58%,38%,299,2019 Summer
ACCT 403,FARMER K,3.600,60%,40%,100,2019 Summer
ACCT 405,LARKIN R,3.244,36%,58%,100,2019 Summer
ACCT 407,SHAUB M,3.324,41%,51%,900,2019 Summer
ACCT 421,FOSTER C,4.000,100%,0%,931,2019 Summer
ACCT 427,BLASOR T,3.319,38%,55%,100,2019 Summer
ACCT 603,FARMER K,3.947,95%,5%,100,2019 Summer
ACCT 628,SANDERS J,3.526,55%,42%,201,2019 Summer
ACCT 628,SANDERS J,3.638,64%,36%,202,2019 Summer
ACCT 629,FLAGG J,3.944,94%,6%,200,2019 Summer
ACCT 640,FOSTER C,3.000,25%,50%,199,2019 Summer
ACCT 647,REDMAN K,3.470,56%,38%,200,2019 Summer
ACCT 650,HEAD M,3.968,98%,0%,600,2019 Summer
BUAD 679,MARCANTONIO J,4.000,100%,0%,101,2019 Summer
BUAD 679,HALE T,3.538,85%,0%,351,2019 Summer
BUAD 679,HALE T,3.909,95%,0%,700,2019 Summer
BUAD 693,MARCANTONIO J,4.000,100%,0%,101,2019 Summer
BUAD 700,FLINT G,3.581,58%,42%,200,2019 Summer
BUAD 701,BLASOR T,3.560,59%,39%,200,2019 Summer
BUSN 403,GUILLORY J,3.750,75%,25%,901,2019 Summer
IBUS 401,SEIPP L,2.400,0%,40%,299,2019 Summer
IBUS 402,MCDANIEL S,3.958,96%,4%,350,2019 Summer
IBUS 402,BURTON L,4.000,100%,0%,351,2019 Summer
IBUS 403,MCDANIEL S,3.909,91%,9%,350,2019 Summer
IBUS 450,PANINA D,3.666,67%,33%,150,2019 Summer
IBUS 459,ARAUJO A,4.000,100%,0%,150,2019 Summer
FINC 341,MARTINDALE L,3.475,62%,27%,100,2019 Summer
