course,prof,gpa,% of A,% of B,section_,semester
ECEN 370,HARRIS H,3.210,37%,47%,200,2019 Summer
ECEN 420,BHATTACHARYYA S,4.000,100%,0%,300,2019 Summer
ECEN 420,BHATTACHARYYA S,4.000,100%,0%,700,2019 Summer
ECEN 454,CHOI S,3.727,82%,9%,302,2019 Summer
ECEN 454,CHOI S,3.250,33%,58%,303,2019 Summer
ECEN 469,KALAFATIS S,3.333,40%,53%,250,2019 Summer
ECEN 484,KARSILAYAN A,3.750,82%,12%,304,2019 Summer
ENTC 491,KUTTOLAMADOM M,4.000,100%,0%,300,2019 Summer
ESET 219,MORGAN J,2.277,11%,39%,701,2019 Summer
IDIS 300,WALLACE J,3.526,58%,37%,101,2019 Summer
IDIS 300,WALLACE J,3.222,39%,44%,102,2019 Summer
IDIS 300,WALLACE J,3.444,50%,44%,103,2019 Summer
IDIS 343,CAPAR I,2.680,21%,43%,701,2019 Summer
IDIS 400,WALLACE J,3.437,44%,56%,201,2019 Summer
IDIS 400,WALLACE J,3.250,33%,58%,202,2019 Summer
IDIS 489,CAPAR I,4.000,100%,0%,150,2019 Summer
MMET 181,HUNG N,1.833,0%,0%,101,2019 Summer
MMET 181,HUNG N,2.785,29%,21%,102,2019 Summer
MMET 181,HUNG N,3.142,29%,57%,103,2019 Summer
MMET 181,HUNG N,2.500,20%,30%,104,2019 Summer
MMET 275,KUTTOLAMADOM M,2.138,11%,22%,700,2019 Summer
MMET 301,GOLLA M,2.615,0%,62%,901,2019 Summer
MMET 301,GOLLA M,2.428,0%,43%,902,2019 Summer
MMET 301,GOLLA M,2.600,0%,60%,903,2019 Summer
MMET 401,GOLLA M,3.125,12%,88%,200,2019 Summer
MMET 401,GOLLA M,3.125,19%,75%,201,2019 Summer
MMET 401,GOLLA M,2.937,0%,94%,202,2019 Summer
ISEN 230,TORKAMANDI B,3.307,54%,23%,100,2019 Summer
ISEN 302,JOHNSON A,3.277,53%,33%,700,2019 Summer
ISEN 310,VALDEZ-FLORES C,2.863,23%,50%,200,2019 Summer
ISEN 320,HOSSEINIAN S,2.058,24%,12%,700,2019 Summer
ISEN 370,ELWANY A,3.084,37%,42%,700,2019 Summer
ISEN 440,NTAIMO L,3.555,61%,33%,700,2019 Summer
ISEN 485,GRAUL M,4.000,100%,0%,308,2019 Summer
ISEN 615,ELWANY A,3.833,83%,17%,700,2019 Summer
ISEN 630,FERRIS T,3.470,59%,29%,700,2019 Summer
ISEN 667,JOHNSON A,3.266,53%,33%,700,2019 Summer
MSEN 222,CREASY T,3.000,19%,62%,700,2019 Summer
MSEN 491,SHAMBERGER P,4.000,100%,0%,302,2019 Summer
MSEN 657,ARROYAVE R,4.000,100%,0%,301,2019 Summer
MEEN 221,MCVAY M,2.937,48%,20%,700,2019 Summer
MEEN 221,MCVAY M,2.411,29%,22%,701,2019 Summer
MEEN 222,CREASY T,3.096,32%,45%,700,2019 Summer
MEEN 315,HAGLUND J,3.117,41%,38%,300,2019 Summer
MEEN 315,HAGLUND J,2.594,27%,27%,700,2019 Summer
MEEN 344,AMIRI A,2.818,30%,32%,301,2019 Summer
MEEN 345,KIM H,3.785,79%,21%,300,2019 Summer
MEEN 357,KIM Y,2.882,24%,47%,300,2019 Summer
MEEN 364,HAGLUND J,3.062,44%,25%,300,2019 Summer
MEEN 364,HAGLUND J,3.230,31%,62%,301,2019 Summer
MEEN 368,BALAWI S,3.000,23%,54%,300,2019 Summer
MEEN 368,BALAWI S,2.888,22%,50%,700,2019 Summer
MEEN 401,LEWIS H,3.681,73%,23%,300,2019 Summer
MEEN 402,MOHIUDDIN M,4.000,100%,0%,300,2019 Summer
MEEN 404,MOHIUDDIN M,3.666,67%,33%,900,2019 Summer
MEEN 442,DORON Y,3.150,30%,60%,300,2019 Summer
MEEN 461,KIM H,2.777,26%,30%,300,2019 Summer
MEEN 461,KIM H,2.814,22%,43%,700,2019 Summer
MEEN 464,KIM H,3.272,36%,55%,300,2019 Summer
MEEN 464,KIM H,3.666,67%,33%,301,2019 Summer
MEEN 475,BALAWI S,3.333,33%,67%,300,2019 Summer
MEEN 475,BALAWI S,3.458,50%,46%,700,2019 Summer
MEEN 485,HOGAN H,4.000,100%,0%,364,2019 Summer
MEEN 632,DORON Y,3.866,87%,13%,300,2019 Summer
MEEN 662,RASMUSSEN B,3.200,50%,40%,700,2019 Summer
NUEN 302,KIMBER M,1.892,14%,18%,300,2019 Summer
NUEN 485,SHAO L,4.000,100%,0%,150,2019 Summer
NUEN 685,HASSAN Y,4.000,100%,0%,326,2019 Summer
OCEN 214,SUBRAMANIAN R,2.250,12%,25%,200,2019 Summer
OCEN 363,NA B,3.000,0%,100%,250,2019 Summer
PETE 201,SLIVA C,3.588,59%,41%,701,2019 Summer
PETE 409,HASCAKIR B,3.750,75%,25%,300,2019 Summer
PETE 418,LEE W,3.333,33%,67%,700,2019 Summer
PETE 609,HASCAKIR B,3.800,80%,20%,300,2019 Summer
PETE 641,MORIDIS G,4.000,100%,0%,300,2019 Summer
PETE 663,BLASINGAME T,3.600,60%,40%,300,2019 Summer
PETE 663,BLASINGAME T,3.375,50%,38%,700,2019 Summer
PETE 689,NASRABADI H,4.000,100%,0%,300,2019 Summer
