course,prof,gpa,% of A,% of B,section_,semester
ARCH 249,CAFFEY S,3.196,58%,20%,700,2019 Summer
ARCH 250,CAMPAGNOL G,3.521,70%,20%,700,2019 Summer
ARCH 331,NICHOLS A,2.166,11%,28%,100,2019 Summer
ARCH 350,CAMPAGNOL G,3.309,50%,31%,700,2019 Summer
ARCH 406,OBRIEN M,3.357,43%,50%,300,2019 Summer
ARCH 406,JAIN P,3.230,31%,62%,301,2019 Summer
ARCH 603,DE LIMA VAZ XAVIER,3.375,50%,38%,300,2019 Summer
ENDS 101,HILL R,3.890,90%,8%,200,2019 Summer
ENDS 101,CAFFEY S,3.067,38%,45%,700,2019 Summer
ENDS 105,ROGERS J,3.111,33%,56%,100,2019 Summer
ENDS 108,TRIPP A,3.571,57%,43%,203,2019 Summer
ENDS 108,VAHDAT ZAD V,3.500,79%,7%,204,2019 Summer
ENDS 115,BORGES GONZALEZ A,3.222,44%,44%,100,2019 Summer
CARC 311,MASTERSON J,3.764,76%,24%,150,2019 Summer
CARC 311,NDUBISI F,3.600,65%,30%,151,2019 Summer
CARC 311,FORTENBERRY B,4.000,100%,0%,153,2019 Summer
CARC 311,HUANG C,3.384,38%,62%,250,2019 Summer
CARC 311,ABBOTT E,3.736,74%,26%,251,2019 Summer
CARC 311,ROLDAN M,3.380,38%,62%,252,2019 Summer
CARC 331,GIUSTI C,3.692,77%,15%,150,2019 Summer
CARC 331,ERMINY M,4.000,100%,0%,151,2019 Summer
CARC 331,FORTENBERRY B,4.000,100%,0%,152,2019 Summer
CARC 331,NDUBISI F,3.600,65%,30%,153,2019 Summer
CARC 331,MASTERSON J,3.764,76%,24%,154,2019 Summer
CARC 331,HUANG C,3.307,38%,54%,250,2019 Summer
CARC 331,ABBOTT E,3.150,15%,85%,251,2019 Summer
CARC 331,ROLDAN M,3.380,38%,62%,252,2019 Summer
COSC 275,PALMER R,3.461,54%,38%,100,2019 Summer
COSC 325,HOUSTON J,2.777,11%,56%,200,2019 Summer
COSC 326,BRYANT J,3.500,50%,50%,500,2019 Summer
COSC 353,SIMMS L,2.657,3%,60%,100,2019 Summer
COSC 364,MCGOWAN A,3.821,89%,7%,100,2019 Summer
COSC 375,BOLDT G,3.117,26%,59%,200,2019 Summer
COSC 381,GUERRA SANTOS H,4.000,100%,0%,100,2019 Summer
COSC 421,DUDLEY D,3.320,44%,44%,100,2019 Summer
COSC 442,FERNANDEZ-SOLIS J,3.850,90%,5%,930,2019 Summer
COSC 442,FERNANDEZ-SOLIS J,3.833,83%,17%,931,2019 Summer
COSC 442,WORKMAN R,3.909,91%,9%,932,2019 Summer
COSC 450,LAVY S,4.000,100%,0%,250,2019 Summer
COSC 463,RODGERS W,4.000,100%,0%,250,2019 Summer
COSC 464,MCGOWAN A,3.558,68%,24%,100,2019 Summer
COSC 465,MCCLOSKEY A,2.903,19%,52%,200,2019 Summer
COSC 465,RODGERS W,4.000,100%,0%,250,2019 Summer
COSC 474,LAVY S,3.727,82%,9%,300,2019 Summer
COSC 475,BOLDT G,2.857,14%,57%,100,2019 Summer
COSC 475,BOLDT G,2.937,19%,56%,200,2019 Summer
COSC 477,FICKEL L,3.219,44%,34%,100,2019 Summer
COSC 485,RODGERS W,3.909,91%,9%,250,2019 Summer
COSC 489,LAVY S,4.000,100%,0%,250,2019 Summer
LAND 240,NEWMAN G,3.731,80%,13%,700,2019 Summer
LAND 630,NEWMAN G,3.857,86%,14%,700,2019 Summer
PLAN 612,WEI L,3.875,88%,12%,700,2019 Summer
PLAN 625,WUNNEBURGER D,3.166,67%,17%,702,2019 Summer
URPN 201,COWELL R,3.352,71%,12%,700,2019 Summer
URPN 201,COWELL R,3.866,87%,13%,701,2019 Summer
URPN 202,MARTIN J,3.111,22%,67%,700,2019 Summer
URPN 325,WUNNEBURGER D,2.714,57%,14%,700,2019 Summer
URPN 361,GIUSTI C,3.857,86%,14%,150,2019 Summer
URPN 361,TRAN T,3.424,55%,33%,700,2019 Summer
URPN 369,WEI L,3.916,92%,8%,700,2019 Summer
URPN 370,NEWTON K,3.627,80%,9%,700,2019 Summer
ARTS 149,SUTHERLAND S,3.800,83%,13%,700,2019 Summer
ARTS 149,SUTHERLAND S,3.684,79%,13%,701,2019 Summer
ARTS 150,CAMPANA L,3.810,84%,14%,700,2019 Summer
ARTS 150,CAMPANA L,3.535,64%,25%,701,2019 Summer
ARTS 210,EILERS H,3.714,71%,29%,200,2019 Summer
ARTS 212,WOODFIN S,3.750,75%,25%,200,2019 Summer
ARTS 305,DAVISON R,3.571,57%,43%,100,2019 Summer
ARTS 325,BOLOGAN A,3.615,62%,38%,700,2019 Summer
ARTS 349,STOENESCU L,3.909,91%,9%,700,2019 Summer
VIST 106,KOUSTOV D,3.750,75%,25%,100,2019 Summer
VIST 205,SEO J,3.523,52%,48%,300,2019 Summer
VIST 205,JENKS M,3.521,57%,39%,302,2019 Summer
VIST 270,RINGHAM M,3.189,41%,43%,300,2019 Summer
VIST 284,HONEYCUTT A,3.545,61%,33%,701,2019 Summer
VIST 284,HONEYCUTT A,3.052,42%,37%,702,2019 Summer
VIST 305,THOMAS A,3.933,93%,7%,300,2019 Summer
VIST 405,THOMAS A,4.000,100%,0%,300,2019 Summer
VIST 485,THOMAS A,4.000,100%,0%,300,2019 Summer
VIST 485,ANDREASSON M,4.000,100%,0%,302,2019 Summer
VIZA 627,KICKLIGHTER C,4.000,100%,0%,200,2019 Summer
