course,prof,gpa,% of A,% of B,section_,semester
AGCJ 305,COSTELLO L,3.416,58%,25%,700,2018 Summer
AGCJ 306,WALTHER D,3.763,76%,24%,700,2018 Summer
AGCJ 307,WAGNER S,2.545,18%,36%,700,2018 Summer
AGCJ 308,RUTHERFORD T,3.636,82%,9%,150,2018 Summer
AGCJ 308,ROBERTS L,4.000,100%,0%,300,2018 Summer
AGCJ 312,DUNSFORD D,4.000,100%,0%,300,2018 Summer
AGCJ 313,WALTHER D,3.857,86%,14%,900,2018 Summer
AGCJ 314,REDWINE T,3.125,38%,38%,900,2018 Summer
AGCJ 409,ZENT R,4.000,100%,0%,100,2018 Summer
AGCJ 481,DUNSFORD D,3.583,67%,25%,300,2018 Summer
AGCJ 485,RUTHERFORD T,3.166,50%,33%,150,2018 Summer
AGCJ 494,RUTHERFORD T,4.000,100%,0%,356,2018 Summer
AGSC 489,HANCOCK J,3.833,83%,17%,100,2018 Summer
ALEC 494,MAZURKIEWICZ J,4.000,100%,0%,151,2018 Summer
ALEC 617,STRONG J,3.666,73%,20%,700,2018 Summer
ALED 202,MOORE L,3.518,63%,30%,199,2018 Summer
ALED 202,DUNN A,3.700,73%,23%,700,2018 Summer
ALED 301,ODOM S,2.315,21%,26%,700,2018 Summer
ALED 340,DUNN A,3.120,32%,48%,700,2018 Summer
ALED 340,BENSON J,3.090,27%,55%,931,2018 Summer
ALED 340,DUNN A,2.928,32%,39%,999,2018 Summer
ALED 344,LOCKETT L,3.653,81%,12%,700,2018 Summer
ALED 422,RUTHERFORD T,3.666,67%,33%,150,2018 Summer
ALED 422,ELBERT C,4.000,100%,0%,700,2018 Summer
ALED 424,WALTER G,3.764,76%,24%,100,2018 Summer
ALED 440,"STRONG, JR R",4.000,100%,0%,150,2018 Summer
ALED 440,HARLIN J,3.186,40%,44%,701,2018 Summer
ALED 441,DEWALD S,4.000,100%,0%,100,2018 Summer
ALED 481,PRESTON T,2.444,17%,33%,299,2018 Summer
ALED 481,PRESTON T,1.800,0%,40%,700,2018 Summer
ALED 494,DROMGOOLE D,4.000,100%,0%,301,2018 Summer
ALED 494,STAVINOHA M,2.818,50%,17%,339,2018 Summer
ALED 494,STAVINOHA M,3.250,72%,11%,389,2018 Summer
AGEC 105,PENSON J,2.666,13%,47%,398,2018 Summer
AGEC 105,PENSON J,2.105,0%,42%,701,2018 Summer
AGEC 314,DHARMASENA K,3.290,58%,24%,398,2018 Summer
AGEC 314,DHARMASENA K,3.400,40%,60%,700,2018 Summer
AGEC 317,BACKSTROM J,3.666,67%,33%,301,2018 Summer
AGEC 330,LEATHAM D,2.609,19%,39%,702,2018 Summer
AGEC 340,SPRINGFIELD H,3.000,23%,54%,198,2018 Summer
AGEC 402,VEDENOV D,4.000,100%,0%,150,2018 Summer
AGEC 422,SPRINGFIELD H,2.351,3%,51%,198,2018 Summer
AGEC 422,SPRINGFIELD H,2.125,0%,12%,701,2018 Summer
AGEC 435,MOORE C,2.470,21%,24%,398,2018 Summer
AGEC 435,MOORE C,1.714,0%,14%,701,2018 Summer
AGEC 436,BUENGER S,2.333,0%,50%,301,2018 Summer
AGEC 436,BUENGER S,2.444,0%,44%,701,2018 Summer
AGEC 437,WEBB D,3.038,35%,42%,398,2018 Summer
AGEC 437,WEBB D,2.888,44%,22%,701,2018 Summer
AGEC 441,MOORE C,2.444,11%,44%,398,2018 Summer
ANSC 107,FRENZEL L,3.731,82%,12%,100,2018 Summer
ANSC 108,SKAGGS C,3.937,94%,6%,101,2018 Summer
ANSC 305,SANDERS J,3.090,45%,23%,200,2018 Summer
ANSC 305,SANDERS J,3.400,56%,28%,201,2018 Summer
ANSC 307,SAVELL J,3.000,26%,47%,201,2018 Summer
ANSC 318,CARSTENS G,3.285,39%,50%,100,2018 Summer
ANSC 406,HERRING A,3.800,80%,20%,100,2018 Summer
ANSC 415,TEDESCHI L,4.000,100%,0%,150,2018 Summer
ANSC 433,SATTERFIELD M,3.400,53%,33%,301,2018 Summer
ANSC 433,SATTERFIELD M,2.315,21%,11%,302,2018 Summer
ANSC 433,SATTERFIELD M,2.733,20%,33%,303,2018 Summer
ANSC 436,WICKERSHAM T,3.941,94%,6%,101,2018 Summer
ANSC 481,FARNELL Y,3.875,88%,12%,901,2018 Summer
ANSC 481,FRENZEL L,3.866,87%,13%,902,2018 Summer
ANSC 491,DAIGLE C,4.000,100%,0%,314,2018 Summer
ANSC 494,FRENZEL L,4.000,100%,0%,300,2018 Summer
ANSC 494,FRENZEL L,4.000,100%,0%,350,2018 Summer
ANSC 622,SAWYER J,3.843,84%,16%,300,2018 Summer
ANSC 636,WICKERSHAM T,3.555,67%,22%,101,2018 Summer
DASC 418,TOMASZEWSKI M,4.000,100%,0%,150,2018 Summer
DASC 485,TOMASZEWSKI M,0.000,100%,0%,150,2018 Summer
BICH 410,HENDERSON POZZI M,2.885,37%,26%,301,2018 Summer
BICH 410,HENDERSON POZZI M,2.352,12%,29%,302,2018 Summer
BICH 410,HENDERSON POZZI M,2.870,45%,16%,303,2018 Summer
BICH 411,MILES B,2.466,27%,33%,301,2018 Summer
BICH 411,MILES B,2.666,33%,33%,302,2018 Summer
BICH 411,MILES B,3.105,37%,42%,303,2018 Summer
BICH 412,AYRES N,3.384,54%,31%,201,2018 Summer
BICH 412,AYRES N,3.200,20%,80%,202,2018 Summer
BICH 491,KUNKEL G,4.000,100%,0%,312,2018 Summer
BICH 697,BRYK M,4.000,100%,0%,300,2018 Summer
GENE 301,DIBBLEY REYNOLDS M,2.675,32%,24%,300,2018 Summer
GENE 310,MAGILL C,2.857,24%,43%,100,2018 Summer
GENE 312,PISHKO E,3.076,35%,38%,201,2018 Summer
GENE 312,PISHKO E,2.952,33%,38%,202,2018 Summer
GENE 312,PISHKO E,2.500,17%,29%,203,2018 Summer
AGSM 337,ENGLER C,3.000,12%,75%,250,2018 Summer
AGSM 360,KINGMAN D,3.326,50%,35%,199,2018 Summer
BAEN 320,FERNANDO S,2.872,23%,55%,700,2018 Summer
BAEN 465,ENGLER C,3.470,53%,41%,250,2018 Summer
ESSM 351,TAPANEEYAKUL S,3.300,60%,30%,700,2018 Summer
ESSM 440,KNIGHT R,3.777,78%,22%,100,2018 Summer
ESSM 485,ROGERS W,3.714,71%,29%,150,2018 Summer
ESSM 491,MOORE G,4.000,100%,0%,300,2018 Summer
ESSM 651,TAPANEEYAKUL S,4.000,100%,0%,700,2018 Summer
RENR 400,SMITH W,4.000,100%,0%,151,2018 Summer
RENR 400,SMITH W,4.000,100%,0%,152,2018 Summer
RENR 400,KREUTER U,3.714,71%,29%,153,2018 Summer
RENR 405,TAPANEEYAKUL S,3.250,50%,25%,700,2018 Summer
ENTO 300,BRUNDAGE A,4.000,100%,0%,151,2018 Summer
ENTO 320,SHEPHERD T,3.487,68%,20%,700,2018 Summer
ENTO 322,COATES C,3.338,56%,28%,700,2018 Summer
ENTO 450,BRUNDAGE A,4.000,100%,0%,150,2018 Summer
ENTO 451,BRUNDAGE A,4.000,100%,0%,150,2018 Summer
FIVS 205,BRUNDAGE A,2.850,45%,25%,700,2018 Summer
HORT 201,GRIFFIN W,2.807,27%,35%,700,2018 Summer
HORT 203,MCKINLEY W,3.647,65%,35%,101,2018 Summer
HORT 203,MCKINLEY W,3.529,65%,24%,102,2018 Summer
HORT 203,MCKINLEY W,3.090,45%,36%,103,2018 Summer
HORT 203,MCKINLEY W,3.636,73%,18%,104,2018 Summer
HORT 301,KING A,3.650,70%,25%,200,2018 Summer
FSTC 201,MURANO P,3.800,85%,12%,199,2018 Summer
NUTR 202,CREASY R,3.666,77%,15%,700,2018 Summer
NUTR 320,MURANO P,3.524,57%,38%,199,2018 Summer
NUTR 430,LORENZ S,3.195,39%,43%,901,2018 Summer
NUTR 481,GEISMAR K,2.733,20%,53%,900,2018 Summer
NUTR 485,BEATHARD K,0.000,100%,0%,207,2018 Summer
NUTR 485,CREASY R,0.000,100%,0%,208,2018 Summer
PLPA 626,APPEL D,3.900,90%,10%,300,2018 Summer
POSC 201,HYATT D,3.448,62%,24%,200,2018 Summer
RPTS 201,KANG S,3.695,74%,22%,700,2018 Summer
RPTS 300,NELSON C,3.200,60%,0%,152,2018 Summer
RPTS 301,JACOBSEN N,3.228,57%,17%,700,2018 Summer
RPTS 302,SUESS-RAEISINAFCHI,3.531,66%,25%,700,2018 Summer
RPTS 311,SHAFER D,3.142,57%,14%,700,2018 Summer
RPTS 331,MIGACZ S,3.037,48%,30%,700,2018 Summer
RPTS 336,MATARRITA CASCANTE,2.645,16%,48%,700,2018 Summer
RPTS 340,KYLE K,3.200,56%,16%,701,2018 Summer
RPTS 370,SULLINS A,3.125,46%,42%,700,2018 Summer
RPTS 411,PETRICK J,3.250,33%,58%,250,2018 Summer
RPTS 423,GIRARD J,2.181,9%,41%,700,2018 Summer
RPTS 426,JAMAL T,2.937,25%,56%,700,2018 Summer
RPTS 478,OUTLEY C,4.000,100%,0%,100,2018 Summer
RPTS 484,SCOTT S,4.000,100%,0%,300,2018 Summer
RPTS 484,SCOTT S,3.803,86%,9%,350,2018 Summer
SCSC 301,HOWE J,2.400,10%,40%,201,2018 Summer
SCSC 301,HOWE J,2.312,31%,19%,202,2018 Summer
SCSC 301,HOWE J,2.428,14%,43%,203,2018 Summer
SCSC 302,JESSUP R,3.544,66%,24%,199,2018 Summer
SCSC 302,HALL M,3.368,53%,37%,299,2018 Summer
SCSC 302,JESSUP R,3.800,80%,20%,701,2018 Summer
WFSC 304,FERN R,3.772,82%,14%,200,2018 Summer
WFSC 489,CONWAY K,3.800,80%,20%,100,2018 Summer
