course,prof,gpa,% of A,% of B,section_,semester
VIBS 305,PINE M,3.169,42%,36%,301,2018 Summer
VIBS 616,ABBOTT L,4.000,100%,0%,101,2018 Summer
VIBS 689,NGHIEM P,4.000,100%,0%,101,2018 Summer
VTPP 401,WASSER J,4.000,100%,0%,150,2018 Summer
VTPP 423,HERMAN J,2.314,17%,26%,300,2018 Summer
VTPP 485,RAMADOSS J,4.000,100%,0%,108,2018 Summer
VTPP 485,BLUE MCLENDON A,4.000,100%,0%,308,2018 Summer
VTPP 489,FAJT V,3.931,93%,7%,150,2018 Summer
VTPB 405,OMRAN M,3.884,88%,12%,301,2018 Summer
VTPB 405,OMRAN M,3.728,78%,19%,302,2018 Summer
VTPB 409,OMRAN M,3.109,40%,38%,300,2018 Summer
VTPB 485,DERR J,4.000,100%,0%,150,2018 Summer
VTPB 485,ESTEVE-GASENT M,4.000,100%,0%,207,2018 Summer
