course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,GURSKY S,3.000,25%,50%,200,2018 Summer
ANTH 205,LYNCH D,3.605,66%,29%,101,2018 Summer
ANTH 205,KENNEDY C,3.547,64%,26%,201,2018 Summer
ANTH 324,DEL CIAMPO M,3.619,81%,5%,100,2018 Summer
ANTH 370,WINKING J,3.428,50%,43%,900,2018 Summer
ANTH 370,DE RUITER D,4.000,100%,0%,901,2018 Summer
FILM 251,BYABARTTA D,3.913,91%,9%,100,2018 Summer
WGST 374,AHN H,4.000,100%,0%,100,2018 Summer
COMM 203,WU Q,3.000,44%,33%,101,2018 Summer
COMM 203,WHITTEN R,3.045,36%,45%,102,2018 Summer
COMM 203,CHEN F,3.291,29%,71%,103,2018 Summer
COMM 203,COLGLAZIER K,2.850,20%,55%,104,2018 Summer
COMM 203,GLOECKNER P,3.041,46%,38%,105,2018 Summer
COMM 203,WINFIELD A,2.791,25%,38%,106,2018 Summer
COMM 203,CHABOKI DARZABI R,3.300,55%,25%,107,2018 Summer
COMM 203,MUNSON D,3.263,53%,32%,108,2018 Summer
COMM 203,TARVIN D,3.173,26%,65%,109,2018 Summer
COMM 203,MUNSON D,3.409,41%,59%,110,2018 Summer
COMM 203,EVERETT B,3.055,22%,61%,201,2018 Summer
COMM 203,ADAMS T,3.480,64%,28%,203,2018 Summer
COMM 203,WINFIELD A,2.900,15%,70%,204,2018 Summer
COMM 203,COLGLAZIER K,3.368,53%,32%,205,2018 Summer
COMM 203,GALAL A,3.181,36%,55%,206,2018 Summer
COMM 203,ZHAO Y,3.222,33%,56%,207,2018 Summer
COMM 203,CHABOKI DARZABI R,3.181,27%,68%,208,2018 Summer
COMM 203,WHITTEN R,3.350,55%,35%,209,2018 Summer
COMM 203,MURAWSKI C,3.238,33%,57%,210,2018 Summer
COMM 203,PARISH N,3.125,29%,62%,211,2018 Summer
COMM 215,ROWE S,3.687,69%,31%,100,2018 Summer
COMM 243,MUNSON D,3.521,57%,39%,200,2018 Summer
COMM 289,CRICK N,3.666,67%,33%,150,2018 Summer
COMM 315,BRANNON G,2.976,28%,48%,199,2018 Summer
COMM 315,GLOECKNER P,3.093,30%,53%,299,2018 Summer
COMM 325,WESNER K,2.875,30%,38%,199,2018 Summer
COMM 325,LUECK J,3.189,37%,47%,299,2018 Summer
COMM 335,TARVIN D,3.029,26%,53%,199,2018 Summer
COMM 335,MILLER L,3.250,35%,56%,299,2018 Summer
COMM 340,FOGLE K,3.423,57%,32%,299,2018 Summer
COMM 437,ROLD M,3.347,39%,57%,900,2018 Summer
COMM 440,CRICK N,3.909,91%,9%,900,2018 Summer
COMM 450,PARISH N,3.590,64%,32%,900,2018 Summer
ECON 202,TAJALI H,2.879,31%,33%,100,2018 Summer
ECON 203,LI X,3.078,37%,34%,200,2018 Summer
ECON 323,SLOAN C,2.701,16%,51%,200,2018 Summer
ECON 440,ALSTON M,3.557,62%,33%,100,2018 Summer
ECON 459,MOSQUERA MOYANO R,3.488,65%,21%,200,2018 Summer
ECON 465,LENZ E,3.631,84%,5%,900,2018 Summer
ENGL 104,BUSTAMANTE C,3.411,53%,35%,200,2018 Summer
ENGL 104,ESTRADA-CARPENTER A,3.041,54%,25%,201,2018 Summer
ENGL 210,PLUMMER J,3.760,88%,4%,184,2018 Summer
ENGL 210,GONZENBACH S,3.409,55%,32%,185,2018 Summer
ENGL 210,COOPER R,3.428,76%,10%,186,2018 Summer
ENGL 210,CLOUGH K,3.208,42%,46%,192,2018 Summer
ENGL 210,BLACKWELL C,3.416,58%,25%,193,2018 Summer
ENGL 210,PATTISON K,3.909,91%,9%,194,2018 Summer
ENGL 210,ZHANG Z,3.880,92%,4%,195,2018 Summer
ENGL 210,MCKINNEY M,3.565,70%,26%,281,2018 Summer
ENGL 210,CARLY-MILES C,3.000,36%,48%,282,2018 Summer
ENGL 210,BAE K,3.250,42%,50%,283,2018 Summer
ENGL 210,CHOI Y,3.869,87%,13%,284,2018 Summer
ENGL 210,LEE S,3.840,84%,16%,291,2018 Summer
ENGL 210,SADLER L,3.840,84%,16%,292,2018 Summer
ENGL 210,KIM H,3.791,88%,4%,293,2018 Summer
ENGL 212,MOHAMMED U,3.476,57%,33%,200,2018 Summer
ENGL 235,WHITE L,3.833,83%,17%,100,2018 Summer
ENGL 251,BYABARTTA D,3.833,83%,17%,100,2018 Summer
ENGL 305,ROZIER J,3.416,56%,33%,100,2018 Summer
ENGL 330,BRENNER C,3.468,56%,34%,200,2018 Summer
ENGL 334,VASILAKIS A,3.514,71%,9%,100,2018 Summer
ENGL 356,EMBREE D,3.076,42%,35%,200,2018 Summer
ENGL 360,SANDLIN L,3.093,41%,41%,100,2018 Summer
ENGL 362,HENEKS G,3.034,48%,31%,200,2018 Summer
ENGL 374,AHN H,3.700,77%,17%,100,2018 Summer
HISP 362,HENEKS G,3.000,40%,20%,200,2018 Summer
SPAN 101,GUTKE C,3.375,56%,25%,101,2018 Summer
SPAN 101,DIAZ SARDINAS L,3.777,78%,22%,102,2018 Summer
SPAN 102,YAGUE GONZALEZ D,3.625,62%,38%,201,2018 Summer
SPAN 102,KING A,3.142,25%,64%,202,2018 Summer
SPAN 201,MESA MORALES M,3.916,92%,8%,101,2018 Summer
SPAN 201,VALERO MARTINEZ J,3.600,73%,13%,102,2018 Summer
SPAN 202,ARENIVAR A,3.925,93%,7%,201,2018 Summer
SPAN 202,AGUILAR Z,3.600,60%,40%,202,2018 Summer
SPAN 221,LAWO-SUKAM A,3.789,79%,21%,150,2018 Summer
SPAN 222,LAWO-SUKAM A,3.789,79%,21%,150,2018 Summer
HIST 101,HUDSON D,2.571,21%,29%,100,2018 Summer
HIST 105,GUNTER R,2.721,30%,38%,100,2018 Summer
HIST 106,MCINNIS V,3.151,38%,42%,200,2018 Summer
HIST 226,CAMERON D,3.377,51%,39%,200,2018 Summer
HIST 304,ALONZO A,3.666,72%,22%,200,2018 Summer
HIST 406,SCHLOSS R,2.885,26%,37%,100,2018 Summer
ARAB 201,AYARI S,4.000,100%,0%,150,2018 Summer
ARAB 202,AYARI S,4.000,100%,0%,350,2018 Summer
ARAB 321,AYARI S,3.789,79%,21%,350,2018 Summer
ARAB 323,AYARI S,3.947,95%,5%,350,2018 Summer
ARAB 485,AYARI S,4.000,100%,0%,150,2018 Summer
ARAB 485,AYARI S,4.000,100%,0%,250,2018 Summer
CHIN 202,SHI W,4.000,100%,0%,351,2018 Summer
CHIN 302,SHI W,4.000,100%,0%,350,2018 Summer
CHIN 489,SHI W,4.000,100%,0%,350,2018 Summer
CHIN 489,SHI W,4.000,100%,0%,351,2018 Summer
GERM 221,BRENNER D,4.000,100%,0%,150,2018 Summer
GERM 222,BRENNER D,4.000,100%,0%,150,2018 Summer
JAPN 201,WAUGH Y,4.000,100%,0%,350,2018 Summer
JAPN 202,ADAMS G,3.818,82%,18%,350,2018 Summer
JAPN 301,WAUGH Y,4.000,100%,0%,350,2018 Summer
JAPN 302,ADAMS G,4.000,100%,0%,350,2018 Summer
JAPN 325,ADAMS G,3.941,94%,6%,350,2018 Summer
MUSC 301,DEL CIAMPO M,4.000,100%,0%,200,2018 Summer
MUSC 324,DEL CIAMPO M,3.200,53%,20%,100,2018 Summer
PERF 301,DEL CIAMPO M,3.571,57%,43%,200,2018 Summer
THAR 201,QUACKENBUSH AMMONS,3.847,86%,13%,200,2018 Summer
THAR 281,QUACKENBUSH AMMONS,3.901,92%,6%,100,2018 Summer
PHIL 111,REED R,3.294,47%,41%,100,2018 Summer
PHIL 111,RUWE D,4.000,100%,0%,200,2018 Summer
PHIL 111,MEDA CALDERON D,3.571,62%,33%,201,2018 Summer
PHIL 240,CONTE S,2.956,30%,48%,101,2018 Summer
PHIL 240,BERMUDEZ OSPINA J,2.822,20%,52%,199,2018 Summer
PHIL 251,MANLEY R,3.684,84%,11%,100,2018 Summer
PHIL 251,WARD J,3.500,60%,30%,200,2018 Summer
POLS 206,MERRILL A,3.153,42%,35%,100,2018 Summer
POLS 206,SMITH J,2.806,22%,43%,200,2018 Summer
POLS 207,SMITH J,3.223,41%,43%,100,2018 Summer
POLS 207,SMITH J,3.360,51%,36%,200,2018 Summer
POLS 306,ROBERTSON J,4.000,100%,0%,150,2018 Summer
POLS 306,ROBERTSON J,4.000,100%,0%,151,2018 Summer
POLS 306,URA J,4.000,100%,0%,152,2018 Summer
POLS 306,ROBERTSON J,4.000,100%,0%,250,2018 Summer
POLS 306,ROBERTSON J,4.000,100%,0%,251,2018 Summer
POLS 320,RICE M,2.969,24%,58%,200,2018 Summer
POLS 338,KAYA R,3.000,42%,23%,200,2018 Summer
POLS 357,URA J,3.137,24%,66%,100,2018 Summer
PSYC 107,HULL R,3.461,50%,46%,100,2018 Summer
PSYC 107,CARTER-SOWELL A,3.187,35%,48%,200,2018 Summer
PSYC 300,WALKER J,3.789,79%,21%,100,2018 Summer
PSYC 301,SCHUMACHER J,3.222,56%,33%,901,2018 Summer
PSYC 301,SCHUMACHER J,3.833,83%,17%,902,2018 Summer
PSYC 302,SAMUELSON C,2.833,17%,50%,901,2018 Summer
PSYC 302,SAMUELSON C,2.866,33%,27%,902,2018 Summer
PSYC 305,HEFFER R,3.268,46%,39%,200,2018 Summer
PSYC 306,PENSON B,3.784,80%,18%,101,2018 Summer
PSYC 307,OSBORNE L,3.657,73%,21%,100,2018 Summer
PSYC 315,FINLEY A,3.750,77%,20%,200,2018 Summer
PSYC 319,FIELDS S,4.000,100%,0%,250,2018 Summer
PSYC 320,GARCIA O,3.714,74%,23%,100,2018 Summer
PSYC 340,REGAN T,2.682,24%,32%,200,2018 Summer
PSYC 450,FIELDS S,4.000,100%,0%,250,2018 Summer
PSYC 613,SNYDER D,4.000,100%,0%,301,2018 Summer
PSYC 614,HEFFER R,4.000,100%,0%,301,2018 Summer
SOCI 207,NUMMI J,2.916,17%,58%,100,2018 Summer
SOCI 217,MILLER G,3.769,77%,23%,100,2018 Summer
SOCI 220,LINNEMAN J,2.692,15%,38%,100,2018 Summer
SOCI 230,BERKOWITZ L,2.550,20%,35%,900,2018 Summer
SOCI 304,RADCLIFFE R,3.416,47%,47%,100,2018 Summer
SOCI 304,MCDOUGAL M,2.692,8%,69%,200,2018 Summer
SOCI 314,YOUNG T,3.222,69%,6%,200,2018 Summer
SOCI 317,NUMMI J,2.125,0%,62%,200,2018 Summer
SOCI 420,HOU D,2.935,32%,29%,900,2018 Summer
SOCI 430,DIETRICH K,2.176,12%,24%,200,2018 Summer
SOCI 484,DIETRICH K,4.000,100%,0%,335,2018 Summer
SOCI 491,CAMPBELL M,4.000,100%,0%,110,2018 Summer
