course,prof,gpa,% of A,% of B,section_,semester
CEHD 603,GOODSON P,4.000,100%,0%,100,2018 Summer
EDAD 609,POENITZSCH N,4.000,100%,0%,700,2018 Summer
EDAD 615,HOLLEY S,3.818,91%,0%,300,2018 Summer
EDAD 624,SMITH K,3.928,93%,7%,700,2018 Summer
EDAD 630,HOLLEY S,3.818,91%,0%,300,2018 Summer
EDAD 635,WEBB-JOHNSON G,4.000,100%,0%,700,2018 Summer
EDAD 637,MADSEN J,3.933,93%,7%,700,2018 Summer
EDAD 669,BAILEY K,4.000,100%,0%,100,2018 Summer
EDAD 687,WEBB-JOHNSON G,3.928,93%,7%,700,2018 Summer
EHRD 203,FOWLER R,3.789,84%,11%,700,2018 Summer
EHRD 210,MARK C,3.150,50%,25%,700,2018 Summer
EHRD 289,PONJUAN L,3.142,24%,67%,100,2018 Summer
EHRD 315,MARK C,3.052,21%,63%,700,2018 Summer
EHRD 371,BAILEY K,3.448,72%,14%,700,2018 Summer
EHRD 372,MUYIA M,3.416,58%,33%,700,2018 Summer
EHRD 374,MUYIA M,3.350,65%,10%,700,2018 Summer
EHRD 391,SANDLIN J,2.277,11%,28%,700,2018 Summer
EHRD 405,WORKMAN M,3.600,70%,27%,700,2018 Summer
EHRD 408,SANDLIN J,3.833,87%,10%,701,2018 Summer
EHRD 477,SMITH B,3.100,35%,50%,701,2018 Summer
EHRD 485,SANDLIN J,3.368,67%,22%,702,2018 Summer
EHRD 490,MUSOBA G,3.173,43%,39%,701,2018 Summer
EHRD 490,SANDLIN J,2.823,18%,59%,702,2018 Summer
EHRD 605,DOOLEY L,3.888,94%,0%,700,2018 Summer
EHRD 618,DIRANI K,4.000,100%,0%,700,2018 Summer
EHRD 622,WANG J,3.947,95%,5%,700,2018 Summer
EHRD 627,MUSOBA G,3.631,74%,21%,700,2018 Summer
EHRD 630,MUYIA M,4.000,100%,0%,700,2018 Summer
TCMG 308,WORKMAN M,3.821,86%,11%,700,2018 Summer
TCMG 402,MARK C,3.031,42%,35%,700,2018 Summer
BIED 614,JIMENEZ D,4.000,100%,0%,701,2018 Summer
BIED 632,JIMENEZ D,4.000,100%,0%,701,2018 Summer
CPSY 601,CASTILLO L,3.800,80%,20%,700,2018 Summer
CPSY 603,BLAKE J,3.894,89%,11%,700,2018 Summer
CPSY 630,CASTILLO L,3.968,97%,3%,700,2018 Summer
CPSY 676,FOURNIER C,4.000,100%,0%,100,2018 Summer
CPSY 683,RIDLEY C,4.000,100%,0%,300,2018 Summer
EDTC 613,SWEET K,3.913,91%,9%,700,2018 Summer
EDTC 631,QUIROZ R,3.782,78%,22%,700,2018 Summer
EPFB 210,MONTAGUE M,3.538,69%,15%,700,2018 Summer
EPSY 320,JUNTUNE J,3.583,83%,0%,700,2018 Summer
EPSY 320,JUNTUNE J,3.400,80%,7%,701,2018 Summer
EPSY 321,MARVEL A,3.800,90%,0%,700,2018 Summer
EPSY 431,RAMOS GARCIMARTIN H,3.743,85%,10%,700,2018 Summer
EPSY 435,IHORN S,3.142,46%,29%,700,2018 Summer
EPSY 435,RAMOS S,3.868,87%,13%,701,2018 Summer
EPSY 459,WOODWARD R,4.000,100%,0%,101,2018 Summer
EPSY 604,CASTILLO L,3.903,94%,3%,700,2018 Summer
EPSY 621,RICCIO C,4.000,100%,0%,199,2018 Summer
EPSY 621,RICCIO C,3.833,83%,17%,700,2018 Summer
EPSY 622,RAMOS S,4.000,100%,0%,700,2018 Summer
EPSY 635,IHORN S,2.888,56%,22%,700,2018 Summer
EPSY 644,COOK K,3.888,89%,11%,399,2018 Summer
EPSY 647,RIDLEY C,4.000,100%,0%,100,2018 Summer
EPSY 673,JUNTUNE J,4.000,100%,0%,700,2018 Summer
EPSY 679,MONTAGUE M,3.625,62%,38%,700,2018 Summer
EPSY 685,JUNTUNE J,4.000,100%,0%,700,2018 Summer
EPSY 685,JUNTUNE J,4.000,100%,0%,701,2018 Summer
EPSY 689,WALICHOWSKI M,4.000,100%,0%,701,2018 Summer
INST 210,SALLESE M,3.250,36%,57%,700,2018 Summer
INST 210,WHIRLEY M,2.818,18%,55%,701,2018 Summer
INST 210,MONTAGUE M,3.068,28%,59%,702,2018 Summer
INST 301,WOODWARD R,3.071,64%,14%,700,2018 Summer
INST 301,WOODWARD R,3.333,50%,33%,701,2018 Summer
SPED 601,FOURNIER C,3.689,69%,31%,700,2018 Summer
SPED 601,FOURNIER C,3.947,95%,5%,701,2018 Summer
SPED 609,DICKEY M,3.897,97%,0%,700,2018 Summer
SPED 628,FOURNIER C,4.000,100%,0%,700,2018 Summer
SPED 628,FOURNIER C,3.952,95%,5%,701,2018 Summer
SPED 642,VANNEST K,3.600,60%,40%,299,2018 Summer
SPED 642,VANNEST K,3.896,90%,10%,700,2018 Summer
SPSY 611,RICCIO C,4.000,100%,0%,100,2018 Summer
SPSY 644,RAE W,4.000,100%,0%,300,2018 Summer
ATTR 660,GREENWOOD L,3.500,50%,50%,201,2018 Summer
ATTR 661,GREENWOOD L,4.000,100%,0%,201,2018 Summer
DCED 202,ALVAREZ A,3.763,80%,16%,700,2018 Summer
DCED 202,BERGERON C,3.847,85%,15%,701,2018 Summer
DCED 202,POOLEY-DETWILER A,4.000,100%,0%,702,2018 Summer
DCED 202,ARMSTRONG C,3.881,95%,2%,703,2018 Summer
DCED 202,BERGERON C,3.965,97%,3%,704,2018 Summer
DCED 202,BERGERON C,3.964,96%,4%,705,2018 Summer
DCED 202,POOLEY-DETWILER A,3.950,95%,5%,706,2018 Summer
DCED 202,ARMSTRONG C,3.916,92%,8%,707,2018 Summer
DCED 202,BEDFORD D,3.910,91%,9%,708,2018 Summer
DCED 202,ALVAREZ A,3.410,70%,14%,709,2018 Summer
DCED 202,BEDFORD D,3.789,89%,5%,710,2018 Summer
HLTH 214,LIU J,2.750,25%,33%,701,2018 Summer
HLTH 216,VENABLE L,3.812,81%,19%,101,2018 Summer
HLTH 216,KNIFFIN D,3.250,42%,42%,103,2018 Summer
