course,prof,gpa,% of A,% of B,section_,semester
ARCH 249,CAFFEY S,3.931,93%,7%,100,2018 Summer
ARCH 249,CAFFEY S,3.482,67%,20%,700,2018 Summer
ARCH 250,CAFFEY S,3.862,86%,14%,200,2018 Summer
ARCH 250,CAMPAGNOL G,3.553,62%,34%,700,2018 Summer
ARCH 331,NICHOLS A,1.500,0%,10%,100,2018 Summer
ARCH 350,CAMPAGNOL G,3.069,49%,26%,700,2018 Summer
ARCH 406,AITANI K,3.777,78%,22%,300,2018 Summer
ARCH 603,BABE J,3.181,36%,45%,300,2018 Summer
ENDS 101,HILL R,3.837,93%,3%,200,2018 Summer
ENDS 101,BILLINGSLEY A,3.592,72%,22%,700,2018 Summer
ENDS 101,BILLINGSLEY A,3.500,60%,30%,701,2018 Summer
ENDS 105,ROGERS J,3.133,33%,47%,100,2018 Summer
ENDS 108,WU C,4.000,100%,0%,203,2018 Summer
ENDS 108,YOUSIF S,4.000,100%,0%,204,2018 Summer
ENDS 115,BORGES GONZALEZ A,3.466,53%,40%,100,2018 Summer
CARC 311,BARDENHAGEN E,4.000,100%,0%,150,2018 Summer
CARC 311,NDUBISI F,3.315,32%,68%,151,2018 Summer
CARC 311,HUANG C,3.923,92%,8%,250,2018 Summer
CARC 311,ROLDAN M,3.642,64%,36%,251,2018 Summer
CARC 311,ABBOTT E,3.842,84%,16%,252,2018 Summer
CARC 331,ERMINY M,3.866,87%,13%,150,2018 Summer
CARC 331,ROLDAN M,3.571,64%,29%,250,2018 Summer
CARC 331,HUANG C,3.769,77%,23%,251,2018 Summer
CARC 331,ABBOTT E,3.105,16%,79%,252,2018 Summer
CARC 485,NDUBISI F,3.315,32%,68%,151,2018 Summer
CARC 485,BARDENHAGEN E,4.000,100%,0%,152,2018 Summer
CARC 485,FEIGENBAUM L,4.000,100%,0%,300,2018 Summer
COSC 275,PALMER R,3.636,64%,36%,100,2018 Summer
COSC 301,WILLIAMSON K,2.833,12%,62%,198,2018 Summer
COSC 353,MARRARO A,2.400,3%,37%,100,2018 Summer
COSC 364,MCGOWAN A,3.684,68%,32%,100,2018 Summer
COSC 375,JORDAN M,3.115,19%,73%,200,2018 Summer
COSC 381,EUSTACE G,3.000,31%,38%,100,2018 Summer
COSC 421,OSTADALIMAKHMALBAF,3.300,35%,60%,100,2018 Summer
COSC 441,ASHBURN B,3.680,68%,32%,200,2018 Summer
COSC 442,FERNANDEZ-SOLIS J,3.571,57%,43%,930,2018 Summer
COSC 442,FERNANDEZ-SOLIS J,3.857,86%,14%,931,2018 Summer
COSC 461,DU J,4.000,100%,0%,200,2018 Summer
COSC 463,GRISHAM R,3.480,48%,52%,900,2018 Summer
COSC 463,RODGERS W,4.000,100%,0%,950,2018 Summer
COSC 464,MCGOWAN A,3.272,36%,58%,100,2018 Summer
COSC 465,GRISHAM R,3.250,46%,33%,200,2018 Summer
COSC 474,LAVY S,3.800,87%,7%,300,2018 Summer
COSC 475,BOLDT G,2.850,20%,50%,100,2018 Summer
COSC 475,BOLDT G,2.772,14%,59%,200,2018 Summer
COSC 477,FICKEL L,2.940,34%,36%,100,2018 Summer
COSC 485,RODGERS W,4.000,100%,0%,150,2018 Summer
LAND 240,NEWMAN G,3.659,73%,23%,700,2018 Summer
LAND 630,NEWMAN G,4.000,100%,0%,700,2018 Summer
PLAN 612,WEI L,4.000,100%,0%,700,2018 Summer
PLAN 625,WUNNEBURGER D,3.636,73%,18%,701,2018 Summer
URPN 201,COWELL R,3.450,70%,15%,700,2018 Summer
URPN 201,COWELL R,3.680,80%,8%,701,2018 Summer
URPN 202,MARTIN J,3.300,45%,40%,700,2018 Summer
URPN 325,WUNNEBURGER D,2.470,35%,24%,701,2018 Summer
URPN 361,TRAN T,3.652,74%,22%,700,2018 Summer
URPN 370,NEWTON K,3.777,85%,10%,700,2018 Summer
ARTS 103,GALANTER P,3.555,56%,44%,100,2018 Summer
ARTS 104,HONEYCUTT A,3.300,60%,30%,100,2018 Summer
ARTS 111,REID R,4.000,100%,0%,100,2018 Summer
ARTS 149,SUTHERLAND S,3.634,78%,13%,700,2018 Summer
ARTS 149,SUTHERLAND S,3.650,75%,18%,701,2018 Summer
ARTS 150,CAMPANA L,3.654,73%,24%,700,2018 Summer
ARTS 150,CAMPANA L,3.500,61%,31%,701,2018 Summer
ARTS 305,KOUSTOV D,3.444,44%,56%,100,2018 Summer
ARTS 330,STOENESCU L,3.216,65%,14%,700,2018 Summer
ARTS 349,CAFFEY S,3.461,78%,2%,700,2018 Summer
ARTS 489,REID R,4.000,100%,0%,700,2018 Summer
VIST 205,SEO J,3.100,35%,45%,300,2018 Summer
VIST 205,SMITH B,2.941,24%,53%,302,2018 Summer
VIST 270,RINGHAM M,2.531,9%,53%,300,2018 Summer
VIST 284,BOLOGAN A,3.222,44%,39%,700,2018 Summer
VIST 284,BOLOGAN A,3.421,58%,37%,701,2018 Summer
VIST 305,BOLOGAN A,3.875,88%,12%,300,2018 Summer
VIST 405,BOLOGAN A,4.000,100%,0%,300,2018 Summer
VIZA 627,DAVISON R,4.000,100%,0%,100,2018 Summer
VIZA 627,DAVISON R,3.823,88%,6%,200,2018 Summer
