course,prof,gpa,% of A,% of B,section_,semester
ACCT 209,STASNY M,2.976,32%,38%,501,2017 Fall
ACCT 209,STASNY M,2.951,31%,36%,502,2017 Fall
ACCT 209,STASNY M,2.333,0%,33%,503,2017 Fall
ACCT 209,STASNY M,2.826,30%,22%,504,2017 Fall
ACCT 210,STRAWSER R,2.738,38%,19%,501,2017 Fall
ACCT 210,STRAWSER R,2.636,33%,24%,502,2017 Fall
ACCT 229,BENJAMIN J,3.653,65%,35%,201,2017 Fall
ACCT 229,STRAWSER J,3.450,60%,30%,202,2017 Fall
ACCT 229,BARRETT J,2.583,22%,36%,501,2017 Fall
ACCT 229,BARRETT J,2.538,18%,31%,502,2017 Fall
ACCT 229,BARRETT J,2.666,26%,31%,503,2017 Fall
ACCT 229,KNOOP J,2.794,29%,34%,504,2017 Fall
ACCT 229,FARMER K,2.393,20%,33%,505,2017 Fall
ACCT 229,CLARKE M,2.444,22%,29%,506,2017 Fall
ACCT 229,GRADY M,2.589,28%,23%,507,2017 Fall
ACCT 229,HEAD M,2.256,10%,31%,508,2017 Fall
ACCT 229,HEAD M,2.531,23%,32%,509,2017 Fall
ACCT 229,HEAD M,2.388,15%,30%,510,2017 Fall
ACCT 229,XU N,2.625,33%,25%,511,2017 Fall
ACCT 230,MCGOWAN A,3.391,52%,35%,200,2017 Fall
ACCT 230,MCGOWAN A,3.117,29%,53%,201,2017 Fall
ACCT 230,ALLEN N,2.798,26%,43%,500,2017 Fall
ACCT 230,ALLEN N,2.834,28%,37%,502,2017 Fall
ACCT 327,BLASOR T,2.685,20%,40%,501,2017 Fall
ACCT 327,BLASOR T,2.885,23%,51%,502,2017 Fall
ACCT 327,BLASOR T,2.783,19%,46%,503,2017 Fall
ACCT 327,LARKIN R,2.875,28%,41%,504,2017 Fall
ACCT 327,LARKIN R,3.088,38%,32%,505,2017 Fall
ACCT 327,LARKIN R,2.848,18%,55%,506,2017 Fall
ACCT 327,LARKIN R,2.451,13%,29%,507,2017 Fall
ACCT 327,KOLASINSKI A,2.935,32%,39%,508,2017 Fall
ACCT 327,SHARP N,2.769,26%,36%,509,2017 Fall
ACCT 327,SHARP N,2.861,19%,50%,510,2017 Fall
ACCT 327,CLINE K,2.964,29%,46%,511,2017 Fall
ACCT 327,CLINE K,2.692,18%,49%,512,2017 Fall
ACCT 327,KOLASINSKI A,3.035,14%,75%,516,2017 Fall
ACCT 328,RHODES A,3.128,26%,62%,501,2017 Fall
ACCT 328,RHODES A,2.947,32%,37%,502,2017 Fall
ACCT 328,RHODES A,2.657,24%,32%,503,2017 Fall
ACCT 328,GROSSMAN S,2.705,41%,12%,504,2017 Fall
ACCT 328,GROSSMAN S,3.166,44%,36%,505,2017 Fall
