course,prof,gpa,% of A,% of B,section_,semester
AERO 201,SHRYOCK K,3.642,71%,21%,200,2017 Fall
AERO 201,SHRYOCK K,3.500,50%,50%,201,2017 Fall
AERO 201,SHRYOCK K,3.000,13%,74%,500,2017 Fall
AERO 201,SHRYOCK K,3.040,20%,64%,501,2017 Fall
AERO 201,STRGANAC T,3.153,38%,42%,502,2017 Fall
AERO 210,VADALI S,1.511,5%,5%,500,2017 Fall
AERO 212,KARPETIS A,3.875,88%,12%,234,2017 Fall
AERO 212,HARA K,2.792,23%,43%,500,2017 Fall
AERO 212,KARPETIS A,2.958,25%,48%,501,2017 Fall
AERO 212,HARA K,2.600,25%,35%,502,2017 Fall
AERO 214,NARAGHI M,2.274,12%,35%,500,2017 Fall
AERO 220,MORTARI D,3.230,54%,23%,500,2017 Fall
AERO 220,MORTARI D,2.590,23%,36%,501,2017 Fall
AERO 289,STRGANAC T,3.428,71%,0%,500,2017 Fall
AERO 301,DONZIS D,3.333,40%,53%,200,2017 Fall
AERO 301,DONZIS D,2.921,20%,61%,500,2017 Fall
AERO 301,LIMBACH C,2.732,12%,55%,501,2017 Fall
AERO 302,TICHENOR N,3.904,90%,10%,901,2017 Fall
AERO 302,TICHENOR N,3.900,90%,10%,902,2017 Fall
AERO 302,TICHENOR N,3.952,95%,5%,903,2017 Fall
AERO 302,TICHENOR N,3.904,90%,10%,904,2017 Fall
AERO 302,TICHENOR N,3.800,80%,20%,905,2017 Fall
AERO 303,POLUDNENKO O,3.000,60%,20%,200,2017 Fall
AERO 303,POLUDNENKO O,2.983,25%,52%,500,2017 Fall
AERO 304,KINRA V,3.666,67%,33%,200,2017 Fall
AERO 304,KINRA V,2.962,33%,39%,500,2017 Fall
AERO 304,TALREJA R,3.100,36%,38%,501,2017 Fall
AERO 306,WHITCOMB J,2.243,15%,22%,500,2017 Fall
AERO 306,STROUBOULIS T,2.703,30%,11%,501,2017 Fall
AERO 310,CHAKRAVORTY S,2.700,13%,50%,500,2017 Fall
AERO 310,BHATTACHARYA R,3.161,40%,40%,501,2017 Fall
AERO 321,VADALI S,2.473,8%,39%,500,2017 Fall
AERO 321,SAHA D,2.935,23%,48%,501,2017 Fall
AERO 351,CIZMAS P,1.520,3%,11%,500,2017 Fall
AERO 401,LUTZ W,3.791,79%,21%,501,2017 Fall
AERO 401,POLLOCK T,3.933,93%,7%,502,2017 Fall
AERO 402,ELMENDORF H,4.000,100%,0%,501,2017 Fall
AERO 402,CHAMITOFF G,4.000,100%,0%,503,2017 Fall
AERO 405,HARTL D,3.600,68%,24%,500,2017 Fall
AERO 413,LE GRAVEREND J,2.773,11%,60%,501,2017 Fall
AERO 419,KARPETIS A,3.516,58%,35%,500,2017 Fall
AERO 422,CHAMITOFF G,3.442,61%,26%,500,2017 Fall
AERO 423,MORTARI D,3.625,62%,38%,200,2017 Fall
AERO 423,MORTARI D,3.135,36%,48%,500,2017 Fall
AERO 428,MAJJI M,4.000,100%,0%,500,2017 Fall
AERO 430,STROUBOULIS T,3.982,98%,2%,500,2017 Fall
AERO 452,REED H,3.065,38%,34%,500,2017 Fall
AERO 472,WHITE E,3.850,90%,5%,500,2017 Fall
AERO 489,COLEMAN D,3.181,27%,64%,500,2017 Fall
AERO 489,CIZMAS P,3.333,33%,67%,501,2017 Fall
AERO 601,WHITE E,3.937,94%,6%,600,2017 Fall
AERO 603,BOYD J,3.405,57%,27%,600,2017 Fall
AERO 615,CIZMAS P,3.684,68%,32%,600,2017 Fall
AERO 617,LAGOUDAS D,3.888,89%,11%,600,2017 Fall
AERO 622,HURTADO J,3.568,66%,25%,600,2017 Fall
AERO 626,CHAKRAVORTY S,3.923,92%,8%,600,2017 Fall
AERO 632,BHATTACHARYA R,3.933,93%,7%,600,2017 Fall
AERO 689,HARTL D,3.800,80%,20%,600,2017 Fall
MEMA 646,WHITCOMB J,3.000,20%,60%,600,2017 Fall
BMEN 101,GIBBS H,3.933,93%,7%,200,2017 Fall
BMEN 101,GIBBS H,3.933,93%,7%,201,2017 Fall
BMEN 101,GIBBS H,3.777,81%,16%,500,2017 Fall
BMEN 101,GIBBS H,3.939,94%,6%,501,2017 Fall
BMEN 207,APPLEGATE B,3.615,77%,15%,200,2017 Fall
BMEN 207,APPLEGATE B,3.470,65%,18%,201,2017 Fall
BMEN 207,APPLEGATE B,3.200,38%,45%,500,2017 Fall
BMEN 207,APPLEGATE B,3.267,54%,25%,501,2017 Fall
BMEN 305,OBER R,3.611,67%,28%,501,2017 Fall
BMEN 305,OBER R,3.764,76%,24%,502,2017 Fall
BMEN 305,OBER R,3.444,50%,44%,503,2017 Fall
BMEN 305,OBER R,3.888,89%,11%,504,2017 Fall
