course,prof,gpa,% of A,% of B,section_,semester
ARCH 205,ESQUIVEL J,4.000,100%,0%,901,2017 Fall
ARCH 205,ABBOTT E,3.600,60%,40%,902,2017 Fall
ARCH 205,HUNTER C,3.444,50%,44%,903,2017 Fall
ARCH 205,CLAYTON M,3.611,61%,39%,904,2017 Fall
ARCH 205,FAULKNER M,3.294,47%,35%,905,2017 Fall
ARCH 205,HAWKINS A,3.722,83%,11%,906,2017 Fall
ARCH 212,QIU L,3.225,40%,44%,500,2017 Fall
ARCH 216,KIM H,3.700,70%,30%,500,2017 Fall
ARCH 216,KIM H,3.777,78%,22%,501,2017 Fall
ARCH 246,GEVA A,3.736,74%,26%,500,2017 Fall
ARCH 249,CAFFEY S,4.000,100%,0%,200,2017 Fall
ARCH 249,GLOWACKI K,3.300,50%,30%,201,2017 Fall
ARCH 249,CAFFEY S,3.600,70%,20%,501,2017 Fall
ARCH 249,CAFFEY S,3.778,81%,17%,502,2017 Fall
ARCH 249,GLOWACKI K,3.137,45%,31%,503,2017 Fall
ARCH 249,GLOWACKI K,2.947,33%,41%,504,2017 Fall
ARCH 249,CAFFEY S,3.364,62%,19%,700,2017 Fall
ARCH 250,KLEIN N,3.800,80%,20%,200,2017 Fall
ARCH 250,STEWART Z,3.333,67%,11%,201,2017 Fall
ARCH 250,KLEIN N,2.964,32%,36%,501,2017 Fall
ARCH 250,KLEIN N,3.391,52%,37%,502,2017 Fall
ARCH 250,STEWART Z,2.842,37%,21%,503,2017 Fall
ARCH 250,STEWART Z,2.880,33%,33%,504,2017 Fall
ARCH 250,KLEIN N,3.176,47%,35%,505,2017 Fall
ARCH 250,CAMPAGNOL G,3.705,74%,24%,700,2017 Fall
ARCH 250,CAMPAGNOL G,3.647,72%,21%,701,2017 Fall
ARCH 305,VAHDAT ZAD V,3.642,71%,21%,931,2017 Fall
ARCH 305,CATAO CARTAXO,3.625,75%,19%,932,2017 Fall
ARCH 305,MAFFEI G,2.642,7%,50%,933,2017 Fall
ARCH 330,OBRIEN M,3.750,75%,25%,200,2017 Fall
ARCH 330,OBRIEN M,3.720,77%,18%,500,2017 Fall
ARCH 335,HABERL J,2.500,17%,35%,500,2017 Fall
ARCH 350,CAMPAGNOL G,3.320,49%,37%,500,2017 Fall
ARCH 353,ESQUIVEL J,3.827,83%,17%,500,2017 Fall
ARCH 360,OBRIEN M,3.555,67%,22%,500,2017 Fall
ARCH 405,OBRIEN M,4.000,100%,0%,201,2017 Fall
ARCH 405,MANN G,4.000,100%,0%,500,2017 Fall
ARCH 405,ERMINY M,3.166,33%,61%,501,2017 Fall
ARCH 405,AITANI K,3.687,69%,31%,502,2017 Fall
ARCH 405,BABE J,3.625,62%,38%,503,2017 Fall
ARCH 421,CULP C,4.000,100%,0%,500,2017 Fall
ARCH 431,HOLLIDAY S,4.000,100%,0%,201,2017 Fall
ARCH 431,HOLLIDAY S,4.000,100%,0%,500,2017 Fall
ARCH 431,HOLLIDAY S,3.764,94%,0%,501,2017 Fall
ARCH 431,HOLLIDAY S,4.000,100%,0%,502,2017 Fall
ARCH 431,HOLLIDAY S,4.000,100%,0%,503,2017 Fall
ARCH 434,KLEIN N,3.150,50%,30%,500,2017 Fall
ARCH 435,CULP C,4.000,100%,0%,201,2017 Fall
ARCH 435,BALTAZAR CERVANTES,4.000,100%,0%,500,2017 Fall
ARCH 435,BALTAZAR CERVANTES,3.666,83%,11%,501,2017 Fall
ARCH 435,BELTRAN L,3.625,62%,38%,502,2017 Fall
ARCH 435,BELTRAN L,3.500,50%,50%,503,2017 Fall
ARCH 441,CAFFEY S,3.730,73%,27%,500,2017 Fall
ARCH 458,HILL R,3.738,77%,20%,500,2017 Fall
ARCH 485,ABBOTT E,3.888,89%,11%,551,2017 Fall
ARCH 494,ABBOTT E,4.000,100%,0%,570,2017 Fall
ARCH 601,BORGES GONZALEZ A,3.416,58%,33%,600,2017 Fall
ARCH 605,ERMINY M,3.444,44%,56%,601,2017 Fall
ARCH 605,ALI A,2.909,27%,45%,602,2017 Fall
ARCH 605,BABE J,3.818,82%,18%,603,2017 Fall
ARCH 605,LU Z,3.555,56%,44%,604,2017 Fall
ARCH 607,PENTECOST A,3.578,58%,42%,600,2017 Fall
ARCH 607,HOLLIDAY R,3.000,55%,18%,601,2017 Fall
ARCH 607,HALIBURTON J,3.700,70%,30%,602,2017 Fall
ARCH 607,GIBBS B,3.300,30%,70%,603,2017 Fall
ARCH 610,BORGES GONZALEZ A,3.583,58%,42%,600,2017 Fall
ARCH 612,HOLLIDAY S,4.000,100%,0%,600,2017 Fall
ARCH 621,HABERL J,4.000,100%,0%,600,2017 Fall
ARCH 628,BELTRAN L,3.857,86%,14%,600,2017 Fall
ARCH 631,NICHOLS A,3.023,21%,62%,600,2017 Fall
ARCH 633,BALTAZAR CERVANTES,3.307,54%,38%,600,2017 Fall
ARCH 638,CAMPAGNOL G,3.555,56%,44%,600,2017 Fall
ARCH 644,FORTENBERRY B,4.000,100%,0%,601,2017 Fall
ARCH 644,GLOWACKI K,4.000,100%,0%,602,2017 Fall
ARCH 648,JAIN P,4.000,100%,0%,600,2017 Fall
ARCH 649,GEVA A,3.833,83%,17%,600,2017 Fall
ARCH 653,YAN W,3.882,88%,12%,600,2017 Fall
ARCH 655,YAN W,3.888,89%,11%,600,2017 Fall
ARCH 657,MIRANDA V,3.521,57%,39%,600,2017 Fall
ARCH 660,LU Z,4.000,100%,0%,600,2017 Fall
ARCH 664,AITANI K,4.000,100%,0%,600,2017 Fall
ARCH 669,MIRANDA V,4.000,100%,0%,600,2017 Fall
ARCH 674,HAMILTON D,3.800,80%,20%,600,2017 Fall
ARCH 675,ZHU X,3.800,80%,20%,600,2017 Fall
ARCH 678,HAMILTON D,3.583,58%,42%,600,2017 Fall
ARCH 689,WARDEN R,4.000,100%,0%,602,2017 Fall
ENDS 101,HILL R,4.000,100%,0%,201,2017 Fall
ENDS 101,HILL R,4.000,100%,0%,202,2017 Fall
ENDS 101,HILL R,4.000,100%,0%,203,2017 Fall
ENDS 101,HILL R,4.000,100%,0%,204,2017 Fall
ENDS 101,HILL R,4.000,100%,0%,205,2017 Fall
ENDS 101,HILL R,4.000,100%,0%,206,2017 Fall
ENDS 101,HILL R,4.000,100%,0%,207,2017 Fall
ENDS 101,VANEGAS J,3.074,31%,52%,501,2017 Fall
ENDS 101,VANEGAS J,3.052,26%,54%,502,2017 Fall
ENDS 101,VANEGAS J,3.142,37%,48%,503,2017 Fall
