course,prof,gpa,% of A,% of B,section_,semester
BIMS 101,TIAN Y,3.960,97%,2%,501,2017 Fall
BIMS 101,TIAN Y,4.000,100%,0%,502,2017 Fall
BIMS 101,IVANOV I,3.784,86%,9%,503,2017 Fall
BIMS 101,IVANOV I,3.821,91%,5%,504,2017 Fall
BIMS 110,YOUNG C,3.616,73%,19%,501,2017 Fall
BIMS 110,YOUNG C,3.673,76%,19%,502,2017 Fall
BIMS 289,YOUNG C,3.707,80%,15%,501,2017 Fall
BIMS 289,YOUNG C,3.854,87%,11%,502,2017 Fall
BIMS 320,RAUDSEPP T,3.933,93%,7%,201,2017 Fall
BIMS 320,SAMOLLOW P,3.080,44%,27%,501,2017 Fall
BIMS 320,DINDOT S,3.719,76%,22%,502,2017 Fall
BIMS 320,KATJU V,2.855,36%,34%,503,2017 Fall
BIMS 320,DERR J,4.000,100%,0%,550,2017 Fall
BIMS 405,DERR J,3.700,75%,20%,500,2017 Fall
BIMS 421,VENKATRAJ V,4.000,100%,0%,500,2017 Fall
BIMS 485,CROUCH E,3.880,89%,11%,500,2017 Fall
VMID 689,BURGHARDT R,4.000,100%,0%,600,2017 Fall
VIBS 243,JOHNSON L,3.534,65%,28%,500,2017 Fall
VIBS 243,JOHNSON L,3.540,58%,38%,501,2017 Fall
VIBS 243,JOHNSON L,3.519,60%,37%,502,2017 Fall
VIBS 243,JOHNSON L,3.608,63%,35%,503,2017 Fall
VIBS 285,JOHNSON L,4.000,100%,0%,515,2017 Fall
VIBS 305,PINE M,3.268,47%,37%,501,2017 Fall
VIBS 305,RUOFF L,2.444,14%,41%,502,2017 Fall
VIBS 305,PINE M,3.217,43%,37%,503,2017 Fall
VIBS 343,JOHNSON G,3.473,50%,47%,500,2017 Fall
VIBS 401,ABBOTT L,3.904,90%,10%,500,2017 Fall
VIBS 407,KLEMM W,3.783,89%,4%,599,2017 Fall
VIBS 408,KLEMM W,3.684,68%,32%,900,2017 Fall
VIBS 424,AROSH J,4.000,100%,0%,204,2017 Fall
VIBS 485,JOHNSON G,4.000,100%,0%,512,2017 Fall
VIBS 485,PINE M,4.000,100%,0%,546,2017 Fall
VIBS 602,JOHNSON G,3.535,57%,39%,601,2017 Fall
VIBS 604,AROSH J,3.944,94%,6%,604,2017 Fall
VIBS 608,NORMAN K,3.625,62%,38%,600,2017 Fall
VIBS 612,ABBOTT L,3.972,97%,3%,601,2017 Fall
VIBS 617,LI Q,4.000,100%,0%,604,2017 Fall
VIBS 617,BURGHARDT R,3.800,80%,20%,605,2017 Fall
VIBS 641,CHIU W,3.500,50%,50%,600,2017 Fall
VIBS 650,RIJNKELS M,3.978,98%,2%,601,2017 Fall
VIBS 657,GASTEL B,4.000,100%,0%,600,2017 Fall
VIBS 660,GASTEL B,4.000,100%,0%,600,2017 Fall
VIBS 689,GADDY D,4.000,100%,0%,600,2017 Fall
VTPP 223,DONGAONKAR R,3.920,92%,8%,501,2017 Fall
VTPP 223,DONGAONKAR R,3.750,85%,10%,502,2017 Fall
VTPP 234,QUICK C,3.666,88%,4%,501,2017 Fall
VTPP 234,QUICK C,3.947,95%,5%,502,2017 Fall
