course,prof,gpa,% of A,% of B,section_,semester
ACCT 209,CLARKE M,2.883,30%,35%,501,2020 Spring
ACCT 209,CLARKE M,2.829,27%,37%,502,2020 Spring
ACCT 209,CLARKE M,2.500,33%,17%,503,2020 Spring
ACCT 209,CLARKE M,2.200,0%,20%,504,2020 Spring
ACCT 210,STRAWSER R,2.780,25%,44%,501,2020 Spring
ACCT 229,KNOOP J,3.391,52%,35%,200,2020 Spring
ACCT 229,KNOOP J,3.272,45%,36%,201,2020 Spring
ACCT 229,KNOOP J,3.791,83%,12%,202,2020 Spring
ACCT 229,BARRETT J,3.000,30%,45%,501,2020 Spring
ACCT 229,BARRETT J,2.925,40%,25%,502,2020 Spring
ACCT 229,BARRETT J,2.744,36%,17%,503,2020 Spring
ACCT 229,HEAD M,2.638,22%,36%,504,2020 Spring
ACCT 229,KNOOP J,3.469,63%,24%,505,2020 Spring
ACCT 229,ARNOSKY C,3.054,35%,38%,506,2020 Spring
ACCT 229,ARNOSKY C,2.895,35%,33%,507,2020 Spring
ACCT 229,ARNOSKY C,2.840,32%,34%,508,2020 Spring
ACCT 229,ARNOSKY C,2.750,31%,29%,509,2020 Spring
ACCT 229,WEAVER A,2.837,33%,33%,510,2020 Spring
ACCT 229,WEAVER A,3.000,39%,29%,511,2020 Spring
ACCT 229,KOLASINSKI A,2.920,38%,32%,513,2020 Spring
ACCT 230,ALLEN N,3.814,81%,19%,201,2020 Spring
ACCT 230,ALLEN N,3.122,38%,38%,501,2020 Spring
ACCT 230,ALLEN N,3.132,36%,43%,502,2020 Spring
ACCT 321,MCELROY T,4.000,100%,0%,500,2020 Spring
ACCT 322,WILLIAMS M,3.825,89%,6%,500,2020 Spring
ACCT 327,STUBER S,2.939,21%,52%,500,2020 Spring
ACCT 327,STUBER S,2.729,11%,51%,501,2020 Spring
ACCT 327,STUBER S,2.894,18%,53%,502,2020 Spring
ACCT 327,LOUDDER M,2.971,26%,49%,503,2020 Spring
ACCT 327,LOUDDER M,3.166,40%,43%,504,2020 Spring
ACCT 327,LARKIN R,2.838,26%,35%,505,2020 Spring
ACCT 327,LARKIN R,2.973,29%,45%,506,2020 Spring
ACCT 327,LARKIN R,2.900,30%,32%,507,2020 Spring
ACCT 327,LARKIN R,2.805,19%,44%,508,2020 Spring
ACCT 328,WANG D,3.309,43%,45%,501,2020 Spring
ACCT 328,WANG D,3.212,33%,55%,502,2020 Spring
ACCT 328,GROSSMAN S,3.083,21%,67%,504,2020 Spring
ACCT 328,GROSSMAN S,3.358,49%,38%,505,2020 Spring
ACCT 328,GROSSMAN S,3.452,55%,40%,506,2020 Spring
ACCT 328,HARDING M,3.297,41%,49%,507,2020 Spring
ACCT 328,HARDING M,3.236,37%,50%,508,2020 Spring
ACCT 328,HARDING M,3.432,57%,30%,510,2020 Spring
ACCT 329,FARMER K,3.601,73%,17%,501,2020 Spring
ACCT 405,MCELROY T,3.593,72%,19%,501,2020 Spring
ACCT 405,MCGUIRE S,3.285,43%,46%,502,2020 Spring
ACCT 405,MCGUIRE S,2.911,21%,56%,503,2020 Spring
ACCT 405,MCGUIRE S,3.096,29%,52%,504,2020 Spring
ACCT 405,LASSILA D,3.068,24%,62%,505,2020 Spring
ACCT 405,LASSILA D,3.250,34%,56%,506,2020 Spring
ACCT 407,DIAZ M,3.181,41%,36%,901,2020 Spring
ACCT 407,FLAGG J,2.695,13%,43%,902,2020 Spring
ACCT 410,HEAD M,3.739,74%,26%,500,2020 Spring
ACCT 421,FOSTER C,3.941,94%,6%,931,2020 Spring
ACCT 421,FOSTER C,4.000,100%,0%,932,2020 Spring
ACCT 421,FOSTER C,3.981,98%,2%,933,2020 Spring
ACCT 427,BLASOR T,3.473,50%,47%,501,2020 Spring
ACCT 427,BLASOR T,3.428,45%,52%,502,2020 Spring
ACCT 427,BLASOR T,3.400,52%,40%,503,2020 Spring
ACCT 427,DIAZ M,3.542,63%,29%,504,2020 Spring
ACCT 427,DIAZ M,3.361,58%,19%,505,2020 Spring
ACCT 445,CLINE K,3.947,95%,5%,501,2020 Spring
ACCT 445,CLINE K,3.904,92%,7%,502,2020 Spring
ACCT 447,REDMAN K,2.800,20%,40%,501,2020 Spring
ACCT 447,REDMAN K,3.000,50%,25%,502,2020 Spring
ACCT 607,FLAGG J,3.846,85%,15%,600,2020 Spring
ACCT 615,MCELROY T,4.000,100%,0%,600,2020 Spring
ACCT 620,COHEN D,3.793,79%,21%,601,2020 Spring
ACCT 620,COHEN D,3.833,83%,17%,602,2020 Spring
ACCT 640,FOSTER C,3.407,53%,36%,699,2020 Spring
ACCT 640,FOSTER C,3.294,41%,47%,700,2020 Spring
ACCT 644,SANDERS J,3.810,81%,19%,601,2020 Spring
ACCT 644,SANDERS J,3.861,86%,14%,602,2020 Spring
ACCT 646,CLINE K,3.985,99%,1%,601,2020 Spring
ACCT 646,CLINE K,3.985,99%,1%,602,2020 Spring
ACCT 647,REDMAN K,3.500,59%,33%,600,2020 Spring
ACCT 647,GREEN J,3.700,70%,30%,601,2020 Spring
ACCT 647,GREEN J,3.545,55%,45%,602,2020 Spring
ACCT 647,GREEN J,3.200,30%,60%,603,2020 Spring
ACCT 647,KARTAPANIS A,3.545,55%,45%,604,2020 Spring
ACCT 647,KARTAPANIS A,3.166,17%,83%,605,2020 Spring
ACCT 647,KARTAPANIS A,3.600,60%,40%,606,2020 Spring
ACCT 650,SHAUB M,3.960,96%,4%,601,2020 Spring
ACCT 650,HEAD M,4.000,100%,0%,602,2020 Spring
ACCT 671,MCANALLY M,4.000,100%,0%,652,2020 Spring
ACCT 680,ROBINSON J,3.540,57%,41%,601,2020 Spring
ACCT 680,ROBINSON J,3.365,37%,63%,602,2020 Spring
ACCT 685,BENJAMIN J,4.000,100%,0%,600,2020 Spring
ACCT 688,TSE S,3.833,83%,17%,601,2020 Spring
BUAD 620,KRAJICEK J,4.000,100%,0%,601,2020 Spring
BUAD 620,KRAJICEK J,4.000,100%,0%,602,2020 Spring
BUAD 620,KRAJICEK J,3.923,92%,8%,661,2020 Spring
BUAD 679,HALE T,3.689,90%,3%,650,2020 Spring
BUAD 679,HALE T,3.307,77%,8%,651,2020 Spring
BUAD 679,ALEXANDER M,4.000,100%,0%,661,2020 Spring
BUAD 679,HALE T,3.916,92%,8%,700,2020 Spring
BUAD 679,HALE T,4.000,100%,0%,701,2020 Spring
BUAD 689,HARTMANN M,3.615,85%,8%,600,2020 Spring
BUAD 689,SEN A,3.931,93%,7%,601,2020 Spring
BUAD 689,GREEN J,3.785,79%,21%,602,2020 Spring
BUAD 689,HARTMANN M,3.954,95%,5%,700,2020 Spring
BUAD 689,SEN A,3.958,96%,4%,701,2020 Spring
BUAD 689,GREEN J,4.000,100%,0%,702,2020 Spring
BUAD 693,CHAMBERS B,4.000,100%,0%,652,2020 Spring
BUAD 693,MARCANTONIO J,3.978,98%,2%,661,2020 Spring
BUAD 710,FARMER K,3.953,95%,5%,600,2020 Spring
BUAD 715,PANINA D,3.813,81%,19%,600,2020 Spring
BUSN 225,VAN ALSTYNE J,4.000,100%,0%,971,2020 Spring
BUSN 225,VAN ALSTYNE J,4.000,100%,0%,972,2020 Spring
BUSN 232,GAMMENTHALER K,3.888,89%,11%,500,2020 Spring
BUSN 302,GAMMENTHALER K,3.950,95%,5%,501,2020 Spring
BUSN 401,VAN ALSTYNE J,4.000,100%,0%,500,2020 Spring
BUSN 403,JOHNSON R,4.000,100%,0%,902,2020 Spring
BUSN 403,HUTCHINS N,4.000,100%,0%,903,2020 Spring
BUSN 403,JOHNSON R,4.000,100%,0%,905,2020 Spring
BUSN 403,HUTCHINS N,3.818,82%,18%,906,2020 Spring
BUSN 403,LENZEN B,4.000,100%,0%,907,2020 Spring
BUSN 403,LENZEN B,4.000,100%,0%,908,2020 Spring
BUSN 432,GAMMENTHALER K,4.000,100%,0%,500,2020 Spring
BUSN 432,GAMMENTHALER K,4.000,100%,0%,501,2020 Spring
BUSN 481,CLINE K,4.000,100%,0%,501,2020 Spring
