course,prof,gpa,% of A,% of B,section_,semester
AGCJ 105,ROBERTS L,3.700,80%,10%,500,2020 Spring
AGCJ 105,ROBERTS L,3.675,84%,5%,501,2020 Spring
AGCJ 281,NORRIS S,3.956,96%,4%,500,2020 Spring
AGCJ 306,WALTHER D,3.746,76%,23%,599,2020 Spring
AGCJ 306,WALTHER D,3.733,80%,13%,700,2020 Spring
AGCJ 307,WAGNER S,3.500,69%,12%,501,2020 Spring
AGCJ 307,TOPP K,3.051,49%,26%,700,2020 Spring
AGCJ 312,DUNSFORD D,3.339,55%,32%,501,2020 Spring
AGCJ 313,MCGRATH P,3.476,52%,43%,901,2020 Spring
AGCJ 313,MCGRATH P,3.727,77%,18%,902,2020 Spring
AGCJ 314,REDWINE T,3.761,81%,14%,901,2020 Spring
AGCJ 314,REDWINE T,3.750,79%,18%,902,2020 Spring
AGCJ 405,REDWINE T,3.916,96%,0%,501,2020 Spring
AGCJ 407,MISZTAL M,3.807,85%,12%,599,2020 Spring
AGCJ 408,WEGENER R,3.222,44%,33%,700,2020 Spring
AGCJ 409,ZENT R,4.000,100%,0%,500,2020 Spring
AGCJ 411,WINGENBACH G,3.055,28%,50%,500,2020 Spring
AGCJ 481,WALTHER D,3.923,96%,0%,500,2020 Spring
AGCJ 489,WALTHER D,3.947,95%,5%,501,2020 Spring
AGCJ 494,DUNSFORD D,4.000,100%,0%,515,2020 Spring
AGCJ 494,DUNSFORD D,3.520,81%,10%,566,2020 Spring
AGSC 302,MCCUBBINS A,3.750,81%,12%,900,2020 Spring
AGSC 373,HANCOCK J,3.666,75%,17%,500,2020 Spring
AGSC 383,HANCOCK J,3.636,64%,36%,501,2020 Spring
AGSC 402,MOORE L,3.500,50%,50%,900,2020 Spring
AGSC 405,MURPHY T,3.750,75%,25%,500,2020 Spring
AGSC 425,MURPHY T,3.920,92%,8%,502,2020 Spring
AGSC 436,MURPHY T,3.833,88%,8%,500,2020 Spring
AGSC 481,MURPHY T,4.000,100%,0%,501,2020 Spring
AGSC 484,MURPHY T,3.625,71%,21%,525,2020 Spring
ALEC 201,MASTROGIOVANNI M,3.591,67%,28%,525,2020 Spring
ALEC 412,MURPHREY T,3.000,29%,57%,599,2020 Spring
ALEC 425,PATIL V,3.038,27%,50%,700,2020 Spring
ALEC 450,WINGENBACH G,3.250,54%,29%,900,2020 Spring
ALEC 601,HARLIN J,4.000,100%,0%,699,2020 Spring
ALEC 604,LEGGETTE H,3.400,60%,30%,700,2020 Spring
ALEC 610,PINA M,4.000,100%,0%,600,2020 Spring
ALEC 612,MURPHREY T,3.857,86%,14%,699,2020 Spring
ALEC 615,BRIERS G,4.000,100%,0%,600,2020 Spring
