course,prof,gpa,% of A,% of B,section_,semester
ARCH 206,STEWART K,3.250,50%,38%,500,2020 Spring
ARCH 206,TATE J,4.000,100%,0%,501,2020 Spring
ARCH 206,CATAO CARTAXO,3.333,60%,20%,502,2020 Spring
ARCH 206,MCINTOSH N,3.400,40%,60%,503,2020 Spring
ARCH 206,LUTZ S,4.000,100%,0%,504,2020 Spring
ARCH 206,DE LIMA VAZ XAVIER,3.562,69%,19%,505,2020 Spring
ARCH 212,LU Z,3.125,40%,44%,500,2020 Spring
ARCH 212,LU Z,3.187,31%,56%,501,2020 Spring
ARCH 213,LIU D,3.663,81%,11%,500,2020 Spring
ARCH 213,SAMADI S,3.500,73%,15%,501,2020 Spring
ARCH 216,TUZUN CANADINC S,3.625,81%,12%,500,2020 Spring
ARCH 216,LOUIE J,3.266,47%,33%,501,2020 Spring
ARCH 249,GLOWACKI K,3.400,40%,60%,201,2020 Spring
ARCH 249,GLOWACKI K,2.793,23%,44%,503,2020 Spring
ARCH 249,GLOWACKI K,3.046,40%,33%,504,2020 Spring
ARCH 249,CAFFEY S,3.568,68%,24%,700,2020 Spring
ARCH 250,KLEIN N,3.230,49%,32%,501,2020 Spring
ARCH 250,KLEIN N,3.468,72%,19%,502,2020 Spring
ARCH 250,STEWART Z,3.000,35%,38%,503,2020 Spring
ARCH 250,CAMPAGNOL G,3.547,68%,22%,700,2020 Spring
ARCH 250,CAMPAGNOL G,3.574,66%,27%,701,2020 Spring
ARCH 260,IISAKA M,3.857,86%,14%,500,2020 Spring
ARCH 305,JAIN P,4.000,100%,0%,931,2020 Spring
ARCH 305,AITANI K,4.000,100%,0%,932,2020 Spring
ARCH 305,CALVESBERT T,4.000,100%,0%,933,2020 Spring
ARCH 305,HAWKINS A,3.222,44%,33%,934,2020 Spring
ARCH 317,GAYK M,2.833,40%,60%,500,2020 Spring
ARCH 317,ESQUIVEL J,4.000,100%,0%,501,2020 Spring
ARCH 331,WARDEN R,2.383,12%,33%,500,2020 Spring
ARCH 335,HABERL J,3.121,42%,33%,500,2020 Spring
ARCH 335,HABERL J,3.000,45%,25%,501,2020 Spring
ARCH 345,HOLLIDAY S,3.706,81%,12%,502,2020 Spring
ARCH 346,GLOWACKI K,3.862,86%,14%,500,2020 Spring
ARCH 350,CAMPAGNOL G,3.126,43%,36%,501,2020 Spring
ARCH 350,CAMPAGNOL G,3.082,41%,37%,700,2020 Spring
ARCH 381,ESQUIVEL J,4.000,100%,0%,500,2020 Spring
ARCH 406,ESQUIVEL J,3.555,67%,22%,501,2020 Spring
ARCH 406,GEVA A,4.000,100%,0%,502,2020 Spring
ARCH 406,MAFFEI G,3.500,50%,50%,503,2020 Spring
ARCH 406,LOUIE J,3.666,67%,33%,504,2020 Spring
ARCH 406,CLAYTON M,4.000,100%,0%,505,2020 Spring
ARCH 406,LOPEZ DINARDI M,4.000,100%,0%,506,2020 Spring
ARCH 406,MANN G,4.000,100%,0%,507,2020 Spring
ARCH 421,CULP C,3.818,82%,18%,500,2020 Spring
ARCH 434,KLEIN N,3.150,40%,40%,500,2020 Spring
ARCH 458,HILL R,3.886,92%,7%,500,2020 Spring
ARCH 485,HOLLIDAY S,3.411,65%,12%,502,2020 Spring
ARCH 489,FORTENBERRY B,3.833,83%,17%,501,2020 Spring
ARCH 494,HOLLIDAY S,4.000,100%,0%,570,2020 Spring
ARCH 602,BORGES GONZALEZ A,3.200,20%,80%,600,2020 Spring
ARCH 606,ERMINY M,4.000,100%,0%,601,2020 Spring
ARCH 606,DE LIMA VAZ XAVIER,3.428,71%,14%,603,2020 Spring
ARCH 606,HAMILTON D,3.916,92%,8%,604,2020 Spring
ARCH 608,HOLLIDAY R,4.000,100%,0%,601,2020 Spring
ARCH 608,HALIBURTON J,3.923,92%,8%,602,2020 Spring
ARCH 608,GIBBS B,4.000,100%,0%,603,2020 Spring
ARCH 614,WARDEN R,3.428,43%,57%,600,2020 Spring
ARCH 615,HABERL J,3.461,54%,38%,600,2020 Spring
ARCH 631,HALIBURTON J,4.000,100%,0%,600,2020 Spring
ARCH 633,BALTAZAR CERVANTES,3.687,69%,31%,600,2020 Spring
ARCH 637,AITANI K,4.000,100%,0%,600,2020 Spring
ARCH 643,CULP C,4.000,100%,0%,600,2020 Spring
ARCH 644,CAFFEY S,4.000,100%,0%,601,2020 Spring
ARCH 645,MCINTOSH N,3.666,67%,33%,602,2020 Spring
ARCH 646,JAIN P,4.000,100%,0%,600,2020 Spring
ARCH 649,GEVA A,3.625,62%,38%,600,2020 Spring
ARCH 653,YAN W,4.000,100%,0%,600,2020 Spring
ARCH 657,ADAMS H,4.000,100%,0%,600,2020 Spring
ARCH 659,ERMINY M,4.000,100%,0%,600,2020 Spring
ARCH 660,PENTECOST A,3.769,77%,23%,600,2020 Spring
ARCH 674,HAMILTON D,4.000,100%,0%,600,2020 Spring
ARCH 675,ZHU X,3.142,14%,86%,600,2020 Spring
ARCH 685,PENTECOST A,4.000,100%,0%,633,2020 Spring
ARCH 685,HAMILTON D,4.000,100%,0%,657,2020 Spring
ARCH 689,FORTENBERRY B,4.000,100%,0%,600,2020 Spring
ENDS 101,HILL R,4.000,100%,0%,201,2020 Spring
ENDS 101,HILL R,4.000,100%,0%,202,2020 Spring
ENDS 101,HILL R,4.000,100%,0%,203,2020 Spring
ENDS 101,HILL R,4.000,100%,0%,204,2020 Spring
ENDS 101,HILL R,4.000,100%,0%,205,2020 Spring
