course,prof,gpa,% of A,% of B,section_,semester
ACCT 209,HEAD M,2.977,22%,53%,100,2017 Summer
ACCT 210,ALLEN N,2.717,17%,46%,200,2017 Summer
ACCT 229,LARKIN R,2.910,39%,30%,100,2017 Summer
ACCT 230,ALLEN N,2.913,26%,50%,200,2017 Summer
ACCT 321,ROACH K,4.000,100%,0%,100,2017 Summer
ACCT 327,BLASOR T,2.660,20%,36%,100,2017 Summer
ACCT 328,LARKIN R,3.109,38%,39%,200,2017 Summer
ACCT 329,FARMER K,3.318,41%,50%,199,2017 Summer
ACCT 329,FARMER K,3.390,50%,42%,299,2017 Summer
ACCT 403,DEER S,3.846,85%,15%,100,2017 Summer
ACCT 405,LARKIN R,3.506,55%,41%,100,2017 Summer
ACCT 407,SHAUB M,3.054,24%,57%,900,2017 Summer
ACCT 421,KRAJICEK J,3.942,94%,6%,931,2017 Summer
ACCT 421,KRAJICEK J,3.886,89%,11%,932,2017 Summer
ACCT 427,BLASOR T,3.175,30%,58%,100,2017 Summer
ACCT 445,NAFSTAD A,4.000,100%,0%,100,2017 Summer
ACCT 450,JOHNSON C,4.000,100%,0%,200,2017 Summer
ACCT 603,DEER S,3.857,86%,14%,100,2017 Summer
ACCT 610,KINNEY M,3.928,93%,7%,651,2017 Summer
ACCT 610,KINNEY M,3.400,55%,35%,700,2017 Summer
ACCT 628,SANDERS J,3.268,41%,49%,201,2017 Summer
ACCT 628,SANDERS J,3.454,48%,48%,202,2017 Summer
ACCT 629,FLAGG J,3.642,64%,36%,200,2017 Summer
ACCT 640,FOSTER C,3.368,58%,21%,100,2017 Summer
ACCT 647,REDMAN K,3.489,51%,47%,200,2017 Summer
BUAD 700,FLINT G,3.384,38%,62%,200,2017 Summer
BUAD 701,BLASOR T,3.846,85%,15%,200,2017 Summer
BUAD 702,JASPERSON J,3.820,82%,18%,200,2017 Summer
BUSN 403,MUIR K,3.764,76%,24%,900,2017 Summer
BUSN 403,MUIR K,3.875,88%,12%,901,2017 Summer
IBUS 289,ARAUJO A,4.000,100%,0%,150,2017 Summer
IBUS 401,SEIPP L,3.000,12%,75%,299,2017 Summer
IBUS 402,BURTON L,3.769,85%,8%,350,2017 Summer
IBUS 402,MCDANIEL S,3.857,86%,14%,351,2017 Summer
IBUS 403,MCDANIEL S,3.454,45%,55%,350,2017 Summer
IBUS 450,PANINA D,4.000,100%,0%,150,2017 Summer
