course,prof,gpa,% of A,% of B,section_,semester
STAT 626,POURAHMADI M,3.171,49%,31%,700,2017 Summer
STAT 630,AKLEMAN D,3.333,61%,22%,700,2017 Summer
STAT 642,JUN M,3.333,67%,8%,700,2017 Summer
STAT 651,DAHM F,3.632,63%,37%,100,2017 Summer
STAT 651,LOMBARD F,3.396,55%,34%,700,2017 Summer
STAT 652,SINHA S,3.026,13%,76%,700,2017 Summer
STAT 656,JONES E,3.857,89%,7%,351,2017 Summer
STAT 656,JONES E,3.550,75%,15%,710,2017 Summer
STAT 659,WEHRLY T,3.714,71%,29%,399,2017 Summer
STAT 659,WEHRLY T,3.700,73%,23%,700,2017 Summer
STAT 685,SHEATHER S,4.000,100%,0%,700,2017 Summer
