course,prof,gpa,% of A,% of B,section_,semester
ARCH 249,CAFFEY S,3.633,77%,17%,100,2017 Summer
ARCH 249,CAFFEY S,3.636,73%,23%,700,2017 Summer
ARCH 250,CAFFEY S,3.589,64%,31%,200,2017 Summer
ARCH 250,CAMPAGNOL G,3.753,84%,10%,700,2017 Summer
ARCH 331,NICHOLS A,2.705,24%,35%,100,2017 Summer
ARCH 406,AITANI K,3.545,73%,9%,300,2017 Summer
ARCH 603,BABE J,3.692,69%,31%,300,2017 Summer
ENDS 101,HILL R,3.837,91%,6%,200,2017 Summer
ENDS 105,ROGERS J,3.500,50%,50%,100,2017 Summer
ENDS 108,KIM J,3.500,50%,50%,201,2017 Summer
ENDS 115,LABIB R,4.000,100%,0%,100,2017 Summer
CARC 311,NDUBISI F,3.222,22%,78%,151,2017 Summer
CARC 311,ROLDAN M,3.450,45%,55%,250,2017 Summer
CARC 311,ABBOTT E,3.190,19%,81%,251,2017 Summer
CARC 331,ERMINY M,4.000,100%,0%,150,2017 Summer
CARC 331,ROLDAN M,3.450,45%,55%,250,2017 Summer
CARC 331,ABBOTT E,3.150,20%,75%,251,2017 Summer
COSC 275,BOLDT G,3.000,20%,60%,100,2017 Summer
COSC 301,WILLIAMSON K,3.114,21%,69%,198,2017 Summer
COSC 321,CHOI K,2.696,33%,21%,100,2017 Summer
COSC 325,CHOUDHURY I,3.600,64%,32%,100,2017 Summer
COSC 326,BRYANT J,3.090,33%,42%,200,2017 Summer
COSC 353,MARRARO A,2.608,0%,61%,100,2017 Summer
COSC 364,MCGOWAN A,3.900,90%,10%,100,2017 Summer
COSC 375,BOLDT G,3.516,58%,35%,200,2017 Summer
COSC 381,EUSTACE G,3.160,28%,60%,100,2017 Summer
COSC 421,HAQUE M,3.148,49%,30%,200,2017 Summer
COSC 442,FERNANDEZ-SOLIS J,3.958,96%,4%,930,2017 Summer
COSC 442,FERNANDEZ-SOLIS J,3.916,92%,8%,931,2017 Summer
COSC 442,WORKMAN R,3.791,79%,21%,932,2017 Summer
COSC 461,KANG H,3.916,92%,8%,150,2017 Summer
COSC 463,RODGERS W,3.222,30%,63%,900,2017 Summer
COSC 464,MCGOWAN A,3.655,66%,34%,100,2017 Summer
COSC 465,GRISHAM R,3.545,57%,41%,200,2017 Summer
COSC 474,LAVY S,3.687,75%,19%,399,2017 Summer
COSC 475,RYOO B,2.677,15%,37%,100,2017 Summer
COSC 477,FICKEL L,3.000,26%,49%,100,2017 Summer
LAND 101,LI M,3.777,78%,22%,701,2017 Summer
LAND 240,NEWMAN G,3.617,71%,22%,700,2017 Summer
LAND 485,NDUBISI F,3.300,30%,70%,150,2017 Summer
LAND 630,NEWMAN G,3.722,72%,28%,700,2017 Summer
PLAN 612,WEI L,4.000,100%,0%,700,2017 Summer
URPN 201,COWELL R,3.666,78%,17%,700,2017 Summer
URPN 201,COWELL R,3.843,91%,3%,701,2017 Summer
URPN 202,MARTIN J,3.222,42%,42%,700,2017 Summer
URPN 220,KIM Y,2.600,20%,40%,700,2017 Summer
URPN 325,WUNNEBURGER D,3.625,62%,38%,701,2017 Summer
URPN 361,SHARIF G,3.280,56%,24%,700,2017 Summer
URPN 369,WEI L,3.833,83%,17%,700,2017 Summer
URPN 370,NEWTON K,3.700,80%,15%,700,2017 Summer
URPN 460,NDUBISI F,3.111,11%,89%,150,2017 Summer
ARTS 103,GALANTER P,3.428,57%,29%,100,2017 Summer
ARTS 111,DAVISON R,3.062,25%,56%,100,2017 Summer
ARTS 149,SUTHERLAND S,3.272,58%,24%,701,2017 Summer
ARTS 150,STOENESCU L,3.692,69%,31%,101,2017 Summer
ARTS 150,CAMPANA L,3.569,71%,22%,701,2017 Summer
ARTS 150,CAFFEY S,3.637,80%,13%,702,2017 Summer
ARTS 210,EILERS H,3.733,80%,13%,200,2017 Summer
ARTS 212,WOODFIN S,3.818,82%,18%,100,2017 Summer
ARTS 303,HONEYCUTT A,3.666,67%,33%,100,2017 Summer
ARTS 305,MADRID N,3.923,92%,8%,100,2017 Summer
ARTS 325,REID R,4.000,100%,0%,100,2017 Summer
ARTS 349,ZAWADZKI M,3.676,78%,12%,700,2017 Summer
VIST 205,JENKS M,3.821,86%,11%,300,2017 Summer
VIST 270,RINGHAM M,3.125,33%,46%,300,2017 Summer
VIST 284,KLEIN B,2.545,36%,18%,100,2017 Summer
VIST 284,KLEIN B,3.285,71%,0%,200,2017 Summer
VIST 284,HOUSE B,2.700,30%,35%,700,2017 Summer
VIST 305,KLEIN B,3.500,80%,10%,300,2017 Summer
VIZA 627,MCNAMARA A,3.875,94%,0%,100,2017 Summer
VIZA 627,MCNAMARA A,3.937,94%,6%,200,2017 Summer
