course,prof,gpa,% of A,% of B,section_,semester
AERO 220,BORISSOV S,3.285,46%,43%,300,2017 Summer
AERO 485,CHAMITOFF G,4.000,100%,0%,302,2017 Summer
BMEN 207,GIBBS H,3.200,68%,8%,700,2017 Summer
BMEN 211,HUANG S,2.875,38%,33%,300,2017 Summer
BMEN 350,YEH A,2.782,39%,39%,700,2017 Summer
BMEN 448,MORENO M,4.000,100%,0%,350,2017 Summer
BMEN 485,MAITLAND K,3.600,60%,40%,350,2017 Summer
CHEN 205,HOLTZAPPLE M,2.893,17%,55%,200,2017 Summer
CHEN 320,GLOVER C,3.500,50%,50%,200,2017 Summer
CHEN 323,VADDIRAJU S,3.333,40%,53%,200,2017 Summer
CHEN 414,MASHUGA C,4.000,100%,0%,900,2017 Summer
CHEN 424,KAO K,3.000,25%,50%,200,2017 Summer
CHEN 464,JEONG H,3.222,42%,39%,100,2017 Summer
CVEN 302,CHANG K,3.157,47%,26%,300,2017 Summer
CVEN 305,NOSHADRAVAN A,2.682,27%,30%,301,2017 Summer
CVEN 322,QUADRIFOGLIO L,3.428,43%,57%,150,2017 Summer
CVEN 322,QUADRIFOGLIO L,3.739,78%,17%,250,2017 Summer
CVEN 339,OLIVERA F,3.444,67%,22%,150,2017 Summer
CVEN 339,LONDON M,3.173,26%,65%,300,2017 Summer
CVEN 345,LOWERY L,3.137,31%,52%,300,2017 Summer
CVEN 349,DAMNJANOVIC I,3.695,70%,30%,250,2017 Summer
CVEN 365,AUBENY C,3.368,47%,42%,301,2017 Summer
CVEN 365,AUBENY C,3.166,28%,61%,302,2017 Summer
CVEN 403,GHARAIBEH N,3.812,81%,19%,100,2017 Summer
CVEN 423,OLIVERA F,3.388,50%,39%,150,2017 Summer
CVEN 424,ENGLAND P,3.928,93%,7%,700,2017 Summer
ENGR 111,OPELLA S,2.812,31%,25%,300,2017 Summer
ENGR 112,IJAZ M,3.022,20%,67%,300,2017 Summer
ENGR 289,ELMS R,3.650,73%,18%,201,2017 Summer
ENGR 289,HUFF J,3.560,56%,44%,202,2017 Summer
ENGR 289,GRAVES G,3.000,27%,45%,300,2017 Summer
ENGR 385,ELABD Y,4.000,100%,0%,304,2017 Summer
ENGR 385,SARIN V,3.600,90%,0%,306,2017 Summer
ENGR 385,CATON J,4.000,100%,0%,313,2017 Summer
ENGR 410,LAWRENCE F,4.000,100%,0%,150,2017 Summer
ENGR 482,STRZELEC A,3.394,39%,61%,950,2017 Summer
ENGR 482,JAMES R,3.750,75%,25%,951,2017 Summer
ENGR 484,WEICHOLD M,3.878,86%,14%,309,2017 Summer
ENGR 491,KINRA V,4.000,100%,0%,351,2017 Summer
ENGR 689,PULAK S,3.823,82%,18%,200,2017 Summer
ICPE 691,PISTIKOPOULOS E,4.000,100%,0%,600,2017 Summer
CSCE 121,DAUGHERITY W,3.034,45%,24%,101,2017 Summer
CSCE 121,MOORE J,2.660,23%,45%,700,2017 Summer
CSCE 221,LEYK T,3.166,46%,25%,201,2017 Summer
CSCE 221,LEYK T,3.086,30%,48%,202,2017 Summer
CSCE 222,LEE H,2.478,20%,26%,700,2017 Summer
CSCE 310,CHEN J,3.105,34%,53%,200,2017 Summer
CSCE 312,TYAGI A,3.593,66%,28%,301,2017 Summer
CSCE 313,STOLERU R,2.863,32%,36%,100,2017 Summer
CSCE 314,DUTTA A,3.238,52%,29%,100,2017 Summer
CSCE 315,DAUGHERITY W,3.916,92%,8%,100,2017 Summer
CSCE 410,BETTATI R,2.000,9%,27%,700,2017 Summer
CSCE 411,JIANG A,3.355,56%,33%,200,2017 Summer
CSCE 435,SARIN V,2.842,26%,42%,100,2017 Summer
CSCE 611,BETTATI R,3.266,57%,30%,700,2017 Summer
ECEN 214,MILLER S,2.000,7%,33%,301,2017 Summer
ECEN 214,MILLER S,2.666,22%,39%,302,2017 Summer
ECEN 214,MILLER S,2.800,20%,47%,303,2017 Summer
ECEN 214,MILLER S,2.529,18%,29%,304,2017 Summer
ECEN 215,TYLER J,3.000,30%,39%,301,2017 Summer
ECEN 215,TYLER J,2.840,32%,32%,302,2017 Summer
ECEN 215,TYLER J,3.080,40%,28%,303,2017 Summer
ECEN 248,TYLER J,2.571,14%,43%,301,2017 Summer
ECEN 248,TYLER J,2.785,29%,36%,302,2017 Summer
ECEN 248,TYLER J,3.533,67%,20%,303,2017 Summer
ECEN 303,BRAGA NETO U,3.600,60%,40%,250,2017 Summer
ECEN 314,BHATTACHARYYA S,3.900,90%,10%,250,2017 Summer
ECEN 322,BRAGA NETO U,3.578,58%,42%,250,2017 Summer
ECEN 322,MICHALSKI K,2.750,7%,68%,300,2017 Summer
ECEN 350,GRATZ P,3.705,71%,29%,250,2017 Summer
ECEN 350,LU M,2.750,33%,33%,301,2017 Summer
ECEN 350,LU M,2.785,21%,43%,302,2017 Summer
ECEN 350,LU M,1.833,8%,17%,303,2017 Summer
ECEN 350,LU M,2.666,27%,40%,304,2017 Summer
ECEN 420,VILLAREAL S,3.326,50%,37%,300,2017 Summer
ECEN 454,CHOI S,3.133,47%,33%,301,2017 Summer
ECEN 454,CHOI S,3.133,50%,36%,302,2017 Summer
ECEN 454,CHOI S,2.923,15%,62%,303,2017 Summer
ECEN 469,GRATZ P,3.750,75%,25%,250,2017 Summer
ECEN 484,KARSILAYAN A,4.000,100%,0%,302,2017 Summer
ENTC 485,HSIEH S,4.000,100%,0%,300,2017 Summer
ENTC 491,KUTTOLAMADOM M,4.000,100%,0%,301,2017 Summer
ESET 211,ZHAN W,3.125,44%,25%,101,2017 Summer
ESET 350,ZOGHI B,3.090,18%,73%,200,2017 Summer
ESET 350,ZOGHI B,2.090,9%,36%,201,2017 Summer
IDIS 300,WALLACE J,3.470,53%,41%,101,2017 Summer
IDIS 300,WALLACE J,3.368,42%,53%,102,2017 Summer
IDIS 300,WALLACE J,3.307,46%,38%,103,2017 Summer
IDIS 303,GOLLA M,2.812,0%,81%,901,2017 Summer
IDIS 303,GOLLA M,2.529,0%,53%,902,2017 Summer
IDIS 303,GOLLA M,2.600,0%,67%,903,2017 Summer
IDIS 400,LORENZO R,3.500,56%,39%,201,2017 Summer
IDIS 400,LORENZO R,3.333,33%,67%,202,2017 Summer
IDIS 403,GOLLA M,3.812,81%,19%,900,2017 Summer
IDIS 403,GOLLA M,3.625,62%,38%,901,2017 Summer
IDIS 445,LAWRENCE F,4.000,100%,0%,150,2017 Summer
IDIS 489,CAPAR I,4.000,100%,0%,350,2017 Summer
MMET 181,HUNG N,2.833,33%,17%,102,2017 Summer
MMET 181,HUNG N,3.000,33%,40%,103,2017 Summer
MMET 181,HUNG N,2.312,12%,25%,104,2017 Summer
MMET 201,OBEIDAT S,2.846,23%,46%,200,2017 Summer
MMET 201,OBEIDAT S,2.533,27%,33%,201,2017 Summer
MMET 206,FANG G,3.090,27%,55%,201,2017 Summer
MMET 206,FANG G,3.000,33%,33%,202,2017 Summer
MMET 207,PRICE A,3.000,11%,78%,101,2017 Summer
MMET 207,PRICE A,3.000,0%,100%,102,2017 Summer
ISEN 230,ZOU N,3.700,73%,23%,100,2017 Summer
ISEN 310,VALDEZ-FLORES C,2.638,22%,36%,200,2017 Summer
ISEN 320,MORENO CENTENO E,3.000,40%,26%,100,2017 Summer
ISEN 442,FLORES J,3.291,42%,46%,200,2017 Summer
ISEN 453,GAUTAM N,3.482,48%,52%,100,2017 Summer
ISEN 460,KING R,3.416,58%,33%,300,2017 Summer
ISEN 485,GAUTAM N,3.111,78%,0%,308,2017 Summer
ISEN 641,MAYER R,3.428,43%,57%,700,2017 Summer
ISEN 645,GRAUL M,3.875,88%,12%,700,2017 Summer
ISEN 667,JOHNSON A,3.538,54%,46%,700,2017 Summer
MSEN 222,CREASY T,3.050,25%,55%,700,2017 Summer
MSEN 491,SHAMBERGER P,4.000,100%,0%,349,2017 Summer
MSEN 657,ARROYAVE R,4.000,100%,0%,301,2017 Summer
MEEN 210,CHOWDHURY S,3.350,55%,25%,300,2017 Summer
MEEN 221,MCVAY M,2.937,44%,25%,301,2017 Summer
MEEN 221,OPELLA S,2.666,19%,37%,302,2017 Summer
MEEN 221,MCVAY M,2.400,23%,33%,700,2017 Summer
MEEN 222,CREASY T,3.208,33%,54%,700,2017 Summer
MEEN 315,CHAROENPHOL P,2.473,26%,18%,300,2017 Summer
MEEN 315,HAGLUND J,3.192,38%,42%,301,2017 Summer
MEEN 315,HAGLUND J,2.272,18%,36%,700,2017 Summer
MEEN 364,HAGLUND J,2.965,28%,41%,300,2017 Summer
MEEN 368,HOGAN H,3.280,32%,64%,150,2017 Summer
MEEN 368,CHOWDHURY S,2.809,10%,67%,300,2017 Summer
MEEN 368,CHOWDHURY S,2.833,17%,50%,700,2017 Summer
MEEN 401,MOHIUDDIN M,3.928,93%,7%,300,2017 Summer
MEEN 402,OZKAN T,4.000,100%,0%,300,2017 Summer
MEEN 404,OZKAN T,3.409,41%,59%,301,2017 Summer
MEEN 442,DORON Y,3.692,77%,15%,300,2017 Summer
MEEN 461,KIM H,3.794,79%,21%,300,2017 Summer
MEEN 461,KIM H,2.791,21%,50%,700,2017 Summer
MEEN 464,KIM H,3.666,67%,33%,300,2017 Summer
MEEN 464,KIM H,3.769,77%,23%,301,2017 Summer
MEEN 475,HOGAN H,4.000,100%,0%,150,2017 Summer
MEEN 602,GOENEZEN S,3.800,80%,20%,300,2017 Summer
MEEN 602,GOENEZEN S,2.833,17%,50%,700,2017 Summer
MEEN 632,DORON Y,3.866,87%,13%,300,2017 Summer
MEEN 662,RASMUSSEN B,3.500,75%,0%,700,2017 Summer
NUEN 302,TSVETKOV P,3.647,71%,24%,300,2017 Summer
NUEN 485,SHAO L,4.000,100%,0%,250,2017 Summer
PETE 201,SLIVA C,3.904,95%,0%,199,2017 Summer
PETE 201,SLIVA C,3.933,93%,7%,299,2017 Summer
PETE 301,GILDIN E,3.714,71%,29%,250,2017 Summer
PETE 485,GILDIN E,4.000,100%,0%,250,2017 Summer
PETE 603,MAGGARD J,3.500,50%,50%,700,2017 Summer
PETE 606,HASCAKIR B,3.904,90%,10%,700,2017 Summer
PETE 640,MORIDIS G,3.857,86%,14%,100,2017 Summer
PETE 663,BLASINGAME T,3.375,54%,38%,700,2017 Summer
PETE 689,LEE W,3.771,77%,23%,701,2017 Summer
