course,prof,gpa,% of A,% of B,section_,semester
HLTH 335,NICKSIC H,3.689,76%,17%,399,2017 Summer
HLTH 335,ZHAO S,3.843,88%,9%,700,2017 Summer
HLTH 335,NICKSIC H,3.538,69%,15%,701,2017 Summer
HLTH 342,FEHR S,2.857,0%,86%,399,2017 Summer
HLTH 342,FEHR S,2.444,22%,44%,700,2017 Summer
HLTH 342,FEHR S,3.100,40%,40%,701,2017 Summer
HLTH 353,OLUSANYA O,3.181,27%,67%,399,2017 Summer
HLTH 353,OLUSANYA O,3.062,19%,75%,700,2017 Summer
HLTH 354,HANIK B,3.584,66%,29%,199,2017 Summer
HLTH 354,HANIK B,3.764,76%,24%,700,2017 Summer
HLTH 354,HANIK B,3.512,56%,39%,701,2017 Summer
HLTH 403,OLUSANYA O,3.280,44%,40%,399,2017 Summer
HLTH 403,OLUSANYA O,3.583,71%,21%,700,2017 Summer
HLTH 403,BARRY A,3.482,59%,34%,701,2017 Summer
HLTH 407,TISONE C,4.000,100%,0%,200,2017 Summer
HLTH 410,NICKSIC H,2.791,21%,50%,399,2017 Summer
HLTH 410,NICKSIC H,2.850,15%,55%,700,2017 Summer
HLTH 415,MCNEILL E,3.900,90%,10%,100,2017 Summer
HLTH 425,SHIPLEY M,3.850,85%,15%,200,2017 Summer
HLTH 429,LOCKARD B,4.000,100%,0%,399,2017 Summer
HLTH 429,LOCKARD B,3.833,83%,17%,700,2017 Summer
HLTH 440,SHERMAN L,4.000,100%,0%,930,2017 Summer
HLTH 445,RAHN R,4.000,100%,0%,100,2017 Summer
HLTH 484,CLARK H,4.000,100%,0%,301,2017 Summer
HLTH 484,CLARK H,4.000,100%,0%,351,2017 Summer
HLTH 489,TISONE C,4.000,100%,0%,100,2017 Summer
HLTH 489,CLARK H,4.000,100%,0%,250,2017 Summer
HLTH 634,TISONE C,4.000,100%,0%,399,2017 Summer
HLTH 635,TISONE C,4.000,100%,0%,399,2017 Summer
HLTH 635,TISONE C,3.666,67%,33%,700,2017 Summer
HLTH 659,GOODSON P,4.000,100%,0%,100,2017 Summer
HLTH 685,CHEN L,4.000,100%,0%,150,2017 Summer
KINE 120,O'REILLY C,3.777,81%,15%,005,2017 Summer
KINE 120,METZGER C,3.800,88%,8%,006,2017 Summer
KINE 120,ARMSTRONG C,3.407,56%,30%,802,2017 Summer
KINE 120,ARMSTRONG C,3.370,70%,15%,803,2017 Summer
KINE 120,LETSINGER A,3.730,88%,12%,804,2017 Summer
KINE 120,LETSINGER A,3.862,90%,7%,805,2017 Summer
KINE 198,BERTHOT P,3.280,52%,26%,137,2017 Summer
KINE 198,BERTHOT P,3.166,56%,17%,138,2017 Summer
KINE 198,GRANADOS J,3.190,65%,15%,802,2017 Summer
KINE 198,GRANADOS J,3.571,71%,14%,803,2017 Summer
KINE 198,LETSINGER A,3.920,92%,8%,805,2017 Summer
KINE 199,SPORTSMAN-DARNELL G,4.000,100%,0%,066,2017 Summer
KINE 199,WENZEL T,3.800,80%,20%,327,2017 Summer
KINE 199,ZABILSKI C,4.000,100%,0%,388,2017 Summer
KINE 199,BREKKEN K,3.600,100%,0%,509,2017 Summer
KINE 199,SAFDARI S,4.000,100%,0%,510,2017 Summer
KINE 199,METZGER C,4.000,100%,0%,511,2017 Summer
KINE 199,HERNANDEZ S,3.428,100%,0%,514,2017 Summer
KINE 213,WRIGHT D,1.444,0%,22%,399,2017 Summer
